Geography,GeographyCode,Total,LimitingCondition,LimitingCondition_pct
ANTRIM,N11000001,25605,6481,25.31
CRUMLIN,N11000003,5365,1292,24.08
PARKGATE,N11000009,662,157,23.72
RANDALSTOWN,N11000010,5151,1292,25.08
TEMPLEPATRICK,N11000011,1536,347,22.59
TOOME,N11000012,1019,242,23.75
BALLYGOWAN,N11000022,3144,622,19.78
BALLYHALBERT,N11000023,1272,347,27.28
BALLYWALTER,N11000025,2007,672,33.48
CARROWDORE,N11000026,1060,319,30.09
CLOUGHEY,N11000027,1347,358,26.58
COMBER,N11000028,9529,2425,25.45
DONAGHADEE,N11000030,7326,1973,26.93
GREYABBEY,N11000032,877,285,32.50
KIRCUBBIN,N11000035,1066,353,33.11
LISBANE,N11000037,524,104,19.85
MILLISLE,N11000039,2560,777,30.35
NEWTOWNARDS,N11000040,29678,8186,27.58
PORTAFERRY,N11000041,2372,760,32.04
PORTAVOGIE,N11000042,2274,651,28.63
ARMAGH,N11000051,16308,3914,24.00
HAMILTONSBAWN,N11000072,1041,177,17.00
KEADY,N11000073,3345,821,24.54
LAURELVALE / MULLAVILLY,N11000076,1391,292,20.99
MARKETHILL,N11000081,1910,452,23.66
MILFORD,N11000083,552,101,18.30
POYNTZPASS,N11000088,629,129,20.51
RICHHILL,N11000089,2737,627,22.91
TANDRAGEE,N11000093,3545,861,24.29
AHOGHILL,N11000098,3538,777,21.96
BALLYMENA,N11000099,31205,8072,25.87
BROUGHSHANE,N11000100,3097,800,25.83
CARGAN,N11000101,631,146,23.14
CULLYBACKEY,N11000103,2659,734,27.60
GRANGE CORNER,N11000104,520,93,17.88
KELLS / CONNOR,N11000105,2122,493,23.23
PORTGLENONE,N11000107,1371,388,28.30
BALLYBOGY,N11000108,563,125,22.20
BALLYMONEY,N11000109,11047,3130,28.33
BALNAMORE,N11000110,835,236,28.26
BENDOORAGH,N11000111,644,129,20.03
CLOGH MILLS,N11000114,1235,307,24.86
DERVOCK,N11000117,772,222,28.76
DUNLOY,N11000119,1118,231,20.66
RASHARKIN,N11000123,1071,263,24.56
BANBRIDGE,N11000131,17399,4307,24.75
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,6393,1401,21.91
GILFORD,N11000137,1957,532,27.18
KINALLEN,N11000141,1127,182,16.15
LAWRENCETOWN,N11000142,996,216,21.69
LOUGHBRICKLAND,N11000145,793,216,27.24
RATHFRILAND,N11000147,2495,674,27.01
BELFAST CITY,N11000151,293298,78353,26.71
CARRICKFERGUS,N11000153,28141,7878,27.99
GREENISLAND,N11000154,5966,1309,21.94
WHITEHEAD,N11000157,3537,956,27.03
CARRYDUFF,N11000159,7170,1391,19.40
METROPOLITAN CASTLEREAGH,N11000162,58763,13682,23.28
MONEYREAGH,N11000163,1542,313,20.30
ARTICLAVE,N11000165,918,236,25.71
CASTLEROCK,N11000170,1158,359,31.00
CASTLEROE,N11000171,674,125,18.55
COLERAINE,N11000173,24481,6756,27.60
GARVAGH,N11000176,1252,406,32.43
KILREA,N11000179,1674,411,24.55
MACOSQUIN,N11000180,602,149,24.75
PORTBALLINTRAE,N11000182,498,151,30.32
PORTRUSH,N11000183,6149,1590,25.86
PORTSTEWART,N11000184,7851,1922,24.48
ARDBOE,N11000186,772,175,22.67
BALLYRONAN,N11000190,615,120,19.51
COAGH,N11000192,774,177,22.87
COOKSTOWN,N11000193,12545,3241,25.83
MONEYMORE,N11000203,2142,461,21.52
MOORTOWN,N11000204,549,126,22.95
POMEROY,N11000206,796,190,23.87
STEWARTSTOWN,N11000208,640,204,31.87
AGHAGALLON,N11000212,1171,245,20.92
BLEARY,N11000216,1108,243,21.93
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,72297,17476,24.17
DERRYMACASH,N11000220,714,137,19.19
DOLLINGSTOWN,N11000223,2256,488,21.63
DONAGHCLONEY,N11000224,1978,344,17.39
DRUMNACANVY,N11000225,1127,178,15.79
MAGHERALIN,N11000228,2038,335,16.44
SCOTCH STREET,N11000232,671,94,14.01
THE BIRCHES,N11000234,547,96,17.55
WARINGSTOWN,N11000235,3866,680,17.59
CLAUDY,N11000240,1324,313,23.64
CULMORE,N11000242,3651,642,17.58
