Geography,GeographyCode,Total,SomeIrish,SomeIrish_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,3235,227,7.02
Aldergrove,N08000102,4541,439,9.67
Antrim Centre,N08000103,3969,284,7.16
Ballyclare East,N08000104,3997,76,1.90
Ballyclare West,N08000105,3897,81,2.08
Ballyduff,N08000106,2942,47,1.60
Ballyhenry,N08000107,2634,213,8.09
Ballynure,N08000108,3501,60,1.71
Ballyrobert,N08000109,3686,48,1.30
Burnthill,N08000110,3588,141,3.93
Carnmoney,N08000111,2549,132,5.18
Carnmoney Hill,N08000112,3204,119,3.71
Clady,N08000113,3707,513,13.84
Collinbridge,N08000114,2838,717,25.26
Cranfield,N08000115,3065,498,16.25
Crumlin,N08000116,3606,822,22.80
Doagh,N08000117,3358,46,1.37
Fairview,N08000118,3010,77,2.56
Fountain Hill,N08000119,3369,169,5.02
Glebe (Antrim and Newtownabbey LGD),N08000120,2950,533,18.07
Glengormley,N08000121,3311,322,9.73
Greystone (Antrim and Newtownabbey LGD),N08000122,2941,86,2.92
Hightown,N08000123,3035,469,15.45
Jordanstown,N08000124,3172,116,3.66
Mallusk,N08000125,5985,880,14.70
Monkstown,N08000126,3593,101,2.81
Mossley,N08000127,3582,85,2.37
O'Neill,N08000128,3207,38,1.18
Parkgate,N08000129,3178,53,1.67
Randalstown,N08000130,3607,577,16.00
Rathcoole,N08000131,3239,44,1.36
Rostulla,N08000132,3824,250,6.54
Shilvodan,N08000133,3749,396,10.56
Springfarm,N08000134,5297,319,6.02
Steeple,N08000135,3652,152,4.16
Stiles,N08000136,3838,230,5.99
Templepatrick,N08000137,3411,120,3.52
Toome,N08000138,3791,957,25.24
Valley (Antrim and Newtownabbey LGD),N08000139,3580,517,14.44
Whitehouse,N08000140,3115,124,3.98
Aghagallon,N08000201,4861,1048,21.56
Ballybay,N08000202,5256,197,3.75
Banbridge East,N08000203,4334,314,7.25
Banbridge North,N08000204,4159,296,7.12
Banbridge South,N08000205,4865,383,7.87
Banbridge West,N08000206,5243,467,8.91
Blackwatertown,N08000207,5311,1384,26.06
Bleary,N08000208,4810,295,6.13
Brownlow,N08000209,6343,956,15.07
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,4928,1237,25.10
Corcrain,N08000211,5240,1203,22.96
Craigavon Centre,N08000212,6489,480,7.40
Demesne,N08000213,5449,1476,27.09
Derrytrasna,N08000214,4796,1266,26.40
Donaghcloney,N08000215,4764,162,3.40
