Geography,GeographyCode,AverageHouseholdSize
Abbey (Antrim and Newtownabbey LGD),N08000101,2.1705729166666665
Aldergrove,N08000102,2.6852348993288593
Antrim Centre,N08000103,2.0631632137443154
Ballyclare East,N08000104,2.183447548761202
Ballyclare West,N08000105,2.432234432234432
Ballyduff,N08000106,2.0931849791376913
Ballyhenry,N08000107,2.5992329817833175
Ballynure,N08000108,2.5158339197748063
Ballyrobert,N08000109,2.529292929292929
Burnthill,N08000110,2.2393007836045813
Carnmoney,N08000111,2.247413793103448
Carnmoney Hill,N08000112,2.453857791225416
Clady,N08000113,2.8836858006042294
Collinbridge,N08000114,2.6040925266903914
Cranfield,N08000115,2.678448275862069
Crumlin,N08000116,2.5841514726507713
Doagh,N08000117,2.404019404019404
Fairview,N08000118,2.5120967741935485
Fountain Hill,N08000119,2.492636229749632
Glebe (Antrim and Newtownabbey LGD),N08000120,2.4891485809682803
Glengormley,N08000121,2.0964530180460486
Greystone (Antrim and Newtownabbey LGD),N08000122,2.108442004118051
Hightown,N08000123,2.4750593824228027
Jordanstown,N08000124,2.7169179229480735
Mallusk,N08000125,2.731187472814267
Monkstown,N08000126,2.3389830508474576
Mossley,N08000127,2.287476866132017
O'Neill,N08000128,2.054726368159204
Parkgate,N08000129,2.7023217247097846
Randalstown,N08000130,2.380064308681672
Rathcoole,N08000131,2.199736321687541
Rostulla,N08000132,2.5110320284697507
Shilvodan,N08000133,2.9052312357846852
Springfarm,N08000134,2.718267794922847
Steeple,N08000135,2.199645599527466
Stiles,N08000136,2.311304347826087
Templepatrick,N08000137,2.429073033707865
Toome,N08000138,2.9332827899924183
Valley (Antrim and Newtownabbey LGD),N08000139,2.16725768321513
Whitehouse,N08000140,1.9774294670846395
Aghagallon,N08000201,2.8708759954493743
Ballybay,N08000202,2.2934232715008434
Banbridge East,N08000203,2.568235294117647
Banbridge North,N08000204,2.3461538461538463
Banbridge South,N08000205,2.2532438478747205
Banbridge West,N08000206,2.356182212581345
Blackwatertown,N08000207,2.8889479277364507
Bleary,N08000208,2.6947483588621446
Brownlow,N08000209,2.633147853736089
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,2.5394940629839957
Corcrain,N08000211,2.554098360655738
Craigavon Centre,N08000212,2.6254375729288215
Demesne,N08000213,2.568161024702653
Derrytrasna,N08000214,2.9719570405727924
Donaghcloney,N08000215,2.702583837273227
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,2.4681724845995894
Gilford,N08000217,2.512575452716298
Gransha,N08000218,2.8600777345918935
Hamiltonsbawn,N08000219,2.6775777414075286
Keady,N08000220,2.700361010830325
Kernan,N08000221,2.461144321093083
Killycomain,N08000222,2.2549869904596704
Knocknashane,N08000223,2.3991574512901526
Lough Road,N08000224,2.5787292817679557
Loughbrickland,N08000225,2.75
Loughgall,N08000226,2.7908396946564884
Magheralin,N08000227,2.583614457831325
Mahon,N08000228,2.456813819577735
Markethill,N08000229,2.698991838694191
Mourneview,N08000230,2.3126320236586397
Navan,N08000231,2.9211252068394926
Parklake,N08000232,2.3884892086330933
Quilly,N08000233,2.495280399777901
Rathfriland,N08000234,2.5908852802514404
Richhill,N08000235,2.4891361950185478
Seagahan,N08000236,3.0318506315211424
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,2.3112897332846183
Tandragee,N08000238,2.4694364851957977
The Birches,N08000239,2.844045368620038
The Mall,N08000240,2.26890756302521
Waringstown,N08000241,2.5139664804469275
Andersonstown,N08000301,2.3218970736629667
Ardoyne,N08000302,2.2103990326481258
Ballygomartin,N08000303,2.330955212049148
Ballymacarrett,N08000304,2.129394708227619
Ballymurphy,N08000305,2.5983307250912886
Ballysillan,N08000306,2.348607367475292
Beechmount,N08000307,2.307426597582038
Beersbridge,N08000308,2.0003033980582523
Bellevue,N08000309,2.227085053674649
Belmont,N08000310,2.2766798418972334
Belvoir,N08000311,2.0393518518518516
Blackstaff,N08000312,1.9391506991196272
Bloomfield (Belfast LGD),N08000313,1.9934931506849316
Cavehill,N08000314,2.6361474435196195
Central,N08000315,2.2551699964949177
Chichester Park,N08000316,2.2844272844272844
Cliftonville,N08000317,2.475711159737418
Clonard,N08000318,2.246787603930461
Collin Glen,N08000319,2.5413839891451833
Connswater,N08000320,2.048992355802641
Cregagh,N08000321,2.195203836930456
Duncairn,N08000322,2.0140134529147984
Dunmurry,N08000323,2.329705215419501
Falls,N08000324,2.206730769230769
Falls Park,N08000325,2.3558127830900855
Finaghy,N08000326,2.4152267818574513
Forth River,N08000327,2.238337182448037
Fortwilliam,N08000328,2.2053268765133174
Garnerville,N08000329,2.2349624060150375
Gilnahirk,N08000330,2.3438356164383563
Hillfoot,N08000331,2.2800798801797306
Innisfayle,N08000332,2.2585092632486
Knock,N08000333,2.170494699646643
Ladybrook,N08000334,2.5216461785141635
Lagmore,N08000335,2.9856011519078476
Legoniel,N08000336,2.4223454833597464
Malone,N08000337,2.4102306920762286
Merok,N08000338,2.4002163331530557
Musgrave,N08000339,2.3213766359670385
New Lodge,N08000340,2.0717642033319095
