Geography,GeographyCode,Total,ProvidesUnpaidCare,ProvidesUnpaidCare_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,3156,416,13.18
Aldergrove,N08000102,4444,464,10.44
Antrim Centre,N08000103,3891,471,12.10
Ballyclare East,N08000104,3920,497,12.68
Ballyclare West,N08000105,3801,481,12.65
Ballyduff,N08000106,2891,451,15.60
Ballyhenry,N08000107,2580,331,12.83
Ballynure,N08000108,3427,470,13.71
Ballyrobert,N08000109,3615,475,13.14
Burnthill,N08000110,3489,485,13.90
Carnmoney,N08000111,2501,384,15.35
Carnmoney Hill,N08000112,3123,431,13.80
Clady,N08000113,3609,536,14.85
Collinbridge,N08000114,2788,400,14.35
Cranfield,N08000115,2991,381,12.74
Crumlin,N08000116,3516,486,13.82
Doagh,N08000117,3279,438,13.36
Fairview,N08000118,2931,409,13.95
Fountain Hill,N08000119,3278,422,12.87
Glebe (Antrim and Newtownabbey LGD),N08000120,2890,394,13.63
Glengormley,N08000121,3224,401,12.44
Greystone (Antrim and Newtownabbey LGD),N08000122,2837,365,12.87
Hightown,N08000123,2959,389,13.15
Jordanstown,N08000124,3111,415,13.34
Mallusk,N08000125,5763,736,12.77
Monkstown,N08000126,3509,469,13.37
Mossley,N08000127,3500,491,14.03
O'Neill,N08000128,3134,407,12.99
Parkgate,N08000129,3113,433,13.91
Randalstown,N08000130,3511,396,11.28
Rathcoole,N08000131,3136,435,13.87
Rostulla,N08000132,3746,503,13.43
Shilvodan,N08000133,3649,416,11.40
Springfarm,N08000134,5141,547,10.64
Steeple,N08000135,3558,361,10.15
Stiles,N08000136,3747,488,13.02
Templepatrick,N08000137,3340,439,13.14
Toome,N08000138,3699,454,12.27
Valley (Antrim and Newtownabbey LGD),N08000139,3482,449,12.89
Whitehouse,N08000140,3057,398,13.02
Aghagallon,N08000201,4748,631,13.29
Ballybay,N08000202,5089,547,10.75
Banbridge East,N08000203,4221,555,13.15
Banbridge North,N08000204,4068,538,13.23
Banbridge South,N08000205,4731,549,11.60
Banbridge West,N08000206,5097,681,13.36
Blackwatertown,N08000207,5167,566,10.95
Bleary,N08000208,4672,592,12.67
Brownlow,N08000209,6156,839,13.63
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,4772,474,9.93
Corcrain,N08000211,5070,564,11.12
Craigavon Centre,N08000212,6271,697,11.11
Demesne,N08000213,5264,561,10.66
Derrytrasna,N08000214,4680,683,14.59
Donaghcloney,N08000215,4644,594,12.79
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,4553,588,12.91
Gilford,N08000217,4696,611,13.01
Gransha,N08000218,4827,623,12.91
Hamiltonsbawn,N08000219,4658,568,12.19
Keady,N08000220,4856,461,9.49
Kernan,N08000221,5483,618,11.27
Killycomain,N08000222,5003,539,10.77
Knocknashane,N08000223,4293,530,12.35
Lough Road,N08000224,5191,669,12.89
Loughbrickland,N08000225,5368,670,12.48
Loughgall,N08000226,5125,672,13.11
Magheralin,N08000227,4946,633,12.80
Mahon,N08000228,4875,583,11.96
Markethill,N08000229,5251,616,11.73
Mourneview,N08000230,5144,609,11.84
Navan,N08000231,4906,549,11.19
Parklake,N08000232,5250,636,12.11
Quilly,N08000233,4286,574,13.39
Rathfriland,N08000234,4691,559,11.92
Richhill,N08000235,4593,560,12.19
Seagahan,N08000236,5121,542,10.58
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,5994,774,12.91
Tandragee,N08000238,4840,646,13.35
The Birches,N08000239,5665,683,12.06
The Mall,N08000240,5194,517,9.95
Waringstown,N08000241,5031,642,12.76
Andersonstown,N08000301,4377,623,14.23
Ardoyne,N08000302,5030,609,12.11
Ballygomartin,N08000303,5631,816,14.49
Ballymacarrett,N08000304,5479,640,11.68
Ballymurphy,N08000305,4788,654,13.66
Ballysillan,N08000306,4953,705,14.23
Beechmount,N08000307,5000,611,12.22
Beersbridge,N08000308,6190,696,11.24
Bellevue,N08000309,5076,677,13.34
Belmont,N08000310,4485,618,13.78
Belvoir,N08000311,5082,651,12.81
Blackstaff,N08000312,7096,646,9.10
Bloomfield (Belfast LGD),N08000313,5574,586,10.51
Cavehill,N08000314,4167,591,14.18
Central,N08000315,15010,1010,6.73
Chichester Park,N08000316,5105,716,14.03
Cliftonville,N08000317,5301,715,13.49
Clonard,N08000318,5601,718,12.82
Collin Glen,N08000319,5274,770,14.60
Connswater,N08000320,5566,644,11.57
Cregagh,N08000321,4307,594,13.79
Duncairn,N08000322,7885,751,9.52
Dunmurry,N08000323,4937,676,13.69
Falls,N08000324,4782,598,12.51
Falls Park,N08000325,4470,714,15.97
Finaghy,N08000326,4298,604,14.05
Forth River,N08000327,4636,604,13.03
Fortwilliam,N08000328,4457,598,13.42
Garnerville,N08000329,4520,623,13.78
Gilnahirk,N08000330,4839,686,14.18
Hillfoot,N08000331,4339,632,14.57
Innisfayle,N08000332,5070,694,13.69
Knock,N08000333,4766,600,12.59
Ladybrook,N08000334,4539,695,15.31
Lagmore,N08000335,7639,1028,13.46
Legoniel,N08000336,5665,760,13.42
Malone,N08000337,4594,567,12.34
Merok,N08000338,4203,577,13.73
Musgrave,N08000339,4600,627,13.63
New Lodge,N08000340,4590,561,12.22
Orangefield,N08000341,4477,564,12.60
Ormeau,N08000342,6206,585,9.43
Poleglass,N08000343,5580,794,14.23
Ravenhill,N08000344,4594,550,11.97
Rosetta,N08000345,5477,649,11.85
Sandown,N08000346,4188,571,13.63
Shandon,N08000347,5086,738,14.51
Shankill (Belfast LGD),N08000348,6014,776,12.90
Shaw's Road,N08000349,5161,763,14.78
Stewartstown (Belfast LGD),N08000350,4358,693,15.90
Stormont,N08000351,4829,593,12.28
Stranmillis,N08000352,8634,722,8.36
Sydenham,N08000353,5300,573,10.81
Turf Lodge,N08000354,4267,614,14.39
Twinbrook,N08000355,4574,669,14.63
Upper Malone,N08000356,4702,648,13.78
Water Works,N08000357,6395,783,12.24
Windsor,N08000358,11011,729,6.62
Woodstock,N08000359,6062,633,10.44
Woodvale,N08000360,4828,630,13.05
Aghadowey,N08000401,3255,434,13.33
Altahullion,N08000402,3000,396,13.20
Atlantic,N08000403,4284,510,11.90
Ballycastle,N08000404,3218,419,13.02
Ballykelly,N08000405,2928,352,12.02
Ballymoney East,N08000406,2927,356,12.16
Ballymoney North,N08000407,3239,398,12.29
Ballymoney South,N08000408,3193,339,10.62
Castlerock,N08000409,3230,428,13.25
Churchland,N08000410,3498,453,12.95
Clogh Mills,N08000411,3419,415,12.14
Coolessan,N08000412,2763,321,11.62
Dervock,N08000413,3248,402,12.38
Drumsurn,N08000414,3398,413,12.15
Dundooan,N08000415,3744,422,11.27
Dungiven,N08000416,3090,344,11.13
Dunloy,N08000417,3393,441,13.00
Feeny,N08000418,3318,358,10.79
Garvagh,N08000419,3280,369,11.25
Giant's Causeway,N08000420,3230,385,11.92
Greysteel,N08000421,4275,534,12.49
Greystone (Causeway Coast and Glens LGD),N08000422,3286,393,11.96
Hopefield,N08000423,3397,411,12.10
Kilrea,N08000424,3516,384,10.92
Kinbane,N08000425,3768,486,12.90
Loughguile and Stranocum,N08000426,3438,408,11.87
Lurigethan,N08000427,2622,344,13.12
Macosquin,N08000428,3275,392,11.97
Magilligan,N08000429,3366,375,11.14
Mountsandel,N08000430,3635,398,10.95
Portrush and Dunluce,N08000431,2683,294,10.96
Portstewart,N08000432,2815,363,12.90
Quarry,N08000433,4126,479,11.61
Rasharkin,N08000434,3645,399,10.95
Roeside,N08000435,2544,294,11.56
Route,N08000436,3240,421,12.99
Torr Head and Rathlin,N08000437,3399,409,12.03
University,N08000438,3457,405,11.72
Waterside,N08000439,4067,421,10.35
Windy Hall,N08000440,3569,425,11.91
