Geography,GeographyCode,Total,SocialRented,SocialRented_pct
MEIGH,N11000534,371,42,11.32
MULLAGHBANE,N11000535,246,61,24.80
NEWRY,N11000537,11240,1838,16.35
NEWTOWNCLOGHOGE,N11000538,209,40,19.14
NEWTOWNHAMILTON,N11000539,346,94,27.17
ROSTREVOR,N11000540,1043,119,11.41
WARRENPOINT / BURREN,N11000544,3564,421,11.81
BALLYCLARE,N11000546,4614,551,11.94
BALLYNURE,N11000550,426,13,3.05
BALLYROBERT,N11000551,329,0,0.00
COGRY / KILBRIDE,N11000553,528,22,4.17
DOAGH,N11000555,633,61,9.64
METROPOLITAN NEWTOWNABBEY,N11000559,28609,4335,15.15
BANGOR,N11000564,28068,3213,11.45
CRAWFORDSBURN,N11000566,205,4,1.95
GROOMSPORT,N11000568,620,77,12.42
HELEN'S BAY,N11000569,616,2,0.32
HOLYWOOD,N11000570,4660,699,15.00
SEAHILL,N11000573,442,6,1.36
BERAGH,N11000576,299,35,11.71
CARRICKMORE,N11000577,230,24,10.43
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,487,103,21.15
DRUMQUIN,N11000584,241,58,24.07
FINTONA,N11000589,580,149,25.69
LOUGHMACRORY,N11000599,194,11,5.67
OMAGH TOWN,N11000603,8754,1336,15.26
ARTIGARVAN,N11000616,329,32,9.73
BALLYMAGORRY,N11000617,278,28,10.07
CASTLEDERG,N11000619,1295,239,18.46
CLADY (DERRY CITY AND STRABANE LGD),N11000620,253,23,9.09
DONEMANA,N11000624,265,83,31.32
ERGANAGH,N11000627,193,22,11.40
GLEBE,N11000629,269,70,26.02
MAGHERAMASON,N11000633,247,36,14.57
NEWTOWNSTEWART,N11000634,627,216,34.45
SION MILLS,N11000636,889,189,21.26
STRABANE,N11000638,5557,1159,20.86
ELSEWHERE IN NI,N11999999,161748,4792,2.96
