Geography,GeographyCode,Total,Catholic,Catholic_pct
ANTRIM,N11000001,25606,7895,30.83
CRUMLIN,N11000003,5366,3984,74.25
PARKGATE,N11000009,661,32,4.84
RANDALSTOWN,N11000010,5150,2686,52.16
TEMPLEPATRICK,N11000011,1538,196,12.74
TOOME,N11000012,1016,922,90.75
BALLYGOWAN,N11000022,3138,219,6.98
BALLYHALBERT,N11000023,1270,52,4.09
BALLYWALTER,N11000025,2009,46,2.29
CARROWDORE,N11000026,1056,17,1.61
CLOUGHEY,N11000027,1347,406,30.14
COMBER,N11000028,9531,491,5.15
DONAGHADEE,N11000030,7325,351,4.79
GREYABBEY,N11000032,874,38,4.35
KIRCUBBIN,N11000035,1065,608,57.09
LISBANE,N11000037,518,18,3.47
MILLISLE,N11000039,2562,71,2.77
NEWTOWNARDS,N11000040,29677,2044,6.89
PORTAFERRY,N11000041,2370,1923,81.14
PORTAVOGIE,N11000042,2275,71,3.12
ARMAGH,N11000051,16310,10357,63.50
HAMILTONSBAWN,N11000072,1039,73,7.03
KEADY,N11000073,3338,2770,82.98
LAURELVALE / MULLAVILLY,N11000076,1391,95,6.83
MARKETHILL,N11000081,1913,325,16.99
MILFORD,N11000083,550,387,70.36
POYNTZPASS,N11000088,632,451,71.36
RICHHILL,N11000089,2738,144,5.26
TANDRAGEE,N11000093,3545,321,9.06
AHOGHILL,N11000098,3537,119,3.36
BALLYMENA,N11000099,31205,7451,23.88
BROUGHSHANE,N11000100,3097,126,4.07
CARGAN,N11000101,626,524,83.71
CULLYBACKEY,N11000103,2659,70,2.63
GRANGE CORNER,N11000104,520,66,12.69
KELLS / CONNOR,N11000105,2122,82,3.86
PORTGLENONE,N11000107,1370,727,53.07
BALLYBOGY,N11000108,564,17,3.01
BALLYMONEY,N11000109,11048,1549,14.02
BALNAMORE,N11000110,832,48,5.77
BENDOORAGH,N11000111,647,59,9.12
CLOGH MILLS,N11000114,1232,386,31.33
DERVOCK,N11000117,772,20,2.59
DUNLOY,N11000119,1121,1037,92.51
RASHARKIN,N11000123,1072,827,77.15
BANBRIDGE,N11000131,17400,5591,32.13
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,6395,876,13.70
GILFORD,N11000137,1957,892,45.58
KINALLEN,N11000141,1124,91,8.10
LAWRENCETOWN,N11000142,995,740,74.37
LOUGHBRICKLAND,N11000145,792,397,50.13
RATHFRILAND,N11000147,2495,994,39.84
BELFAST CITY,N11000151,293298,124545,42.46
CARRICKFERGUS,N11000153,28140,1885,6.70
GREENISLAND,N11000154,5965,572,9.59
WHITEHEAD,N11000157,3537,446,12.61
CARRYDUFF,N11000159,7172,3492,48.69
METROPOLITAN CASTLEREAGH,N11000162,58763,11452,19.49
MONEYREAGH,N11000163,1545,56,3.62
ARTICLAVE,N11000165,921,90,9.77
CASTLEROCK,N11000170,1156,146,12.63
CASTLEROE,N11000171,672,94,13.99
COLERAINE,N11000173,24482,5283,21.58
GARVAGH,N11000176,1252,240,19.17
KILREA,N11000179,1672,1197,71.59
MACOSQUIN,N11000180,603,19,3.15
PORTBALLINTRAE,N11000182,501,10,2.00
PORTRUSH,N11000183,6150,1294,21.04
PORTSTEWART,N11000184,7853,2416,30.77
ARDBOE,N11000186,772,716,92.75
BALLYRONAN,N11000190,613,499,81.40
COAGH,N11000192,775,164,21.16
COOKSTOWN,N11000193,12546,6639,52.92
MONEYMORE,N11000203,2141,911,42.55
MOORTOWN,N11000204,548,534,97.45
POMEROY,N11000206,793,682,86.00
STEWARTSTOWN,N11000208,640,481,75.16
AGHAGALLON,N11000212,1175,1057,89.96
BLEARY,N11000216,1107,433,39.11
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,72300,35149,48.62
DERRYMACASH,N11000220,716,673,93.99
DOLLINGSTOWN,N11000223,2256,160,7.09
DONAGHCLONEY,N11000224,1981,117,5.91
DRUMNACANVY,N11000225,1128,78,6.91
MAGHERALIN,N11000228,2043,544,26.63
SCOTCH STREET,N11000232,675,97,14.37
