Geography,GeographyCode,Total,WorkFromHome,WorkFromHome_pct
Antrim and Newtownabbey,N09000001,65907,12817,19.45
"Armagh City, Banbridge and Craigavon",N09000002,97705,15795,16.17
Belfast,N09000003,138456,30584,22.09
Causeway Coast and Glens,N09000004,57990,9885,17.05
Derry City and Strabane,N09000005,58487,9770,16.70
Fermanagh and Omagh,N09000006,49819,8160,16.38
Lisburn and Castlereagh,N09000007,69545,15659,22.52
Mid and East Antrim,N09000008,61017,10707,17.55
Mid Ulster,N09000009,67519,10745,15.91
"Newry, Mourne and Down",N09000010,77026,13540,17.58
Ards and North Down,N09000011,70301,15859,22.56
