Geography,GeographyCode,Total,SocialRented,SocialRented_pct
Shaw's Road,N08000349,2297,769,33.48
Stewartstown (Belfast LGD),N08000350,1889,496,26.26
Stormont,N08000351,2176,266,12.22
Stranmillis,N08000352,2761,29,1.05
Sydenham,N08000353,2772,505,18.22
Turf Lodge,N08000354,1817,810,44.58
Twinbrook,N08000355,2082,852,40.92
Upper Malone,N08000356,2170,507,23.36
Water Works,N08000357,3090,1527,49.42
Windsor,N08000358,4960,502,10.12
Woodstock,N08000359,3226,1098,34.04
Woodvale,N08000360,2612,1175,44.98
Aghadowey,N08000401,1276,54,4.23
Altahullion,N08000402,1143,62,5.42
Atlantic,N08000403,1945,291,14.96
Ballycastle,N08000404,1486,186,12.52
Ballykelly,N08000405,1166,136,11.66
Ballymoney East,N08000406,1415,321,22.69
Ballymoney North,N08000407,1478,197,13.33
Ballymoney South,N08000408,1438,244,16.97
Castlerock,N08000409,1450,133,9.17
Churchland,N08000410,1558,124,7.96
Clogh Mills,N08000411,1379,119,8.63
Coolessan,N08000412,1378,498,36.14
Dervock,N08000413,1390,170,12.23
Drumsurn,N08000414,1377,127,9.22
Dundooan,N08000415,1478,84,5.68
Dungiven,N08000416,1207,148,12.26
Dunloy,N08000417,1245,82,6.59
Feeny,N08000418,1295,83,6.41
Garvagh,N08000419,1250,158,12.64
Giant's Causeway,N08000420,1455,277,19.04
Greysteel,N08000421,1835,130,7.08
Greystone (Causeway Coast and Glens LGD),N08000422,1392,187,13.43
Hopefield,N08000423,1563,119,7.61
Kilrea,N08000424,1421,163,11.47
Kinbane,N08000425,1633,316,19.35
Loughguile and Stranocum,N08000426,1303,133,10.21
Lurigethan,N08000427,1087,82,7.54
Macosquin,N08000428,1339,123,9.19
Magilligan,N08000429,1123,88,7.84
Mountsandel,N08000430,1862,249,13.37
Portrush and Dunluce,N08000431,1437,196,13.64
Portstewart,N08000432,1439,137,9.52
Quarry,N08000433,1847,808,43.75
Rasharkin,N08000434,1406,106,7.54
Roeside,N08000435,1301,228,17.52
Route,N08000436,1394,107,7.68
Torr Head and Rathlin,N08000437,1387,117,8.44
University,N08000438,1515,377,24.88
Waterside,N08000439,1961,501,25.55
Windy Hall,N08000440,1522,53,3.48
Artigarvan,N08000501,1383,81,5.86
Ballycolman,N08000502,1402,319,22.75
Ballymagroarty,N08000503,1521,814,53.52
Brandywell,N08000504,1500,613,40.87
Carn Hill,N08000505,1168,321,27.48
Castlederg,N08000506,1468,241,16.42
Caw,N08000507,1944,496,25.51
City Walls,N08000508,1892,733,38.74
Claudy,N08000509,1302,106,8.14
Clondermot,N08000510,1559,307,19.69
Creggan,N08000511,1419,517,36.43
Creggan South,N08000512,1578,893,56.59
Culmore,N08000513,1467,20,1.36
Drumahoe,N08000514,1795,325,18.11
Dunnamanagh,N08000515,1300,139,10.69
Ebrington,N08000516,1827,320,17.52
Eglinton,N08000517,1474,160,10.85
Enagh,N08000518,1642,300,18.27
Finn,N08000519,1540,70,4.55
Foyle Springs,N08000520,1168,140,11.99
Galliagh,N08000521,1549,893,57.65
Glenderg,N08000522,1190,80,6.72
Glenelly Valley,N08000523,1200,85,7.08
Kilfennan,N08000524,1747,19,1.09
Lisnagelvin,N08000525,1497,280,18.70
Madam's Bank,N08000526,1205,80,6.64
New Buildings,N08000527,1511,122,8.07
Newtownstewart,N08000528,1273,255,20.03
Northland,N08000529,2375,542,22.82
Park (Derry City and Strabane LGD),N08000530,1233,71,5.76
Shantallow,N08000531,1461,499,34.15
Shantallow East,N08000532,1575,376,23.87
Sheriff's Mountain,N08000533,1220,267,21.89
Sion Mills,N08000534,1550,302,19.48
Skeoge,N08000535,2421,1525,62.99
Slievekirk,N08000536,1364,90,6.60
Springtown,N08000537,1147,244,21.27
Strabane North,N08000538,1768,438,24.77
Strabane West,N08000539,1404,385,27.42
Victoria (Derry City and Strabane LGD),N08000540,1905,356,18.69
Ballinamallard,N08000601,1214,119,9.80
Belcoo and Garrison,N08000602,1044,52,4.98
Belleek and Boa,N08000603,1287,92,7.15
Beragh,N08000604,1092,52,4.76
"Boho, Cleenish and Letterbreen",N08000605,1248,51,4.09
Brookeborough,N08000606,929,35,3.77
Camowen,N08000607,1347,191,14.18
Castlecoole,N08000608,1329,130,9.78
Coolnagard,N08000609,1298,135,10.40
Dergmoney,N08000610,1248,87,6.97
Derrygonnelly,N08000611,1068,39,3.65
Derrylin,N08000612,1043,43,4.12
Donagh,N08000613,919,32,3.48
Dromore (Fermanagh and Omagh LGD),N08000614,1034,115,11.12
Drumnakilly,N08000615,1102,59,5.35
Drumquin,N08000616,1057,70,6.62
Ederney and Kesh,N08000617,1147,103,8.98
Erne,N08000618,1351,286,21.17
Fairy Water,N08000619,1007,14,1.39
Fintona,N08000620,1051,151,14.37
Florence Court and Kinawley,N08000621,1030,22,2.14
Gortin,N08000622,1176,38,3.23
Gortrush,N08000623,1378,250,18.14
Irvinestown,N08000624,1420,215,15.14
Killyclogher,N08000625,1271,166,13.06
Lisbellaw,N08000626,1176,58,4.93
Lisnarrick,N08000627,1321,161,12.19
Lisnaskea,N08000628,1134,215,18.96
Maguiresbridge,N08000629,1229,58,4.72
Newtownbutler,N08000630,1003,134,13.36
Newtownsaville,N08000631,1043,7,0.67
Owenkillew,N08000632,936,33,3.53
Portora,N08000633,1546,261,16.88
Rosslea,N08000634,833,53,6.36
Rossorry,N08000635,1145,161,14.06
Sixmilecross,N08000636,967,34,3.52
Strule,N08000637,1474,471,31.95
Tempo,N08000638,1055,55,5.21
Termon,N08000639,879,26,2.96
Trillick,N08000640,889,29,3.26
Ballinderry,N08000701,1434,34,2.37
Ballyhanwood,N08000702,1319,65,4.93
Ballymacash,N08000703,1206,144,11.94
Ballymacbrennan,N08000704,1164,34,2.92
Ballymacoss,N08000705,2343,720,30.73
Beechill,N08000706,1245,113,9.08
Blaris,N08000707,1578,180,11.41
Cairnshill,N08000708,1361,5,0.37
Carrowreagh,N08000709,2404,119,4.95
Carryduff East,N08000710,1448,148,10.22
Carryduff West,N08000711,1339,3,0.22
Derryaghy,N08000712,1992,420,21.08
Dromara,N08000713,1296,33,2.55
Drumbo,N08000714,1188,46,3.87
Dundonald,N08000715,1375,164,11.93
Enler,N08000716,1464,519,35.45
Galwally,N08000717,1314,35,2.66
Glenavy,N08000718,1391,55,3.95
Graham's Bridge,N08000719,1491,386,25.89
Harmony Hill,N08000720,1288,83,6.44
Hilden,N08000721,1958,641,32.74
Hillhall,N08000722,1676,351,20.94
Hillsborough,N08000723,1471,96,6.53
Knockbracken,N08000724,1334,23,1.72
Knockmore,N08000725,1827,357,19.54
Lagan,N08000726,1359,76,5.59
Lagan Valley,N08000727,1495,513,34.31
Lambeg,N08000728,1799,568,31.57
Lisnagarvey,N08000729,1321,125,9.46
Maghaberry,N08000730,1546,22,1.42
Magheralave,N08000731,1680,104,6.19
Maze,N08000732,1277,79,6.19
Moira,N08000733,1540,25,1.62
Moneyreagh,N08000734,1219,53,4.35
Newtownbreda,N08000735,1240,84,6.77
Old Warren,N08000736,1752,798,45.55
Ravernet,N08000737,1162,39,3.36
Stonyford,N08000738,1112,16,1.44
Wallace Park,N08000739,1377,48,3.49
White Mountain,N08000740,2346,76,3.24
Academy,N08000801,1081,23,2.13
Ahoghill,N08000802,1480,162,10.95
Ardeevin,N08000803,1498,31,2.07
Ballee and Harryville,N08000804,1658,552,33.29
Ballycarry and Glynn,N08000805,1523,65,4.27
Ballykeel,N08000806,1374,522,37.99
Boneybefore,N08000807,1236,39,3.16
Braidwater,N08000808,1324,132,9.97
Broughshane,N08000809,1605,208,12.96
Burleigh Hill,N08000810,1117,35,3.13
Cairncastle,N08000811,1372,34,2.48
Carnlough and Glenarm,N08000812,1276,153,11.99
Castle (Mid and East Antrim LGD),N08000813,2115,538,25.44
Castle Demesne,N08000814,1929,497,25.76
Craigyhill,N08000815,1819,336,18.47
Cullybackey,N08000816,1295,275,21.24
Curran and Inver,N08000817,1653,224,13.55
Fair Green,N08000818,1769,483,27.30
Galgorm,N08000819,1330,57,4.29
Gardenmore,N08000820,1593,274,17.20
Glenravel,N08000821,1278,61,4.77
Glenwhirry,N08000822,1115,11,0.99
Gortalee,N08000823,1664,373,22.42
Grange,N08000824,1249,24,1.92
Greenisland,N08000825,1430,45,3.15
Islandmagee,N08000826,1314,73,5.56
Kells,N08000827,1373,134,9.76
Kilroot,N08000828,1588,104,6.55
Kilwaughter,N08000829,1840,25,1.36
Kirkinriola,N08000830,1231,58,4.71
Love Lane,N08000831,1417,263,18.56
Maine,N08000832,1109,17,1.53
Park (Mid and East Antrim LGD),N08000833,1184,31,2.62
Portglenone,N08000834,1277,123,9.63
Slemish,N08000835,1152,13,1.13
Sunnylands,N08000836,1788,453,25.34
The Maidens,N08000837,1616,255,15.78
Victoria (Mid and East Antrim LGD),N08000838,1707,258,15.11
Whitehead South,N08000839,1550,178,11.48
Woodburn,N08000840,1360,32,2.35
Ardboe,N08000901,1268,50,3.94
Augher and Clogher,N08000902,1234,86,6.97
Aughnacloy,N08000903,1292,79,6.11
Ballygawley,N08000904,1370,80,5.84
Ballymaguigan,N08000905,1381,29,2.10
Ballysaggart,N08000906,1811,562,31.03
Bellaghy,N08000907,1285,61,4.75
Caledon,N08000908,1388,85,6.12
Castlecaulfield,N08000909,1318,40,3.03
Castledawson,N08000910,1401,119,8.49
Coagh,N08000911,1179,68,5.77
Coalisland North,N08000912,1391,141,10.14
Coalisland South,N08000913,1831,414,22.61
Cookstown East,N08000914,1550,196,12.65
Cookstown South,N08000915,1340,167,12.46
Cookstown West,N08000916,1508,270,17.90
Coolshinny,N08000917,1364,19,1.39
Donaghmore,N08000918,1303,52,3.99
Draperstown,N08000919,1175,111,9.45
Fivemiletown,N08000920,1259,121,9.61
Glebe (Mid Ulster LGD),N08000921,1579,266,16.85
Killyman,N08000922,1310,22,1.68
Killymeal,N08000923,1773,278,15.68
Lissan,N08000924,1269,62,4.89
Loughry,N08000925,1154,124,10.75
Lower Glenshane,N08000926,1014,21,2.07
Maghera,N08000927,1405,267,19.00
Moy,N08000928,1451,91,6.27
Moygashel,N08000929,1449,152,10.49
Mullaghmore,N08000930,1568,251,16.01
Oaklands,N08000931,1099,8,0.73
Pomeroy,N08000932,1285,59,4.59
Stewartstown (Mid Ulster LGD),N08000933,1108,82,7.40
Swatragh,N08000934,1090,58,5.32
Tamlaght O'Crilly,N08000935,1220,107,8.77
The Loup,N08000936,1476,37,2.51
Tobermore,N08000937,1249,86,6.89
Town Parks East,N08000938,1442,296,20.53
Valley (Mid Ulster LGD),N08000939,1216,58,4.77
Washing Bay,N08000940,1209,25,2.07
"Abbey (Newry, Mourne and Down LGD)",N08001001,1677,225,13.42
Annalong,N08001002,1620,102,6.30
Ballybot,N08001003,2307,817,35.41
Ballydugan,N08001004,1310,19,1.45
Ballynahinch,N08001005,2096,434,20.71
Ballyward,N08001006,1562,55,3.52
Bessbrook,N08001007,2157,398,18.45
Binnian,N08001008,1580,60,3.80
Burren,N08001009,1468,43,2.93
Camlough,N08001010,1413,134,9.48
Castlewellan,N08001011,1605,187,11.65
"Cathedral (Newry, Mourne and Down LGD)",N08001012,1738,417,23.99
Crossgar and Killyleagh,N08001013,1876,248,13.22
Crossmaglen,N08001014,1413,215,15.22
Damolly,N08001015,1692,304,17.97
Derryboy,N08001016,1563,162,10.36
Derryleckagh,N08001017,1581,23,1.45
Donard,N08001018,1663,183,11.00
Drumalane,N08001019,1912,174,9.10
Drumaness,N08001020,1519,81,5.33
Dundrum,N08001021,1788,202,11.30
Fathom,N08001022,1519,93,6.12
Forkhill,N08001023,1450,83,5.72
Hilltown,N08001024,1716,79,4.60
Kilkeel,N08001025,1610,234,14.53
Kilmore,N08001026,1425,11,0.77
Knocknashinna,N08001027,1829,324,17.71
Lecale,N08001028,1725,234,13.57
Lisnacree,N08001029,1629,80,4.91
Mayobridge,N08001030,1723,71,4.12
Mullaghbane,N08001031,1508,116,7.69
Murlough,N08001032,1989,370,18.60
Newtownhamilton,N08001033,1447,125,8.64
Quoile,N08001034,1557,88,5.65
Rostrevor,N08001035,1743,149,8.55
Saintfield,N08001036,1710,96,5.61
St. Patrick's,N08001037,1797,171,9.52
Strangford,N08001038,1682,76,4.52
Tollymore,N08001039,1457,52,3.57
Warrenpoint,N08001040,1956,360,18.40
Whitecross,N08001041,1391,59,4.24
Ballycrochan,N08001101,1288,59,4.58
Ballygowan,N08001102,1702,97,5.70
Ballygrainey,N08001103,2681,725,27.04
Ballyholme,N08001104,1733,120,6.92
Ballymagee,N08001105,1485,9,0.61
Ballywalter,N08001106,2039,235,11.53
Bloomfield (Ards and North Down LGD),N08001107,1770,362,20.45
Broadway,N08001108,1535,105,6.84
Bryansburn,N08001109,1633,83,5.08
Carrowdore,N08001110,1765,233,13.20
Castle (Ards and North Down LGD),N08001111,1937,495,25.55
Clandeboye,N08001112,1577,74,4.69
Comber North,N08001113,1624,343,21.12
Comber South,N08001114,1655,286,17.28
Comber West,N08001115,1742,127,7.29
Conway Square,N08001116,2328,574,24.66
Cronstown,N08001117,1676,6,0.36
