Geography,GeographyCode,AllHouseholds
Antrim and Newtownabbey,N09000001,59457
"Armagh City, Banbridge and Craigavon",N09000002,84642
Belfast,N09000003,149208
Causeway Coast and Glens,N09000004,57576
Derry City and Strabane,N09000005,60935
Fermanagh and Omagh,N09000006,45715
Lisburn and Castlereagh,N09000007,60147
Mid and East Antrim,N09000008,58283
Mid Ulster,N09000009,54005
"Newry, Mourne and Down",N09000010,68397
Ards and North Down,N09000011,70445
