Geography,GeographyCode,Total,NoCar,NoCar_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,1535,332,21.63
Aldergrove,N08000102,1491,93,6.24
Antrim Centre,N08000103,1976,504,25.51
Ballyclare East,N08000104,1897,393,20.72
Ballyclare West,N08000105,1637,280,17.10
Ballyduff,N08000106,1438,315,21.91
Ballyhenry,N08000107,1043,84,8.05
Ballynure,N08000108,1421,78,5.49
Ballyrobert,N08000109,1485,77,5.19
Burnthill,N08000110,1659,285,17.18
Carnmoney,N08000111,1160,154,13.28
Carnmoney Hill,N08000112,1322,178,13.46
Clady,N08000113,1327,60,4.52
Collinbridge,N08000114,1124,91,8.10
Cranfield,N08000115,1160,88,7.59
Crumlin,N08000116,1424,210,14.75
Doagh,N08000117,1444,126,8.73
Fairview,N08000118,1240,147,11.85
Fountain Hill,N08000119,1359,173,12.73
Glebe (Antrim and Newtownabbey LGD),N08000120,1198,145,12.10
Glengormley,N08000121,1608,470,29.23
Greystone (Antrim and Newtownabbey LGD),N08000122,1457,484,33.22
Hightown,N08000123,1263,150,11.88
Jordanstown,N08000124,1199,45,3.75
Mallusk,N08000125,2299,113,4.92
Monkstown,N08000126,1593,440,27.62
Mossley,N08000127,1619,278,17.17
O'Neill,N08000128,1608,642,39.93
Parkgate,N08000129,1206,50,4.15
Randalstown,N08000130,1556,284,18.25
Rathcoole,N08000131,1519,531,34.96
Rostulla,N08000132,1402,70,4.99
Shilvodan,N08000133,1321,39,2.95
Springfarm,N08000134,2009,269,13.39
Steeple,N08000135,1692,621,36.70
Stiles,N08000136,1728,394,22.80
Templepatrick,N08000137,1424,80,5.62
Toome,N08000138,1319,119,9.02
Valley (Antrim and Newtownabbey LGD),N08000139,1692,557,32.92
Whitehouse,N08000140,1595,514,32.23
Aghagallon,N08000201,1758,103,5.86
Ballybay,N08000202,2372,772,32.55
Banbridge East,N08000203,1699,118,6.95
Banbridge North,N08000204,1795,295,16.43
Banbridge South,N08000205,2235,469,20.98
Banbridge West,N08000206,2306,464,20.12
Blackwatertown,N08000207,1884,127,6.74
Bleary,N08000208,1829,84,4.59
Brownlow,N08000209,2516,591,23.49
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,1936,517,26.70
Corcrain,N08000211,2135,804,37.66
Craigavon Centre,N08000212,2569,305,11.87
Demesne,N08000213,2187,390,17.83
Derrytrasna,N08000214,1675,78,4.66
Donaghcloney,N08000215,1819,105,5.77
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,1949,188,9.65
Gilford,N08000217,1988,269,13.53
Gransha,N08000218,1801,55,3.05
Hamiltonsbawn,N08000219,1832,105,5.73
Keady,N08000220,1939,271,13.98
Kernan,N08000221,2342,340,14.52
Killycomain,N08000222,2306,798,34.61
Knocknashane,N08000223,1899,223,11.74
Lough Road,N08000224,2173,443,20.39
Loughbrickland,N08000225,2069,155,7.49
Loughgall,N08000226,1964,125,6.36
Magheralin,N08000227,2077,167,8.04
Mahon,N08000228,2084,297,14.25
Markethill,N08000229,2082,211,10.13
Mourneview,N08000230,2367,655,27.67
Navan,N08000231,1813,126,6.95
Parklake,N08000232,2363,746,31.57
Quilly,N08000233,1800,231,12.83
Rathfriland,N08000234,1907,212,11.12
Richhill,N08000235,1888,152,8.05
Seagahan,N08000236,1818,130,7.15
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,2736,935,34.17
Tandragee,N08000238,2094,265,12.66
The Birches,N08000239,2117,137,6.47
The Mall,N08000240,2379,517,21.73
Waringstown,N08000241,2148,140,6.52
Andersonstown,N08000301,1981,600,30.29
Ardoyne,N08000302,2481,1359,54.78
Ballygomartin,N08000303,2522,717,28.43
Ballymacarrett,N08000304,2759,1379,49.98
Ballymurphy,N08000305,1916,941,49.11
Ballysillan,N08000306,2226,623,27.99
Beechmount,N08000307,2317,1156,49.89
Beersbridge,N08000308,3295,1602,48.62
Bellevue,N08000309,2422,673,27.79
Belmont,N08000310,2024,261,12.90
Belvoir,N08000311,2592,644,24.85
Blackstaff,N08000312,3862,2119,54.87
Bloomfield (Belfast LGD),N08000313,2921,1047,35.84
Cavehill,N08000314,1682,181,10.76
Central,N08000315,5706,2938,51.49
Chichester Park,N08000316,2328,748,32.13
Cliftonville,N08000317,2285,760,33.26
Clonard,N08000318,2647,1471,55.57
Collin Glen,N08000319,2210,696,31.49
Connswater,N08000320,2878,945,32.84
Cregagh,N08000321,2084,578,27.74
Duncairn,N08000322,3565,1827,51.25
Dunmurry,N08000323,2203,410,18.61
Falls,N08000324,2287,1443,63.10
Falls Park,N08000325,1984,628,31.65
Finaghy,N08000326,1852,252,13.61
Forth River,N08000327,2165,813,37.55
Fortwilliam,N08000328,2062,602,29.19
Garnerville,N08000329,2128,324,15.23
Gilnahirk,N08000330,2192,400,18.25
Hillfoot,N08000331,2002,191,9.54
Innisfayle,N08000332,2323,596,25.66
Knock,N08000333,2265,366,16.16
Ladybrook,N08000334,1870,372,19.89
Lagmore,N08000335,2778,519,18.68
Legoniel,N08000336,2524,790,31.30
Malone,N08000337,1996,213,10.67
Merok,N08000338,1846,358,19.39
Musgrave,N08000339,2063,377,18.27
New Lodge,N08000340,2338,1473,63.00
Orangefield,N08000341,2127,331,15.56
Ormeau,N08000342,3170,1038,32.74
Poleglass,N08000343,2249,812,36.10
Ravenhill,N08000344,2171,457,21.05
Rosetta,N08000345,2561,462,18.04
Sandown,N08000346,1963,324,16.51
Shandon,N08000347,2402,408,16.99
Shankill (Belfast LGD),N08000348,3124,1728,55.31
Shaw's Road,N08000349,2298,842,36.64
Stewartstown (Belfast LGD),N08000350,1888,576,30.51
Stormont,N08000351,2177,335,15.39
Stranmillis,N08000352,2761,428,15.50
Sydenham,N08000353,2771,861,31.07
Turf Lodge,N08000354,1817,854,47.00
Twinbrook,N08000355,2078,765,36.81
Upper Malone,N08000356,2170,472,21.75
Water Works,N08000357,3089,1712,55.42
Windsor,N08000358,4960,1947,39.25
Woodstock,N08000359,3226,1419,43.99
Woodvale,N08000360,2612,1433,54.86
Aghadowey,N08000401,1277,64,5.01
Altahullion,N08000402,1145,88,7.69
Atlantic,N08000403,1943,313,16.11
Ballycastle,N08000404,1481,303,20.46
Ballykelly,N08000405,1164,159,13.66
Ballymoney East,N08000406,1418,376,26.52
Ballymoney North,N08000407,1478,281,19.01
Ballymoney South,N08000408,1438,238,16.55
Castlerock,N08000409,1452,163,11.23
Churchland,N08000410,1558,178,11.42
Clogh Mills,N08000411,1379,134,9.72
Coolessan,N08000412,1379,509,36.91
Dervock,N08000413,1390,153,11.01
Drumsurn,N08000414,1378,131,9.51
Dundooan,N08000415,1475,110,7.46
Dungiven,N08000416,1205,193,16.02
Dunloy,N08000417,1245,78,6.27
Feeny,N08000418,1298,165,12.71
Garvagh,N08000419,1250,132,10.56
Giant's Causeway,N08000420,1456,237,16.28
Greysteel,N08000421,1833,229,12.49
Greystone (Causeway Coast and Glens LGD),N08000422,1392,218,15.66
Hopefield,N08000423,1563,196,12.54
Kilrea,N08000424,1418,167,11.78
Kinbane,N08000425,1633,239,14.64
Loughguile and Stranocum,N08000426,1302,105,8.06
Lurigethan,N08000427,1088,139,12.78
Macosquin,N08000428,1340,136,10.15
Magilligan,N08000429,1123,116,10.33
Mountsandel,N08000430,1862,671,36.04
Portrush and Dunluce,N08000431,1438,365,25.38
Portstewart,N08000432,1440,256,17.78
Quarry,N08000433,1844,603,32.70
Rasharkin,N08000434,1406,125,8.89
Roeside,N08000435,1301,352,27.06
Route,N08000436,1393,142,10.19
Torr Head and Rathlin,N08000437,1388,168,12.10
University,N08000438,1516,424,27.97
Waterside,N08000439,1960,570,29.08
Windy Hall,N08000440,1522,128,8.41
Artigarvan,N08000501,1383,142,10.27
Ballycolman,N08000502,1401,313,22.34
Ballymagroarty,N08000503,1520,467,30.72
Brandywell,N08000504,1502,771,51.33
Carn Hill,N08000505,1165,387,33.22
Castlederg,N08000506,1467,299,20.38
Caw,N08000507,1944,514,26.44
City Walls,N08000508,1890,1147,60.69
Claudy,N08000509,1301,156,11.99
Clondermot,N08000510,1557,316,20.30
Creggan,N08000511,1420,565,39.79
Creggan South,N08000512,1578,672,42.59
Culmore,N08000513,1467,63,4.29
Drumahoe,N08000514,1793,295,16.45
Dunnamanagh,N08000515,1300,120,9.23
Ebrington,N08000516,1825,583,31.95
Eglinton,N08000517,1475,155,10.51
Enagh,N08000518,1648,282,17.11
Finn,N08000519,1539,165,10.72
Foyle Springs,N08000520,1166,192,16.47
Galliagh,N08000521,1547,599,38.72
Glenderg,N08000522,1186,114,9.61
Glenelly Valley,N08000523,1202,94,7.82
Kilfennan,N08000524,1749,163,9.32
Lisnagelvin,N08000525,1498,379,25.30
Madam's Bank,N08000526,1205,239,19.83
New Buildings,N08000527,1511,177,11.71
Newtownstewart,N08000528,1271,243,19.12
Northland,N08000529,2375,1142,48.08
Park (Derry City and Strabane LGD),N08000530,1230,107,8.70
Shantallow,N08000531,1461,465,31.83
Shantallow East,N08000532,1576,269,17.07
Sheriff's Mountain,N08000533,1219,250,20.51
Sion Mills,N08000534,1550,332,21.42
Skeoge,N08000535,2421,719,29.70
Slievekirk,N08000536,1363,142,10.42
Springtown,N08000537,1147,252,21.97
Strabane North,N08000538,1771,620,35.01
Strabane West,N08000539,1403,460,32.79
Victoria (Derry City and Strabane LGD),N08000540,1903,624,32.79
Ballinamallard,N08000601,1214,165,13.59
Belcoo and Garrison,N08000602,1045,104,9.95
Belleek and Boa,N08000603,1287,136,10.57
Beragh,N08000604,1092,111,10.16
"Boho, Cleenish and Letterbreen",N08000605,1245,68,5.46
Brookeborough,N08000606,929,73,7.86
Camowen,N08000607,1347,271,20.12
Castlecoole,N08000608,1326,195,14.71
