Geography,GeographyCode,Total,LimitingCondition,LimitingCondition_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,3356,822,24.49
Aldergrove,N08000102,4684,785,16.76
Antrim Centre,N08000103,4094,1153,28.16
Ballyclare East,N08000104,4142,1099,26.53
Ballyclare West,N08000105,4042,954,23.60
Ballyduff,N08000106,3021,985,32.61
Ballyhenry,N08000107,2710,560,20.66
Ballynure,N08000108,3612,716,19.82
Ballyrobert,N08000109,3810,761,19.97
Burnthill,N08000110,3717,1023,27.52
Carnmoney,N08000111,2606,782,30.01
Carnmoney Hill,N08000112,3305,735,22.24
Clady,N08000113,3834,814,21.23
Collinbridge,N08000114,2928,584,19.95
Cranfield,N08000115,3176,718,22.61
Crumlin,N08000116,3704,949,25.62
Doagh,N08000117,3470,725,20.89
Fairview,N08000118,3114,767,24.63
Fountain Hill,N08000119,3469,798,23.00
Glebe (Antrim and Newtownabbey LGD),N08000120,3042,750,24.65
Glengormley,N08000121,3421,1018,29.76
Greystone (Antrim and Newtownabbey LGD),N08000122,3072,975,31.74
Hightown,N08000123,3126,701,22.42
Jordanstown,N08000124,3243,565,17.42
Mallusk,N08000125,6279,954,15.19
Monkstown,N08000126,3726,936,25.12
Mossley,N08000127,3705,948,25.59
O'Neill,N08000128,3329,1200,36.05
Parkgate,N08000129,3260,607,18.62
Randalstown,N08000130,3733,913,24.46
Rathcoole,N08000131,3374,1074,31.83
Rostulla,N08000132,3914,696,17.78
Shilvodan,N08000133,3896,697,17.89
Springfarm,N08000134,5544,1104,19.91
Steeple,N08000135,3794,1110,29.26
Stiles,N08000136,3988,1110,27.83
Templepatrick,N08000137,3522,745,21.15
Toome,N08000138,3935,775,19.70
Valley (Antrim and Newtownabbey LGD),N08000139,3717,1127,30.32
Whitehouse,N08000140,3224,1091,33.84
Aghagallon,N08000201,5048,959,19.00
Ballybay,N08000202,5457,1467,26.88
Banbridge East,N08000203,4480,954,21.29
Banbridge North,N08000204,4270,1064,24.92
Banbridge South,N08000205,5043,1215,24.09
Banbridge West,N08000206,5431,1468,27.03
Blackwatertown,N08000207,5502,1139,20.70
Bleary,N08000208,4981,973,19.53
Brownlow,N08000209,6625,1862,28.11
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,5120,1439,28.11
Corcrain,N08000211,5451,1323,24.27
Craigavon Centre,N08000212,6749,1261,18.68
Demesne,N08000213,5705,1246,21.84
Derrytrasna,N08000214,4983,958,19.23
Donaghcloney,N08000215,4937,905,18.33
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,4842,969,20.01
Gilford,N08000217,4997,1208,24.17
Gransha,N08000218,5154,986,19.13
Hamiltonsbawn,N08000219,4968,964,19.40
Keady,N08000220,5243,1062,20.26
Kernan,N08000221,5895,1214,20.59
Killycomain,N08000222,5245,1298,24.75
Knocknashane,N08000223,4556,1009,22.15
Lough Road,N08000224,5600,1104,19.71
Loughbrickland,N08000225,5714,1106,19.36
Loughgall,N08000226,5481,1085,19.80
Magheralin,N08000227,5369,1014,18.89
Mahon,N08000228,5172,1183,22.87
Markethill,N08000229,5631,1222,21.70
Mourneview,N08000230,5495,1479,26.92
Navan,N08000231,5300,961,18.13
Parklake,N08000232,5649,1571,27.81
Quilly,N08000233,4497,1037,23.06
Rathfriland,N08000234,5009,1150,22.96
Richhill,N08000235,4836,1128,23.33
Seagahan,N08000236,5604,1079,19.25
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,6446,1948,30.22
Tandragee,N08000238,5172,1216,23.51
The Birches,N08000239,6098,1194,19.58
The Mall,N08000240,5510,1288,23.38
Waringstown,N08000241,5401,1020,18.89
Andersonstown,N08000301,4648,1543,33.20
Ardoyne,N08000302,5490,1966,35.81
Ballygomartin,N08000303,5951,1731,29.09
Ballymacarrett,N08000304,5904,1853,31.39
Ballymurphy,N08000305,5130,2006,39.10
Ballysillan,N08000306,5287,1523,28.81
Beechmount,N08000307,5392,1602,29.71
Beersbridge,N08000308,6610,1962,29.68
Bellevue,N08000309,5428,1539,28.35
Belmont,N08000310,4697,1031,21.95
Belvoir,N08000311,5359,1478,27.58
Blackstaff,N08000312,7547,2063,27.34
Bloomfield (Belfast LGD),N08000313,5896,1508,25.58
Cavehill,N08000314,4432,811,18.30
Central,N08000315,15446,2598,16.82
Chichester Park,N08000316,5406,1547,28.62
Cliftonville,N08000317,5657,1665,29.43
Clonard,N08000318,5999,1964,32.74
Collin Glen,N08000319,5659,1727,30.52
Connswater,N08000320,5929,1535,25.89
Cregagh,N08000321,4588,1301,28.36
Duncairn,N08000322,8338,2351,28.20
Dunmurry,N08000323,5206,1145,21.99
Falls,N08000324,5176,1957,37.81
Falls Park,N08000325,4742,1556,32.81
Finaghy,N08000326,4529,1008,22.26
Forth River,N08000327,4922,1626,33.04
Fortwilliam,N08000328,4717,1367,28.98
Garnerville,N08000329,4790,1156,24.13
Gilnahirk,N08000330,5149,1304,25.33
Hillfoot,N08000331,4580,969,21.16
Innisfayle,N08000332,5315,1342,25.25
Knock,N08000333,5010,1008,20.12
Ladybrook,N08000334,4817,1333,27.67
Lagmore,N08000335,8346,1930,23.12
Legoniel,N08000336,6135,1700,27.71
Malone,N08000337,4810,664,13.80
Merok,N08000338,4438,1113,25.08
Musgrave,N08000339,4836,1119,23.14
New Lodge,N08000340,4880,1924,39.43
Orangefield,N08000341,4755,1028,21.62
Ormeau,N08000342,6530,1337,20.47
Poleglass,N08000343,6104,2002,32.80
Ravenhill,N08000344,4823,957,19.84
Rosetta,N08000345,5793,1182,20.40
Sandown,N08000346,4471,1016,22.72
Shandon,N08000347,5377,1324,24.62
Shankill (Belfast LGD),N08000348,6445,2590,40.19
Shaw's Road,N08000349,5479,1838,33.55
Stewartstown (Belfast LGD),N08000350,4578,1519,33.18
Stormont,N08000351,5046,1086,21.52
Stranmillis,N08000352,8976,1002,11.16
Sydenham,N08000353,5590,1470,26.30
Turf Lodge,N08000354,4569,1689,36.97
Twinbrook,N08000355,4915,1628,33.12
Upper Malone,N08000356,4974,1261,25.35
Water Works,N08000357,6913,2508,36.28
Windsor,N08000358,11304,1691,14.96
Woodstock,N08000359,6431,1684,26.19
Woodvale,N08000360,5170,1893,36.62
Aghadowey,N08000401,3455,814,23.56
Altahullion,N08000402,3191,712,22.31
Atlantic,N08000403,4536,1119,24.67
Ballycastle,N08000404,3397,995,29.29
Ballykelly,N08000405,3103,774,24.94
Ballymoney East,N08000406,3112,978,31.43
Ballymoney North,N08000407,3404,1024,30.08
Ballymoney South,N08000408,3386,936,27.64
Castlerock,N08000409,3394,876,25.81
Churchland,N08000410,3643,942,25.86
Clogh Mills,N08000411,3645,826,22.66
Coolessan,N08000412,2920,1080,36.99
Dervock,N08000413,3449,839,24.33
Drumsurn,N08000414,3661,777,21.22
Dundooan,N08000415,3910,937,23.96
Dungiven,N08000416,3295,778,23.61
Dunloy,N08000417,3626,702,19.36
Feeny,N08000418,3611,747,20.69
Garvagh,N08000419,3515,841,23.93
Giant's Causeway,N08000420,3380,872,25.80
Greysteel,N08000421,4643,1068,23.00
Greystone (Causeway Coast and Glens LGD),N08000422,3484,899,25.80
Hopefield,N08000423,3586,821,22.89
Kilrea,N08000424,3751,820,21.86
Kinbane,N08000425,4038,1101,27.27
Loughguile and Stranocum,N08000426,3679,823,22.37
Lurigethan,N08000427,2765,633,22.89
Macosquin,N08000428,3430,731,21.31
Magilligan,N08000429,3481,1101,31.63
Mountsandel,N08000430,3808,1251,32.85
Portrush and Dunluce,N08000431,2759,796,28.85
Portstewart,N08000432,2914,826,28.35
Quarry,N08000433,4458,1341,30.08
Rasharkin,N08000434,3906,848,21.71
Roeside,N08000435,2655,916,34.50
Route,N08000436,3450,814,23.59
Torr Head and Rathlin,N08000437,3597,891,24.77
University,N08000438,3654,1065,29.15
Waterside,N08000439,4305,1191,27.67
Windy Hall,N08000440,3752,800,21.32
Artigarvan,N08000501,3641,851,23.37
Ballycolman,N08000502,3532,1057,29.93
Ballymagroarty,N08000503,3984,1163,29.19
Brandywell,N08000504,3184,1148,36.06
Carn Hill,N08000505,2852,903,31.66
Castlederg,N08000506,3443,1143,33.20
Caw,N08000507,4331,1176,27.15
City Walls,N08000508,3243,1275,39.32
Claudy,N08000509,3500,821,23.46
Clondermot,N08000510,3848,1022,26.56
Creggan,N08000511,3476,1195,34.38
Creggan South,N08000512,3848,1248,32.43
Culmore,N08000513,4320,739,17.11
Drumahoe,N08000514,4499,1029,22.87
Dunnamanagh,N08000515,3513,823,23.43
Ebrington,N08000516,4021,1083,26.93
Eglinton,N08000517,3909,848,21.69
Enagh,N08000518,4393,1029,23.42
Finn,N08000519,4321,937,21.68
Foyle Springs,N08000520,3040,821,27.01
Galliagh,N08000521,3750,1325,35.33
Glenderg,N08000522,3200,861,26.91
Glenelly Valley,N08000523,3403,799,23.48
Kilfennan,N08000524,4736,943,19.91
Lisnagelvin,N08000525,3165,1011,31.94
Madam's Bank,N08000526,2861,788,27.54
New Buildings,N08000527,3831,894,23.34
Newtownstewart,N08000528,3103,897,28.91
Northland,N08000529,4842,1455,30.05
Park (Derry City and Strabane LGD),N08000530,3527,704,19.96
Shantallow,N08000531,3669,1144,31.18
Shantallow East,N08000532,4263,1071,25.12
Sheriff's Mountain,N08000533,3336,842,25.24
Sion Mills,N08000534,3732,1105,29.61
Skeoge,N08000535,6386,1676,26.24
Slievekirk,N08000536,3573,815,22.81
Springtown,N08000537,2883,864,29.97
Strabane North,N08000538,4009,1149,28.66
Strabane West,N08000539,3109,1083,34.83
Victoria (Derry City and Strabane LGD),N08000540,4469,1062,23.76
Ballinamallard,N08000601,2947,698,23.69
Belcoo and Garrison,N08000602,2646,643,24.30
Belleek and Boa,N08000603,3123,810,25.94
Beragh,N08000604,2910,684,23.51
"Boho, Cleenish and Letterbreen",N08000605,3466,689,19.88
Brookeborough,N08000606,2578,576,22.34
Camowen,N08000607,3213,1027,31.96
Castlecoole,N08000608,3201,718,22.43
Coolnagard,N08000609,3410,857,25.13
Dergmoney,N08000610,2586,690,26.68
Derrygonnelly,N08000611,2896,628,21.69
Derrylin,N08000612,2793,494,17.69
Donagh,N08000613,2525,510,20.20
Dromore (Fermanagh and Omagh LGD),N08000614,2782,610,21.93
Drumnakilly,N08000615,3185,649,20.38
Drumquin,N08000616,2910,664,22.82
Ederney and Kesh,N08000617,2774,716,25.81
Erne,N08000618,3055,980,32.08
Fairy Water,N08000619,2826,618,21.87
Fintona,N08000620,2553,699,27.38
Florence Court and Kinawley,N08000621,2884,627,21.74
Gortin,N08000622,3304,731,22.12
Gortrush,N08000623,3217,897,27.88
Irvinestown,N08000624,3387,900,26.57
Killyclogher,N08000625,3050,819,26.85
Lisbellaw,N08000626,3057,638,20.87
Lisnarrick,N08000627,3355,848,25.28
Lisnaskea,N08000628,2648,775,29.27
Maguiresbridge,N08000629,3298,725,21.98
Newtownbutler,N08000630,2568,605,23.56
Newtownsaville,N08000631,2977,534,17.94
Owenkillew,N08000632,2695,570,21.15
Portora,N08000633,3184,805,25.28
Rosslea,N08000634,2331,500,21.45
Rossorry,N08000635,2544,659,25.90
Sixmilecross,N08000636,2828,618,21.85
Strule,N08000637,2971,1016,34.20
Tempo,N08000638,2879,636,22.09
Termon,N08000639,2699,582,21.56
Trillick,N08000640,2552,517,20.26
Ballinderry,N08000701,3922,789,20.12
Ballyhanwood,N08000702,3027,700,23.13
Ballymacash,N08000703,3137,789,25.15
Ballymacbrennan,N08000704,3081,613,19.90
Ballymacoss,N08000705,5976,1239,20.73
Beechill,N08000706,3385,768,22.69
Blaris,N08000707,3415,787,23.05
Cairnshill,N08000708,3518,473,13.45
Carrowreagh,N08000709,6124,1046,17.08
Carryduff East,N08000710,3823,813,21.27
Carryduff West,N08000711,3350,578,17.25
Derryaghy,N08000712,4628,1159,25.04
Dromara,N08000713,3460,705,20.38
Drumbo,N08000714,3040,531,17.47
Dundonald,N08000715,3104,710,22.87
Enler,N08000716,3205,1012,31.58
Galwally,N08000717,3038,605,19.91
Glenavy,N08000718,4079,757,18.56
Graham's Bridge,N08000719,3312,934,28.20
Harmony Hill,N08000720,3021,689,22.81
Hilden,N08000721,3904,1167,29.89
Hillhall,N08000722,4065,941,23.15
Hillsborough,N08000723,3312,718,21.68
Knockbracken,N08000724,3532,597,16.90
Knockmore,N08000725,4658,1118,24.00
Lagan,N08000726,3475,659,18.96
Lagan Valley,N08000727,3398,1047,30.81
Lambeg,N08000728,3815,1114,29.20
Lisnagarvey,N08000729,2939,858,29.19
Maghaberry,N08000730,4783,925,19.34
Magheralave,N08000731,4255,832,19.55
Maze,N08000732,3232,637,19.71
Moira,N08000733,3747,687,18.33
Moneyreagh,N08000734,3125,695,22.24
Newtownbreda,N08000735,2842,598,21.04
Old Warren,N08000736,4122,1237,30.01
Ravernet,N08000737,3099,540,17.42
Stonyford,N08000738,3146,689,21.90
Wallace Park,N08000739,3860,774,20.05
White Mountain,N08000740,6142,840,13.68
Academy,N08000801,2569,597,23.24
Ahoghill,N08000802,3609,798,22.11
Ardeevin,N08000803,3715,693,18.65
Ballee and Harryville,N08000804,3588,1155,32.19
Ballycarry and Glynn,N08000805,3747,885,23.62
Ballykeel,N08000806,3028,939,31.01
Boneybefore,N08000807,2864,753,26.29
Braidwater,N08000808,3215,706,21.96
Broughshane,N08000809,3728,898,24.09
Burleigh Hill,N08000810,2594,731,28.18
Cairncastle,N08000811,3236,724,22.37
Carnlough and Glenarm,N08000812,3138,820,26.13
Castle (Mid and East Antrim LGD),N08000813,3913,1480,37.82
Castle Demesne,N08000814,4446,1310,29.46
Craigyhill,N08000815,3921,1151,29.35
Cullybackey,N08000816,2867,790,27.55
Curran and Inver,N08000817,3382,1085,32.08
Fair Green,N08000818,4262,1207,28.32
Galgorm,N08000819,3255,609,18.71
Gardenmore,N08000820,3290,1139,34.62
Glenravel,N08000821,3595,627,17.44
Glenwhirry,N08000822,3158,644,20.39
Gortalee,N08000823,3694,918,24.85
Grange,N08000824,3720,649,17.45
Greenisland,N08000825,3448,679,19.69
Islandmagee,N08000826,3048,756,24.80
Kells,N08000827,3453,832,24.09
Kilroot,N08000828,4253,884,20.79
Kilwaughter,N08000829,4790,862,18.00
Kirkinriola,N08000830,3229,664,20.56
Love Lane,N08000831,3034,912,30.06
Maine,N08000832,3044,603,19.81
Park (Mid and East Antrim LGD),N08000833,2919,815,27.92
Portglenone,N08000834,3354,816,24.33
Slemish,N08000835,3209,615,19.16
Sunnylands,N08000836,4097,1234,30.12
The Maidens,N08000837,3437,1006,29.27
Victoria (Mid and East Antrim LGD),N08000838,4393,1162,26.45
Whitehead South,N08000839,3341,914,27.36
Woodburn,N08000840,3428,783,22.84
Ardboe,N08000901,3817,911,23.87
Augher and Clogher,N08000902,3460,678,19.60
Aughnacloy,N08000903,3696,737,19.94
Ballygawley,N08000904,3939,762,19.35
Ballymaguigan,N08000905,4144,844,20.37
Ballysaggart,N08000906,5065,990,19.55
Bellaghy,N08000907,3879,722,18.61
Caledon,N08000908,3961,729,18.40
Castlecaulfield,N08000909,3759,717,19.07
Castledawson,N08000910,3791,966,25.48
Coagh,N08000911,3370,842,24.99
Coalisland North,N08000912,3672,864,23.53
Coalisland South,N08000913,4839,1275,26.35
Cookstown East,N08000914,3789,956,25.23
Cookstown South,N08000915,3524,882,25.03
Cookstown West,N08000916,3688,1007,27.30
Coolshinny,N08000917,4048,673,16.63
Donaghmore,N08000918,3839,712,18.55
Draperstown,N08000919,3263,707,21.67
Fivemiletown,N08000920,3174,643,20.26
Glebe (Mid Ulster LGD),N08000921,3844,896,23.31
Killyman,N08000922,3619,675,18.65
Killymeal,N08000923,5002,898,17.95
Lissan,N08000924,3593,802,22.32
Loughry,N08000925,2955,732,24.77
Lower Glenshane,N08000926,3153,571,18.11
Maghera,N08000927,3469,883,25.45
Moy,N08000928,3951,685,17.34
Moygashel,N08000929,3605,737,20.44
Mullaghmore,N08000930,4408,906,20.55
Oaklands,N08000931,3412,705,20.66
Pomeroy,N08000932,3880,817,21.06
Stewartstown (Mid Ulster LGD),N08000933,3110,707,22.73
Swatragh,N08000934,3458,651,18.83
Tamlaght O'Crilly,N08000935,3648,802,21.98
The Loup,N08000936,4260,816,19.15
Tobermore,N08000937,3460,762,22.02
Town Parks East,N08000938,3554,895,25.18
Valley (Mid Ulster LGD),N08000939,3443,689,20.01
Washing Bay,N08000940,3739,683,18.27
"Abbey (Newry, Mourne and Down LGD)",N08001001,4082,1122,27.49
Annalong,N08001002,4346,993,22.85
Ballybot,N08001003,5347,1707,31.92
Ballydugan,N08001004,3769,834,22.13
Ballynahinch,N08001005,4682,1327,28.34
Ballyward,N08001006,4500,882,19.60
Bessbrook,N08001007,5538,1325,23.93
Binnian,N08001008,4306,872,20.25
Burren,N08001009,4319,677,15.67
Camlough,N08001010,4144,919,22.18
Castlewellan,N08001011,4478,1056,23.58
"Cathedral (Newry, Mourne and Down LGD)",N08001012,4217,1246,29.55
Crossgar and Killyleagh,N08001013,4406,1085,24.63
Crossmaglen,N08001014,3973,934,23.51
Damolly,N08001015,4386,1136,25.90
Derryboy,N08001016,4044,879,21.74
Derryleckagh,N08001017,4905,805,16.41
Donard,N08001018,3755,1078,28.71
Drumalane,N08001019,5018,1039,20.71
Drumaness,N08001020,4142,878,21.20
Dundrum,N08001021,4501,1049,23.31
Fathom,N08001022,4444,922,20.75
Forkhill,N08001023,4176,777,18.61
Hilltown,N08001024,5137,934,18.18
Kilkeel,N08001025,3931,1052,26.76
Kilmore,N08001026,3975,886,22.29
Knocknashinna,N08001027,4680,1226,26.20
Lecale,N08001028,4386,1240,28.27
Lisnacree,N08001029,4732,1047,22.13
Mayobridge,N08001030,5314,918,17.28
Mullaghbane,N08001031,4440,738,16.62
Murlough,N08001032,4838,1337,27.64
Newtownhamilton,N08001033,4416,880,19.93
Quoile,N08001034,4173,993,23.80
Rostrevor,N08001035,4346,962,22.14
Saintfield,N08001036,4117,879,21.35
St. Patrick's,N08001037,4663,1063,22.80
Strangford,N08001038,4461,1002,22.46
Tollymore,N08001039,4305,865,20.09
Warrenpoint,N08001040,4613,1323,28.68
Whitecross,N08001041,4064,771,18.97
Ballycrochan,N08001101,3118,808,25.91
Ballygowan,N08001102,4368,895,20.49
Ballygrainey,N08001103,6301,1401,22.23
Ballyholme,N08001104,3891,878,22.56
Ballymagee,N08001105,4120,789,19.15
Ballywalter,N08001106,4647,1413,30.41
