Geography,GeographyCode,Total,BornInNI,BornInNI_pct
ANTRIM,N11000001,25607,20947,81.80
CRUMLIN,N11000003,5366,4946,92.17
PARKGATE,N11000009,663,605,91.25
RANDALSTOWN,N11000010,5153,4383,85.06
TEMPLEPATRICK,N11000011,1537,1380,89.79
TOOME,N11000012,1017,958,94.20
BALLYGOWAN,N11000022,3136,2953,94.16
BALLYHALBERT,N11000023,1270,1099,86.54
BALLYWALTER,N11000025,2009,1791,89.15
CARROWDORE,N11000026,1056,954,90.34
CLOUGHEY,N11000027,1347,1212,89.98
COMBER,N11000028,9529,8617,90.43
DONAGHADEE,N11000030,7325,6302,86.03
GREYABBEY,N11000032,881,776,88.08
KIRCUBBIN,N11000035,1065,950,89.20
LISBANE,N11000037,522,482,92.34
MILLISLE,N11000039,2560,2294,89.61
NEWTOWNARDS,N11000040,29676,26416,89.01
PORTAFERRY,N11000041,2371,2168,91.44
PORTAVOGIE,N11000042,2273,2067,90.94
ARMAGH,N11000051,16310,12697,77.85
HAMILTONSBAWN,N11000072,1042,908,87.14
KEADY,N11000073,3341,2621,78.45
LAURELVALE / MULLAVILLY,N11000076,1391,1252,90.01
MARKETHILL,N11000081,1912,1650,86.30
MILFORD,N11000083,549,458,83.42
POYNTZPASS,N11000088,632,558,88.29
RICHHILL,N11000089,2736,2361,86.29
TANDRAGEE,N11000093,3545,3107,87.64
AHOGHILL,N11000098,3537,3259,92.14
BALLYMENA,N11000099,31205,25145,80.58
BROUGHSHANE,N11000100,3097,2819,91.02
CARGAN,N11000101,628,555,88.38
CULLYBACKEY,N11000103,2659,2433,91.50
GRANGE CORNER,N11000104,519,486,93.64
KELLS / CONNOR,N11000105,2123,1932,91.00
PORTGLENONE,N11000107,1365,1199,87.84
BALLYBOGY,N11000108,565,531,93.98
BALLYMONEY,N11000109,11048,9992,90.44
BALNAMORE,N11000110,831,761,91.58
BENDOORAGH,N11000111,647,603,93.20
CLOGH MILLS,N11000114,1232,1159,94.07
DERVOCK,N11000117,772,718,93.01
DUNLOY,N11000119,1120,1034,92.32
RASHARKIN,N11000123,1072,892,83.21
BANBRIDGE,N11000131,17399,15140,87.02
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,6395,5638,88.16
GILFORD,N11000137,1955,1730,88.49
KINALLEN,N11000141,1129,1014,89.81
LAWRENCETOWN,N11000142,997,910,91.27
LOUGHBRICKLAND,N11000145,793,720,90.79
RATHFRILAND,N11000147,2495,2165,86.77
BELFAST CITY,N11000151,293298,242420,82.65
CARRICKFERGUS,N11000153,28140,25161,89.41
GREENISLAND,N11000154,5966,5214,87.40
WHITEHEAD,N11000157,3539,3017,85.25
CARRYDUFF,N11000159,7171,6378,88.94
METROPOLITAN CASTLEREAGH,N11000162,58763,51424,87.51
MONEYREAGH,N11000163,1544,1462,94.69
ARTICLAVE,N11000165,920,836,90.87
CASTLEROCK,N11000170,1157,980,84.70
CASTLEROE,N11000171,675,598,88.59
COLERAINE,N11000173,24483,21113,86.24
GARVAGH,N11000176,1251,1138,90.97
KILREA,N11000179,1672,1470,87.92
MACOSQUIN,N11000180,603,548,90.88
PORTBALLINTRAE,N11000182,501,457,91.22
PORTRUSH,N11000183,6153,5236,85.10
PORTSTEWART,N11000184,7852,6611,84.20
ARDBOE,N11000186,771,732,94.94
BALLYRONAN,N11000190,614,567,92.35
COAGH,N11000192,775,715,92.26
COOKSTOWN,N11000193,12545,9957,79.37
MONEYMORE,N11000203,2139,1886,88.17
MOORTOWN,N11000204,548,525,95.80
POMEROY,N11000206,796,658,82.66
STEWARTSTOWN,N11000208,640,578,90.31
AGHAGALLON,N11000212,1173,1096,93.44
BLEARY,N11000216,1107,996,89.97
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,72300,57425,79.43
DERRYMACASH,N11000220,715,683,95.52
DOLLINGSTOWN,N11000223,2256,2014,89.27
DONAGHCLONEY,N11000224,1982,1809,91.27
DRUMNACANVY,N11000225,1130,1028,90.97
MAGHERALIN,N11000228,2043,1842,90.16
SCOTCH STREET,N11000232,676,460,68.05
THE BIRCHES,N11000234,544,491,90.26
WARINGSTOWN,N11000235,3866,3460,89.50
CLAUDY,N11000240,1324,1189,89.80
CULMORE,N11000242,3651,3115,85.32
DERRY CITY,N11000243,85279,75097,88.06
EGLINTON,N11000244,3574,3092,86.51
LETTERSHENDONEY,N11000248,572,516,90.21
NEWBUILDINGS,N11000250,2836,2538,89.49
STRATHFOYLE,N11000254,2612,2247,86.03
ANNSBOROUGH,N11000258,790,723,91.52
ARDGLASS,N11000259,1761,1583,89.89
BALLYNAHINCH,N11000263,6163,5550,90.05
CASTLEWELLAN,N11000268,2832,2525,89.16
CROSSGAR,N11000273,2019,1801,89.20
DARRAGH CROSS,N11000274,532,497,93.42
DOWNPATRICK,N11000276,11546,10204,88.38
DRUMANESS,N11000278,1335,1250,93.63
DUNDRUM,N11000280,1543,1341,86.91
KILLOUGH,N11000283,960,853,88.85
KILLYLEAGH,N11000284,2788,2431,87.20
NEWCASTLE,N11000288,8300,7110,85.66
SAINTFIELD,N11000290,3587,3210,89.49
STRANGFORD,N11000294,561,488,86.99
THE SPA,N11000295,587,533,90.80
ANNAGHMORE (MID ULSTER LGD),N11000297,1052,908,86.31
AUGHNACLOY,N11000299,1156,735,63.58
BALLYGAWLEY,N11000300,976,814,83.40
CALEDON,N11000304,522,421,80.65
CASTLECAULFIELD,N11000308,1002,860,85.83
CLOGHER,N11000309,674,583,86.50
COALISLAND,N11000311,6349,5240,82.53
DONAGHMORE,N11000314,1181,1034,87.55
DUNGANNON,N11000315,16282,9890,60.74
EGLISH (MID ULSTER LGD),N11000318,514,448,87.16
FIVEMILETOWN,N11000319,1342,1087,81.00
KILLYMAN,N11000323,1057,884,83.63
MOY,N11000324,1943,1418,72.98
NEWMILLS,N11000325,803,721,89.79
THE BUSH,N11000327,606,412,67.99
BALLINAMALLARD,N11000331,1362,1155,84.80
BELLANALECK,N11000334,715,597,83.50
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,972,640,65.84
DERRYGONNELLY,N11000342,579,473,81.69
DERRYLIN,N11000343,655,404,61.68
EDERNEY,N11000345,553,475,85.90
ENNISKILLEN,N11000346,14085,10763,76.41
IRVINESTOWN,N11000349,2320,1917,82.63
KESH,N11000350,1099,929,84.53
LISBELLAW,N11000356,1090,952,87.34
LISNASKEA,N11000358,3019,2384,78.97
MAGUIRESBRIDGE,N11000360,1030,866,84.08
NEWTOWNBUTLER,N11000363,972,771,79.32
BALLYCARRY,N11000371,1483,1342,90.49
BALLYGALLEY,N11000372,744,657,88.31
BALLYSTRUDDER,N11000373,991,891,89.91
CARNLOUGH,N11000378,1457,1353,92.86
GLENARM,N11000385,507,441,86.98
GLYNN,N11000387,584,543,92.98
LARNE,N11000389,18853,16970,90.01
BALLYKELLY,N11000398,2030,1809,89.11
DUNGIVEN,N11000403,3347,3079,91.99
FEENY,N11000404,780,712,91.28
GREYSTEEL,N11000408,1414,1327,93.85
LIMAVADY,N11000410,11729,10613,90.49
AGHALEE,N11000412,925,818,88.43
ANNAHILT,N11000413,1033,910,88.09
DROMARA,N11000421,1118,1023,91.50
DRUMBEG,N11000422,775,683,88.13
GLENAVY,N11000430,2399,2235,93.16
HILLSBOROUGH AND CULCAVY,N11000434,4171,3583,85.90
LISBURN CITY,N11000438,51449,43295,84.15
LOWER BALLINDERRY,N11000440,936,853,91.13
MAGHABERRY,N11000445,2965,2619,88.33
METROPOLITAN LISBURN,N11000447,32644,29886,91.55
MILLTOWN,N11000448,1633,1453,88.98
MOIRA,N11000449,4891,4137,84.58
RAVERNET,N11000452,562,514,91.46
STONEYFORD,N11000454,658,607,92.25
BELLAGHY,N11000461,1256,1188,94.59
CASTLEDAWSON,N11000462,2348,2142,91.23
CLADY (MID ULSTER LGD),N11000463,521,479,91.94
DRAPERSTOWN,N11000468,1855,1628,87.76
GULLADUFF,N11000472,675,641,94.96
MAGHERA (MID ULSTER LGD),N11000477,4237,3763,88.81
MAGHERAFELT,N11000478,9649,7987,82.78
