Geography,GeographyCode,AllUsualResidents
Dunsilly_A,N21000001,3272
Dunsilly_B,N21000002,3132
Dunsilly_C,N21000003,2527
Dunsilly_D,N21000004,2991
Dunsilly_E,N21000005,2160
Dunsilly_F,N21000006,3916
Antrim_A,N21000007,1837
Antrim_B,N21000008,1791
Antrim_C,N21000009,2452
Antrim_D,N21000010,2423
Antrim_E,N21000011,1651
Antrim_F,N21000012,2203
Antrim_G,N21000013,2133
Antrim_H,N21000014,1394
Antrim_J,N21000015,2296
Antrim_K,N21000016,2150
Antrim_L,N21000017,2043
Antrim_N,N21000018,1571
Ballyclare_A,N21000019,2028
Ballyclare_B,N21000020,3014
Ballyclare_C,N21000021,2361
Ballyclare_D,N21000022,2538
Ballyclare_E,N21000023,2936
Ballyclare_F,N21000024,3187
Ballyclare_G,N21000025,1404
Ballyclare_H,N21000026,1600
Three_Mile_Water_A,N21000027,2217
Three_Mile_Water_B,N21000028,1359
Three_Mile_Water_C,N21000029,2052
Three_Mile_Water_D,N21000030,1959
Three_Mile_Water_E,N21000031,2520
Three_Mile_Water_F,N21000032,1898
Three_Mile_Water_G,N21000033,2796
Three_Mile_Water_H,N21000034,2269
Three_Mile_Water_J,N21000035,1461
Three_Mile_Water_K,N21000036,2122
Macedon_A,N21000037,1669
Macedon_B,N21000038,2078
Macedon_C,N21000039,2211
Macedon_D,N21000040,1785
Macedon_E,N21000041,1677
Macedon_F,N21000042,1672
Macedon_G,N21000043,1898
Macedon_H,N21000044,1306
Macedon_J,N21000045,2049
Macedon_K,N21000046,1888
Macedon_L,N21000047,2090
Glengormley_Urban_A,N21000048,1502
Glengormley_Urban_B,N21000049,2081
Glengormley_Urban_C,N21000050,2325
Glengormley_Urban_D,N21000051,2143
Glengormley_Urban_E,N21000052,1683
Glengormley_Urban_F,N21000053,1898
Glengormley_Urban_G,N21000054,1858
Glengormley_Urban_H,N21000055,1307
Glengormley_Urban_J,N21000056,2187
Glengormley_Urban_K,N21000057,2119
Glengormley_Urban_L,N21000058,2539
Airport_A,N21000059,1547
Airport_B,N21000060,1761
Airport_C,N21000061,2443
Airport_D,N21000062,2503
Airport_E,N21000063,2938
Airport_F,N21000064,2962
Airport_G,N21000065,2509
Airport_H,N21000066,2885
Airport_J,N21000067,2481
Armagh_A,N21000068,3814
Armagh_B,N21000069,1826
Armagh_C,N21000070,3019
Armagh_D,N21000071,3589
Armagh_E,N21000072,2786
Armagh_F,N21000073,2306
Armagh_G,N21000074,3067
Armagh_H,N21000075,2503
Armagh_J,N21000076,3327
Armagh_K,N21000077,3533
Armagh_L,N21000078,2635
Portadown_A,N21000079,2965
Portadown_B,N21000080,3020
Portadown_C,N21000081,1820
Portadown_D,N21000082,2448
Portadown_E,N21000083,2013
Portadown_F,N21000084,1475
Portadown_G,N21000085,2043
Portadown_H,N21000086,1901
Portadown_J,N21000087,2919
Portadown_K,N21000088,2360
Portadown_L,N21000089,1901
Portadown_N,N21000090,1526
Portadown_P,N21000091,1409
Portadown_Q,N21000092,2203
Portadown_R,N21000093,2921
Craigavon_A,N21000094,3080
Craigavon_B,N21000095,2685
Craigavon_C,N21000096,2027
Craigavon_D,N21000097,1680
Craigavon_E,N21000098,2544
Craigavon_F,N21000099,2672
Craigavon_G,N21000100,2340
Craigavon_H,N21000101,1858
Craigavon_J,N21000102,2664
Craigavon_K,N21000103,1378
Craigavon_L,N21000104,1596
Craigavon_N,N21000105,2721
Craigavon_P,N21000106,1945
Lurgan_A,N21000107,2824
Lurgan_B,N21000108,2447
Lurgan_C,N21000109,2367
Lurgan_D,N21000110,2854
Lurgan_E,N21000111,2858
