Geography,GeographyCode,PopulationDensity
Dunsilly_A1,N20000001,0.3564053890092005
Dunsilly_B1,N20000002,0.264020328862373
Dunsilly_A2,N20000003,0.460330068441247
Dunsilly_A3,N20000004,0.602441523352671
Dunsilly_B2,N20000005,0.3883235012122636
Dunsilly_A4,N20000006,0.6686388457491058
Dunsilly_C1,N20000007,0.5337753152514937
Dunsilly_A5,N20000008,0.4831615859294835
Dunsilly_A6,N20000009,0.6420076123300229
Dunsilly_B3,N20000010,0.3219570856847891
Dunsilly_D1,N20000011,51.766655176802495
Dunsilly_D2,N20000012,19.87916687895331
Dunsilly_F1,N20000013,0.3271595787648966
Dunsilly_D3,N20000014,27.24781705353559
Dunsilly_C2,N20000015,7.6612004273934105
Dunsilly_E1,N20000016,14.04880274067999
Dunsilly_E2,N20000017,26.75652869525704
Dunsilly_E3,N20000018,53.53051353064893
Dunsilly_D4,N20000019,21.45461863866855
Dunsilly_D5,N20000020,35.00530800848428
Dunsilly_E4,N20000021,37.778363876737174
Dunsilly_C3,N20000022,20.94175512010624
Dunsilly_D6,N20000023,21.612976813678795
Dunsilly_C4,N20000024,0.5914941164458968
Dunsilly_F2,N20000025,18.599723555966882
Dunsilly_B4,N20000026,0.49689129654936637
Dunsilly_F3,N20000027,41.68278628158569
Dunsilly_F4,N20000028,0.6302118502565075
Dunsilly_F5,N20000029,0.5023969290035517
Dunsilly_B5,N20000030,0.3370282107681534
Dunsilly_B6,N20000031,20.908523834028166
Dunsilly_F6,N20000032,0.4554135110958443
Dunsilly_F7,N20000033,0.3888270085000581
Dunsilly_F8,N20000034,0.7261541670223594
Antrim_A1,N20000035,5.949490010382191
Antrim_A2,N20000036,48.11004485698139
Antrim_A3,N20000037,26.389280112539982
Antrim_B1,N20000038,2.7076742209884603
Antrim_B2,N20000039,5.90979166739402
Antrim_A4,N20000040,43.61714762356818
Antrim_C1,N20000041,13.525529362117142
Antrim_B3,N20000042,20.48906436498731
Antrim_D1,N20000043,75.33917248078573
Antrim_C2,N20000044,1.419507000349576
Antrim_C3,N20000045,44.885227520142315
Antrim_D2,N20000046,55.03254998411566
Antrim_D3,N20000047,11.003478108453068
Antrim_C4,N20000048,27.33470741027124
Antrim_G1,N20000049,35.3544727511188
Antrim_E1,N20000050,37.06781621020121
Antrim_F1,N20000051,17.49466880539468
Antrim_F2,N20000052,2.1385917968227885
Antrim_E2,N20000053,27.240831084307047
Antrim_D4,N20000054,17.297306807352783
Antrim_E3,N20000055,36.43419882309511
Antrim_E4,N20000056,54.59989520380984
Antrim_G2,N20000057,25.351678503970486
Antrim_H1,N20000058,85.31815646193503
Antrim_F3,N20000059,21.77939662037848
