Geography,GeographyCode,AllHouseholds
Abbey (Antrim and Newtownabbey LGD),N08000101,1536
Aldergrove,N08000102,1491
Antrim Centre,N08000103,1979
Ballyclare East,N08000104,1897
Ballyclare West,N08000105,1638
Ballyduff,N08000106,1438
Ballyhenry,N08000107,1043
Ballynure,N08000108,1421
Ballyrobert,N08000109,1485
Burnthill,N08000110,1657
Carnmoney,N08000111,1160
Carnmoney Hill,N08000112,1322
Clady,N08000113,1327
Collinbridge,N08000114,1124
Cranfield,N08000115,1160
Crumlin,N08000116,1424
Doagh,N08000117,1443
Fairview,N08000118,1240
Fountain Hill,N08000119,1359
Glebe (Antrim and Newtownabbey LGD),N08000120,1198
Glengormley,N08000121,1606
Greystone (Antrim and Newtownabbey LGD),N08000122,1457
Hightown,N08000123,1263
Jordanstown,N08000124,1197
Mallusk,N08000125,2299
Monkstown,N08000126,1593
Mossley,N08000127,1620
O'Neill,N08000128,1607
Parkgate,N08000129,1206
Randalstown,N08000130,1556
Rathcoole,N08000131,1518
Rostulla,N08000132,1405
Shilvodan,N08000133,1321
Springfarm,N08000134,2009
Steeple,N08000135,1692
Stiles,N08000136,1726
Templepatrick,N08000137,1424
Toome,N08000138,1318
Valley (Antrim and Newtownabbey LGD),N08000139,1692
Whitehouse,N08000140,1595
Aghagallon,N08000201,1759
Ballybay,N08000202,2372
Banbridge East,N08000203,1700
Banbridge North,N08000204,1794
Banbridge South,N08000205,2235
Banbridge West,N08000206,2306
Blackwatertown,N08000207,1884
Bleary,N08000208,1828
Brownlow,N08000209,2516
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,1936
Corcrain,N08000211,2135
Craigavon Centre,N08000212,2568
Demesne,N08000213,2186
Derrytrasna,N08000214,1675
Donaghcloney,N08000215,1819
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,1949
Gilford,N08000217,1988
Gransha,N08000218,1801
Hamiltonsbawn,N08000219,1832
Keady,N08000220,1939
Kernan,N08000221,2343
Killycomain,N08000222,2306
Knocknashane,N08000223,1899
Lough Road,N08000224,2173
Loughbrickland,N08000225,2069
Loughgall,N08000226,1964
Magheralin,N08000227,2077
Mahon,N08000228,2084
Markethill,N08000229,2082
Mourneview,N08000230,2367
Navan,N08000231,1813
Parklake,N08000232,2363
Quilly,N08000233,1800
Rathfriland,N08000234,1909
Richhill,N08000235,1887
Seagahan,N08000236,1818
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,2736
Tandragee,N08000238,2094
The Birches,N08000239,2117
The Mall,N08000240,2379
Waringstown,N08000241,2148
Andersonstown,N08000301,1981
Ardoyne,N08000302,2482
Ballygomartin,N08000303,2522
Ballymacarrett,N08000304,2760
Ballymurphy,N08000305,1917
Ballysillan,N08000306,2226
Beechmount,N08000307,2317
Beersbridge,N08000308,3295
Bellevue,N08000309,2422
Belmont,N08000310,2024
Belvoir,N08000311,2592
Blackstaff,N08000312,3862
Bloomfield (Belfast LGD),N08000313,2920
Cavehill,N08000314,1682
Central,N08000315,5706
Chichester Park,N08000316,2331
Cliftonville,N08000317,2285
Clonard,N08000318,2646
Collin Glen,N08000319,2211
Connswater,N08000320,2878
Cregagh,N08000321,2085
Duncairn,N08000322,3568
Dunmurry,N08000323,2203
Falls,N08000324,2286
Falls Park,N08000325,1984
Finaghy,N08000326,1852
Forth River,N08000327,2165
Fortwilliam,N08000328,2065
Garnerville,N08000329,2128
Gilnahirk,N08000330,2192
Hillfoot,N08000331,2002
Innisfayle,N08000332,2321
Knock,N08000333,2265
Ladybrook,N08000334,1870
Lagmore,N08000335,2778
Legoniel,N08000336,2524
Malone,N08000337,1994
Merok,N08000338,1849
Musgrave,N08000339,2063
New Lodge,N08000340,2339
Orangefield,N08000341,2127
Ormeau,N08000342,3170
Poleglass,N08000343,2249
Ravenhill,N08000344,2171
Rosetta,N08000345,2561
Sandown,N08000346,1965
Shandon,N08000347,2403
Shankill (Belfast LGD),N08000348,3124
Shaw's Road,N08000349,2297
Stewartstown (Belfast LGD),N08000350,1888
Stormont,N08000351,2178
Stranmillis,N08000352,2761
Sydenham,N08000353,2772
Turf Lodge,N08000354,1817
Twinbrook,N08000355,2082
Upper Malone,N08000356,2170
Water Works,N08000357,3089
Windsor,N08000358,4960
Woodstock,N08000359,3226
Woodvale,N08000360,2612
Aghadowey,N08000401,1277
Altahullion,N08000402,1145
Atlantic,N08000403,1945
Ballycastle,N08000404,1481
Ballykelly,N08000405,1166
Ballymoney East,N08000406,1418
Ballymoney North,N08000407,1478
Ballymoney South,N08000408,1438
Castlerock,N08000409,1452
Churchland,N08000410,1558
Clogh Mills,N08000411,1379
Coolessan,N08000412,1379
Dervock,N08000413,1390
Drumsurn,N08000414,1378
Dundooan,N08000415,1478
Dungiven,N08000416,1205
Dunloy,N08000417,1246
Feeny,N08000418,1298
Garvagh,N08000419,1251
Giant's Causeway,N08000420,1456
Greysteel,N08000421,1834
Greystone (Causeway Coast and Glens LGD),N08000422,1392
Hopefield,N08000423,1563
Kilrea,N08000424,1418
Kinbane,N08000425,1633
Loughguile and Stranocum,N08000426,1302
Lurigethan,N08000427,1087
Macosquin,N08000428,1340
Magilligan,N08000429,1123
Mountsandel,N08000430,1862
Portrush and Dunluce,N08000431,1437
Portstewart,N08000432,1439
Quarry,N08000433,1844
Rasharkin,N08000434,1407
Roeside,N08000435,1301
Route,N08000436,1393
Torr Head and Rathlin,N08000437,1388
University,N08000438,1516
Waterside,N08000439,1960
Windy Hall,N08000440,1522
Artigarvan,N08000501,1383
Ballycolman,N08000502,1401
Ballymagroarty,N08000503,1520
Brandywell,N08000504,1502
Carn Hill,N08000505,1165
Castlederg,N08000506,1467
Caw,N08000507,1944
City Walls,N08000508,1890
Claudy,N08000509,1302
Clondermot,N08000510,1557
Creggan,N08000511,1420
Creggan South,N08000512,1578
Culmore,N08000513,1467
Drumahoe,N08000514,1796
Dunnamanagh,N08000515,1299
Ebrington,N08000516,1828
Eglinton,N08000517,1474
Enagh,N08000518,1646
Finn,N08000519,1539
Foyle Springs,N08000520,1168
Galliagh,N08000521,1549
Glenderg,N08000522,1187
Glenelly Valley,N08000523,1201
Kilfennan,N08000524,1749
Lisnagelvin,N08000525,1498
Madam's Bank,N08000526,1205
New Buildings,N08000527,1511
Newtownstewart,N08000528,1271
Northland,N08000529,2375
Park (Derry City and Strabane LGD),N08000530,1231
Shantallow,N08000531,1461
Shantallow East,N08000532,1577
Sheriff's Mountain,N08000533,1219
Sion Mills,N08000534,1550
Skeoge,N08000535,2421
Slievekirk,N08000536,1365
Springtown,N08000537,1147
Strabane North,N08000538,1768
Strabane West,N08000539,1403
Victoria (Derry City and Strabane LGD),N08000540,1903
Ballinamallard,N08000601,1214
Belcoo and Garrison,N08000602,1046
Belleek and Boa,N08000603,1287
Beragh,N08000604,1092
"Boho, Cleenish and Letterbreen",N08000605,1246
Brookeborough,N08000606,929
Camowen,N08000607,1347
Castlecoole,N08000608,1328
Coolnagard,N08000609,1298
Dergmoney,N08000610,1247
Derrygonnelly,N08000611,1071
Derrylin,N08000612,1043
Donagh,N08000613,919
Dromore (Fermanagh and Omagh LGD),N08000614,1034
Drumnakilly,N08000615,1101
Drumquin,N08000616,1058
Ederney and Kesh,N08000617,1148
Erne,N08000618,1351
Fairy Water,N08000619,1008
Fintona,N08000620,1051
Florence Court and Kinawley,N08000621,1026
Gortin,N08000622,1176
Gortrush,N08000623,1377
Irvinestown,N08000624,1421
Killyclogher,N08000625,1268
Lisbellaw,N08000626,1176
Lisnarrick,N08000627,1322
Lisnaskea,N08000628,1135
Maguiresbridge,N08000629,1230
Newtownbutler,N08000630,1004
Newtownsaville,N08000631,1043
Owenkillew,N08000632,935
Portora,N08000633,1541
Rosslea,N08000634,833
Rossorry,N08000635,1146
Sixmilecross,N08000636,967
Strule,N08000637,1475
Tempo,N08000638,1055
Termon,N08000639,881
Trillick,N08000640,889
Ballinderry,N08000701,1436
Ballyhanwood,N08000702,1321
Ballymacash,N08000703,1207
Ballymacbrennan,N08000704,1165
Ballymacoss,N08000705,2343
Beechill,N08000706,1246
Blaris,N08000707,1579
Cairnshill,N08000708,1361
Carrowreagh,N08000709,2405
Carryduff East,N08000710,1448
Carryduff West,N08000711,1339
Derryaghy,N08000712,1993
Dromara,N08000713,1296
Drumbo,N08000714,1188
Dundonald,N08000715,1376
Enler,N08000716,1462
Galwally,N08000717,1316
Glenavy,N08000718,1388
Graham's Bridge,N08000719,1492
Harmony Hill,N08000720,1289
Hilden,N08000721,1959
Hillhall,N08000722,1675
Hillsborough,N08000723,1468
Knockbracken,N08000724,1337
Knockmore,N08000725,1827
Lagan,N08000726,1359
Lagan Valley,N08000727,1497
Lambeg,N08000728,1800
Lisnagarvey,N08000729,1322
Maghaberry,N08000730,1548
Magheralave,N08000731,1680
Maze,N08000732,1277
Moira,N08000733,1539
Moneyreagh,N08000734,1221
Newtownbreda,N08000735,1240
Old Warren,N08000736,1752
Ravernet,N08000737,1161
Stonyford,N08000738,1109
Wallace Park,N08000739,1377
White Mountain,N08000740,2346
Academy,N08000801,1081
Ahoghill,N08000802,1479
Ardeevin,N08000803,1496
Ballee and Harryville,N08000804,1657
Ballycarry and Glynn,N08000805,1524
Ballykeel,N08000806,1373
Boneybefore,N08000807,1239
