Geography,GeographyCode,Total,Female,Female_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,3355,1747,52.07
Aldergrove,N08000102,4684,2079,44.39
Antrim Centre,N08000103,4094,2033,49.66
Ballyclare East,N08000104,4142,2134,51.52
Ballyclare West,N08000105,4041,2094,51.82
Ballyduff,N08000106,3020,1553,51.42
Ballyhenry,N08000107,2711,1354,49.94
Ballynure,N08000108,3610,1841,51.00
Ballyrobert,N08000109,3810,1956,51.34
Burnthill,N08000110,3715,1991,53.59
Carnmoney,N08000111,2608,1347,51.65
Carnmoney Hill,N08000112,3305,1694,51.26
Clady,N08000113,3834,1909,49.79
Collinbridge,N08000114,2927,1446,49.40
Cranfield,N08000115,3175,1626,51.21
Crumlin,N08000116,3705,1883,50.82
Doagh,N08000117,3471,1753,50.50
Fairview,N08000118,3115,1639,52.62
Fountain Hill,N08000119,3465,1812,52.29
Glebe (Antrim and Newtownabbey LGD),N08000120,3042,1563,51.38
Glengormley,N08000121,3421,1804,52.73
Greystone (Antrim and Newtownabbey LGD),N08000122,3072,1568,51.04
Hightown,N08000123,3126,1551,49.62
Jordanstown,N08000124,3244,1620,49.94
Mallusk,N08000125,6279,3140,50.01
Monkstown,N08000126,3726,1911,51.29
Mossley,N08000127,3708,1919,51.75
O'Neill,N08000128,3328,1704,51.20
Parkgate,N08000129,3259,1617,49.62
Randalstown,N08000130,3734,1902,50.94
Rathcoole,N08000131,3377,1819,53.86
Rostulla,N08000132,3921,1986,50.65
Shilvodan,N08000133,3896,1952,50.10
Springfarm,N08000134,5545,2791,50.33
Steeple,N08000135,3794,2025,53.37
Stiles,N08000136,3987,2053,51.49
Templepatrick,N08000137,3521,1804,51.24
Toome,N08000138,3936,1925,48.91
Valley (Antrim and Newtownabbey LGD),N08000139,3717,1953,52.54
Whitehouse,N08000140,3221,1651,51.26
Aghagallon,N08000201,5046,2526,50.06
Ballybay,N08000202,5458,2786,51.04
Banbridge East,N08000203,4479,2266,50.59
Banbridge North,N08000204,4272,2195,51.38
Banbridge South,N08000205,5043,2580,51.16
Banbridge West,N08000206,5431,2763,50.87
Blackwatertown,N08000207,5502,2680,48.71
Bleary,N08000208,4981,2501,50.21
Brownlow,N08000209,6626,3369,50.85
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,5119,2673,52.22
Corcrain,N08000211,5455,2794,51.22
Craigavon Centre,N08000212,6750,3442,50.99
Demesne,N08000213,5705,2947,51.66
Derrytrasna,N08000214,4981,2464,49.47
Donaghcloney,N08000215,4936,2412,48.87
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,4843,2500,51.62
Gilford,N08000217,4997,2555,51.13
Gransha,N08000218,5155,2546,49.39
Hamiltonsbawn,N08000219,4969,2531,50.94
Keady,N08000220,5243,2660,50.73
Kernan,N08000221,5894,3064,51.99
Killycomain,N08000222,5247,2513,47.89
Knocknashane,N08000223,4556,2298,50.44
Lough Road,N08000224,5601,2771,49.47
Loughbrickland,N08000225,5711,2863,50.13
Loughgall,N08000226,5484,2722,49.64
Magheralin,N08000227,5368,2725,50.76
Mahon,N08000228,5172,2603,50.33
Markethill,N08000229,5632,2859,50.76
Mourneview,N08000230,5495,2823,51.37
Navan,N08000231,5299,2629,49.61
Parklake,N08000232,5648,2780,49.22
Quilly,N08000233,4497,2254,50.12
Rathfriland,N08000234,5009,2537,50.65
Richhill,N08000235,4837,2414,49.91
Seagahan,N08000236,5603,2785,49.71
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,6446,3272,50.76
Tandragee,N08000238,5171,2614,50.55
The Birches,N08000239,6098,3053,50.07
The Mall,N08000240,5512,2857,51.83
Waringstown,N08000241,5400,2771,51.31
Andersonstown,N08000301,4648,2428,52.24
Ardoyne,N08000302,5490,2921,53.21
Ballygomartin,N08000303,5952,3113,52.30
Ballymacarrett,N08000304,5905,3039,51.46
Ballymurphy,N08000305,5130,2749,53.59
Ballysillan,N08000306,5289,2732,51.65
Beechmount,N08000307,5394,2823,52.34
Beersbridge,N08000308,6609,3368,50.96
Bellevue,N08000309,5427,2812,51.81
Belmont,N08000310,4694,2438,51.94
Belvoir,N08000311,5359,2698,50.35
Blackstaff,N08000312,7547,3589,47.56
Bloomfield (Belfast LGD),N08000313,5894,2926,49.64
Cavehill,N08000314,4434,2272,51.24
Central,N08000315,15446,7384,47.81
Chichester Park,N08000316,5409,2696,49.84
Cliftonville,N08000317,5657,2960,52.32
Clonard,N08000318,6000,3202,53.37
Collin Glen,N08000319,5655,2908,51.42
Connswater,N08000320,5929,3088,52.08
Cregagh,N08000321,4586,2368,51.64
Duncairn,N08000322,8336,4130,49.54
Dunmurry,N08000323,5207,2623,50.37
Falls,N08000324,5179,2774,53.56
Falls Park,N08000325,4743,2521,53.15
Finaghy,N08000326,4528,2324,51.33
Forth River,N08000327,4921,2634,53.53
Fortwilliam,N08000328,4717,2452,51.98
Garnerville,N08000329,4788,2510,52.42
Gilnahirk,N08000330,5153,2695,52.30
Hillfoot,N08000331,4582,2361,51.53
Innisfayle,N08000332,5314,2749,51.73
Knock,N08000333,5010,2643,52.75
Ladybrook,N08000334,4817,2490,51.69
Lagmore,N08000335,8344,4365,52.31
Legoniel,N08000336,6135,3210,52.32
Malone,N08000337,4811,2450,50.92
Merok,N08000338,4438,2311,52.07
Musgrave,N08000339,4836,2500,51.70
New Lodge,N08000340,4881,2439,49.97
Orangefield,N08000341,4756,2409,50.65
Ormeau,N08000342,6532,3280,50.21
Poleglass,N08000343,6103,3282,53.78
Ravenhill,N08000344,4822,2465,51.12
Rosetta,N08000345,5793,3006,51.89
Sandown,N08000346,4470,2295,51.34
Shandon,N08000347,5377,2844,52.89
Shankill (Belfast LGD),N08000348,6445,3416,53.00
Shaw's Road,N08000349,5480,2847,51.95
Stewartstown (Belfast LGD),N08000350,4579,2408,52.59
Stormont,N08000351,5045,2610,51.73
Stranmillis,N08000352,8978,4573,50.94
Sydenham,N08000353,5589,2881,51.55
Turf Lodge,N08000354,4569,2391,52.33
Twinbrook,N08000355,4917,2580,52.47
Upper Malone,N08000356,4974,2615,52.57
Water Works,N08000357,6910,3531,51.10
Windsor,N08000358,11302,5263,46.57
Woodstock,N08000359,6431,3231,50.24
Woodvale,N08000360,5170,2725,52.71
Aghadowey,N08000401,3453,1693,49.03
Altahullion,N08000402,3191,1566,49.08
Atlantic,N08000403,4536,2384,52.56
Ballycastle,N08000404,3397,1727,50.84
Ballykelly,N08000405,3103,1571,50.63
Ballymoney East,N08000406,3109,1617,52.01
Ballymoney North,N08000407,3401,1809,53.19
Ballymoney South,N08000408,3386,1778,52.51
Castlerock,N08000409,3391,1791,52.82
Churchland,N08000410,3643,1857,50.97
Clogh Mills,N08000411,3645,1833,50.29
Coolessan,N08000412,2920,1513,51.82
Dervock,N08000413,3449,1765,51.17
Drumsurn,N08000414,3663,1907,52.06
Dundooan,N08000415,3910,2003,51.23
Dungiven,N08000416,3297,1657,50.26
Dunloy,N08000417,3625,1803,49.74
Feeny,N08000418,3611,1807,50.04
Garvagh,N08000419,3514,1769,50.34
Giant's Causeway,N08000420,3382,1677,49.59
Greysteel,N08000421,4642,2287,49.27
Greystone (Causeway Coast and Glens LGD),N08000422,3486,1794,51.46
Hopefield,N08000423,3586,1834,51.14
Kilrea,N08000424,3751,1879,50.09
Kinbane,N08000425,4042,2049,50.69
Loughguile and Stranocum,N08000426,3678,1803,49.02
Lurigethan,N08000427,2764,1357,49.10
Macosquin,N08000428,3431,1729,50.39
Magilligan,N08000429,3481,1563,44.90
Mountsandel,N08000430,3808,1930,50.68
Portrush and Dunluce,N08000431,2759,1427,51.72
Portstewart,N08000432,2915,1490,51.11
Quarry,N08000433,4459,2365,53.04
Rasharkin,N08000434,3906,1978,50.64
Roeside,N08000435,2654,1318,49.66
Route,N08000436,3448,1710,49.59
Torr Head and Rathlin,N08000437,3597,1765,49.07
University,N08000438,3654,1915,52.41
Waterside,N08000439,4305,2234,51.89
Windy Hall,N08000440,3754,1947,51.86
Artigarvan,N08000501,3639,1860,51.11
Ballycolman,N08000502,3530,1922,54.45
Ballymagroarty,N08000503,3984,2136,53.61
Brandywell,N08000504,3185,1639,51.46
Carn Hill,N08000505,2849,1513,53.11
Castlederg,N08000506,3443,1792,52.05
Caw,N08000507,4334,2227,51.38
City Walls,N08000508,3242,1489,45.93
Claudy,N08000509,3500,1716,49.03
Clondermot,N08000510,3848,1958,50.88
Creggan,N08000511,3476,1798,51.73
Creggan South,N08000512,3850,2110,54.81
Culmore,N08000513,4324,2181,50.44
Drumahoe,N08000514,4497,2302,51.19
Dunnamanagh,N08000515,3513,1721,48.99
Ebrington,N08000516,4021,2050,50.98
Eglinton,N08000517,3910,2005,51.28
Enagh,N08000518,4393,2207,50.24
Finn,N08000519,4321,2194,50.78
Foyle Springs,N08000520,3041,1531,50.35
Galliagh,N08000521,3749,1966,52.44
Glenderg,N08000522,3200,1554,48.56
Glenelly Valley,N08000523,3403,1667,48.99
Kilfennan,N08000524,4735,2436,51.45
Lisnagelvin,N08000525,3166,1669,52.72
Madam's Bank,N08000526,2865,1464,51.10
New Buildings,N08000527,3831,1995,52.08
Newtownstewart,N08000528,3103,1530,49.31
Northland,N08000529,4847,2248,46.38
Park (Derry City and Strabane LGD),N08000530,3531,1742,49.33
Shantallow,N08000531,3667,1920,52.36
Shantallow East,N08000532,4266,2246,52.65
Sheriff's Mountain,N08000533,3337,1711,51.27
Sion Mills,N08000534,3731,1917,51.38
Skeoge,N08000535,6385,3519,55.11
Slievekirk,N08000536,3576,1735,48.52
