Geography,GeographyCode,Total,Level4Plus,Level4Plus_pct
Ballycarry and Glynn,N08000805,2990,949,31.74
Ballykeel,N08000806,2407,348,14.46
Boneybefore,N08000807,2462,797,32.37
Braidwater,N08000808,2628,726,27.63
Broughshane,N08000809,3073,919,29.91
Burleigh Hill,N08000810,2290,681,29.74
Cairncastle,N08000811,2757,1051,38.12
Carnlough and Glenarm,N08000812,2561,666,26.01
Castle (Mid and East Antrim LGD),N08000813,3336,772,23.14
Castle Demesne,N08000814,3582,556,15.52
Craigyhill,N08000815,3091,605,19.57
Cullybackey,N08000816,2376,535,22.52
Curran and Inver,N08000817,2938,748,25.46
Fair Green,N08000818,3285,633,19.27
Galgorm,N08000819,2665,1031,38.69
Gardenmore,N08000820,2777,620,22.33
Glenravel,N08000821,2744,889,32.40
Glenwhirry,N08000822,2560,849,33.16
Gortalee,N08000823,2949,1016,34.45
Grange,N08000824,2854,1076,37.70
Greenisland,N08000825,2856,1399,48.98
Islandmagee,N08000826,2554,851,33.32
Kells,N08000827,2772,792,28.57
Kilroot,N08000828,3376,1064,31.52
Kilwaughter,N08000829,3763,1215,32.29
Kirkinriola,N08000830,2573,831,32.30
Love Lane,N08000831,2598,714,27.48
Maine,N08000832,2421,738,30.48
Park (Mid and East Antrim LGD),N08000833,2453,722,29.43
Portglenone,N08000834,2635,779,29.56
Slemish,N08000835,2577,828,32.13
Sunnylands,N08000836,3143,494,15.72
The Maidens,N08000837,2836,541,19.08
Victoria (Mid and East Antrim LGD),N08000838,3512,975,27.76
Whitehead South,N08000839,2830,1033,36.50
Woodburn,N08000840,2892,830,28.70
Ardboe,N08000901,2886,782,27.10
Augher and Clogher,N08000902,2679,927,34.60
Aughnacloy,N08000903,2805,800,28.52
Ballygawley,N08000904,2996,937,31.28
Ballymaguigan,N08000905,3148,1066,33.86
Ballysaggart,N08000906,3886,713,18.35
Bellaghy,N08000907,2882,907,31.47
Caledon,N08000908,3015,933,30.95
Castlecaulfield,N08000909,2893,1046,36.16
Castledawson,N08000910,2957,908,30.71
Coagh,N08000911,2544,747,29.36
Coalisland North,N08000912,2859,891,31.16
Coalisland South,N08000913,3665,886,24.17
Cookstown East,N08000914,3064,774,25.26
Cookstown South,N08000915,2765,744,26.91
Cookstown West,N08000916,2862,652,22.78
Coolshinny,N08000917,3156,1200,38.02
Donaghmore,N08000918,2944,951,32.30
Draperstown,N08000919,2461,704,28.61
Fivemiletown,N08000920,2527,679,26.87
Glebe (Mid Ulster LGD),N08000921,3089,971,31.43
Killyman,N08000922,2761,993,35.97
Killymeal,N08000923,3764,1093,29.04
Lissan,N08000924,2768,759,27.42
Loughry,N08000925,2350,584,24.85
Lower Glenshane,N08000926,2424,864,35.64
Maghera,N08000927,2668,707,26.50
Moy,N08000928,2985,1035,34.67
Moygashel,N08000929,2890,686,23.74
Mullaghmore,N08000930,3405,880,25.84
Oaklands,N08000931,2582,780,30.21
Pomeroy,N08000932,2917,817,28.01
Stewartstown (Mid Ulster LGD),N08000933,2504,695,27.76
Swatragh,N08000934,2592,823,31.75
Tamlaght O'Crilly,N08000935,2782,805,28.94
The Loup,N08000936,3180,1036,32.58
Tobermore,N08000937,2707,773,28.56
Town Parks East,N08000938,2822,644,22.82
Valley (Mid Ulster LGD),N08000939,2676,747,27.91
Washing Bay,N08000940,2802,974,34.76
"Abbey (Newry, Mourne and Down LGD)",N08001001,3332,799,23.98
Annalong,N08001002,3404,924,27.14
Ballybot,N08001003,4212,893,21.20
Ballydugan,N08001004,2949,939,31.84
Ballynahinch,N08001005,3733,882,23.63
Ballyward,N08001006,3509,1135,32.35
Bessbrook,N08001007,4191,1215,28.99
Binnian,N08001008,3347,848,25.34
Burren,N08001009,3324,1372,41.28
Camlough,N08001010,3125,973,31.14
Castlewellan,N08001011,3405,959,28.16
"Cathedral (Newry, Mourne and Down LGD)",N08001012,3230,723,22.38
Crossgar and Killyleagh,N08001013,3551,1048,29.51
Crossmaglen,N08001014,2937,806,27.44
Damolly,N08001015,3453,998,28.90
Derryboy,N08001016,3259,1098,33.69
Derryleckagh,N08001017,3665,1475,40.25
Donard,N08001018,3127,1183,37.83
Drumalane,N08001019,3925,1399,35.64
Drumaness,N08001020,3241,1042,32.15
Dundrum,N08001021,3537,1189,33.62
Fathom,N08001022,3438,1113,32.37
Forkhill,N08001023,3164,1110,35.08
Hilltown,N08001024,3856,1256,32.57
Kilkeel,N08001025,3058,624,20.41
Kilmore,N08001026,3306,1214,36.72
Knocknashinna,N08001027,3657,1138,31.12
Lecale,N08001028,3455,977,28.28
Lisnacree,N08001029,3656,1052,28.77
Mayobridge,N08001030,3968,1346,33.92
Mullaghbane,N08001031,3306,1142,34.54
Murlough,N08001032,3826,1257,32.85
Newtownhamilton,N08001033,3226,883,27.37
Quoile,N08001034,3344,1249,37.35
Rostrevor,N08001035,3553,1466,41.26
Saintfield,N08001036,3340,1475,44.16
St. Patrick's,N08001037,3705,1474,39.78
Strangford,N08001038,3518,1263,35.90
Tollymore,N08001039,3262,1125,34.49
Warrenpoint,N08001040,3796,1083,28.53
Whitecross,N08001041,3105,985,31.72
Ballycrochan,N08001101,2611,997,38.18
Ballygowan,N08001102,3529,1190,33.72
Ballygrainey,N08001103,4687,1419,30.28
Ballyholme,N08001104,3222,1602,49.72
Ballymagee,N08001105,3285,1316,40.06
Ballywalter,N08001106,3816,930,24.37
Bloomfield (Ards and North Down LGD),N08001107,3255,909,27.93
Broadway,N08001108,2903,1213,41.78
Bryansburn,N08001109,3146,1548,49.21
Carrowdore,N08001110,3489,964,27.63
Castle (Ards and North Down LGD),N08001111,3342,889,26.60
Clandeboye,N08001112,3325,1395,41.95
Comber North,N08001113,3112,751,24.13
Comber South,N08001114,3137,1165,37.14
Comber West,N08001115,3254,1156,35.53
Conway Square,N08001116,3636,723,19.88
Cronstown,N08001117,3651,1098,30.07
Cultra,N08001118,3312,1880,56.76
Donaghadee,N08001119,3348,1054,31.48
Glen,N08001120,3653,1239,33.92
Gregstown,N08001121,2702,713,26.39
Groomsport,N08001122,3119,1084,34.75
Harbour,N08001123,4103,1864,45.43
Helen's Bay,N08001124,3271,1688,51.61
Holywood,N08001125,3402,1720,50.56
Kilcooley,N08001126,3448,667,19.34
Killinchy,N08001127,3093,1370,44.29
Kircubbin,N08001128,3561,956,26.85
Loughries,N08001129,3420,1091,31.90
Loughview,N08001130,3738,1428,38.20
Movilla,N08001131,3304,766,23.18
Portaferry,N08001132,2924,831,28.42
Portavogie,N08001133,3075,641,20.85
Rathgael,N08001134,3022,913,30.21
Rathmore,N08001135,3121,1152,36.91
Scrabo,N08001136,3560,1449,40.70
Silverbirch,N08001137,3078,997,32.39
Silverstream,N08001138,3226,1044,32.36
Warren,N08001139,3598,1326,36.85
West Winds,N08001140,3513,614,17.48
