Geography,GeographyCode,PopulationDensity
Dunsilly_A,N21000001,0.49490235818545464
Dunsilly_B,N21000002,0.4292651752811997
Dunsilly_C,N21000003,0.9043168730529698
Dunsilly_D,N21000004,26.797699497058048
Dunsilly_E,N21000005,26.686422830973896
Dunsilly_F,N21000006,0.6273499041532393
Antrim_A,N21000007,12.660959813430157
Antrim_B,N21000008,5.137242391843667
Antrim_C,N21000009,5.484496076277427
Antrim_D,N21000010,24.718202261565914
Antrim_E,N21000011,37.09173480331224
Antrim_F,N21000012,7.4140757157045725
Antrim_G,N21000013,23.215724577436585
Antrim_H,N21000014,46.08256803292987
Antrim_J,N21000015,31.388280125487473
Antrim_K,N21000016,41.28828370543339
Antrim_L,N21000017,16.183477979953974
Antrim_N,N21000018,7.760574794793413
Ballyclare_A,N21000019,1.4732468041717717
Ballyclare_B,N21000020,20.34989250202113
Ballyclare_C,N21000021,29.363550106706228
Ballyclare_D,N21000022,24.226945121201783
Ballyclare_E,N21000023,16.874447365243363
Ballyclare_F,N21000024,0.7958262879077141
Ballyclare_G,N21000025,22.069415946254594
Ballyclare_H,N21000026,0.8673800314996216
Three_Mile_Water_A,N21000027,3.3645715542058605
Three_Mile_Water_B,N21000028,2.2516231954247683
Three_Mile_Water_C,N21000029,42.743925846010754
Three_Mile_Water_D,N21000030,34.531276225952894
Three_Mile_Water_E,N21000031,26.884099634238257
Three_Mile_Water_F,N21000032,54.451303733040966
Three_Mile_Water_G,N21000033,14.045819023250521
Three_Mile_Water_H,N21000034,56.7591053744859
Three_Mile_Water_J,N21000035,37.04433019220316
Three_Mile_Water_K,N21000036,20.132220631452302
Macedon_A,N21000037,6.916825364583183
Macedon_B,N21000038,32.06497629885162
Macedon_C,N21000039,53.22669018649714
Macedon_D,N21000040,17.350878661262787
Macedon_E,N21000041,26.12117916603373
Macedon_F,N21000042,51.53957227467423
Macedon_G,N21000043,40.89815640257945
Macedon_H,N21000044,11.792409375386718
Macedon_J,N21000045,14.250037122519254
Macedon_K,N21000046,36.532468670555254
Macedon_L,N21000047,19.863830011112245
Glengormley_Urban_A,N21000048,32.78508968459662
Glengormley_Urban_B,N21000049,34.11582101842665
Glengormley_Urban_C,N21000050,35.67209539202925
Glengormley_Urban_D,N21000051,63.76543623584452
Glengormley_Urban_E,N21000052,37.32267806998116
Glengormley_Urban_F,N21000053,46.97251018474368
Glengormley_Urban_G,N21000054,38.24190008545079
Glengormley_Urban_H,N21000055,43.82832044738649
Glengormley_Urban_J,N21000056,37.206169666634935
Glengormley_Urban_K,N21000057,33.227417273266596
Glengormley_Urban_L,N21000058,5.895034269766868
Airport_A,N21000059,17.997108778639728
Airport_B,N21000060,1.4186983262411652
Airport_C,N21000061,0.41955791221607674
Airport_D,N21000062,6.963189030676953
Airport_E,N21000063,30.10059556346519
Airport_F,N21000064,0.49441653067877694
Airport_G,N21000065,0.36653033247412986
Airport_H,N21000066,38.166887739205826
Airport_J,N21000067,43.665556499031204
Armagh_A,N21000068,0.7366450527624989
Armagh_B,N21000069,12.059961368797987
Armagh_C,N21000070,11.04630068298866
Armagh_D,N21000071,18.101152084807577
Armagh_E,N21000072,0.48130263367030435
Armagh_F,N21000073,32.03233532963959
Armagh_G,N21000074,11.935009717478371
Armagh_H,N21000075,20.58450356249073
Armagh_J,N21000076,0.5424368194379131
Armagh_K,N21000077,0.3770052065166093
Armagh_L,N21000078,14.48827721944961
Portadown_A,N21000079,0.9568204889599105
Portadown_B,N21000080,0.6104644489013396
Portadown_C,N21000081,17.772187931669734
Portadown_D,N21000082,33.241888049232266
Portadown_E,N21000083,28.901445048888792
Portadown_F,N21000084,12.350090022679183
Portadown_G,N21000085,46.80807860000051
Portadown_H,N21000086,20.24343022898391
Portadown_J,N21000087,0.6866335502849302
Portadown_K,N21000088,32.2259126310356
Portadown_L,N21000089,34.61721259161838
Portadown_N,N21000090,28.210611085115065
Portadown_P,N21000091,38.359245492169684
Portadown_Q,N21000092,14.537153614851766
