Geography,GeographyCode,AverageHouseholdSize
Airport,N10000101,2.668006027122049
Antrim,N10000102,2.31898659884574
Ballyclare,N10000103,2.4011421319796953
Dunsilly,N10000104,2.707818930041152
Glengormley Urban,N10000105,2.3692493946731235
Macedon,N10000106,2.162803234501348
Three Mile Water,N10000107,2.3910733262486716
Armagh,N10000201,2.627221856484529
Banbridge,N10000202,2.4766054718194157
Craigavon,N10000203,2.657807917888563
Cusher,N10000204,2.669036579082947
Lagan River,N10000205,2.6020612051740457
Lurgan,N10000206,2.473410479781563
Portadown,N10000207,2.52064078866297
Balmoral,N10000301,2.2777308954524145
Black Mountain,N10000302,2.424731550509541
Botanic,N10000303,2.190961670424468
Castle,N10000304,2.2369628702544846
Collin,N10000305,2.580862636941699
Court,N10000306,2.1598218379511365
Lisnasharragh,N10000307,2.2343277799302594
Oldpark,N10000308,2.2682015348682016
Ormiston,N10000309,2.2418197379682665
Titanic,N10000310,2.0226683207398217
Ballymoney,N10000401,2.495233213736545
Bann,N10000402,2.591246290801187
Benbradagh,N10000403,2.6818798011748757
Causeway,N10000404,2.26038651853235
Coleraine,N10000405,2.253898635477583
Limavady,N10000406,2.364630811303555
The Glens,N10000407,2.5091436865021772
Ballyarnett,N10000501,2.61085174810665
Derg,N10000502,2.527223489167617
Faughan,N10000503,2.6116053099767345
Foyleside,N10000504,2.314629529475392
Sperrin,N10000505,2.538723667905824
The Moor,N10000506,2.2375081967213113
Waterside,N10000507,2.3275440313111546
Enniskillen,N10000601,2.290916011164679
Erne East,N10000602,2.6134898330302527
Erne North,N10000603,2.455050670153645
Erne West,N10000604,2.6748432312799704
Mid Tyrone,N10000605,2.851743238840013
Omagh,N10000606,2.262679127725857
West Tyrone,N10000607,2.71240755957272
Castlereagh East,N10000701,2.333584743023381
Castlereagh South,N10000702,2.482279435527308
Downshire East,N10000703,2.5762711864406778
Downshire West,N10000704,2.368005540166205
Killultagh,N10000705,2.749295052550628
Lisburn North,N10000706,2.247741935483871
Lisburn South,N10000707,2.3997398439063438
Ballymena,N10000801,2.337919594067135
Bannside,N10000802,2.555498126372916
Braid,N10000803,2.5332045917819976
Carrick Castle,N10000804,2.2557735286814005
Coast Road,N10000805,2.2080668320062653
Knockagh,N10000806,2.3420695274307444
Larne Lough,N10000807,2.29209926563687
Carntogher,N10000901,2.882234185733513
Clogher Valley,N10000902,2.7793893129770995
Cookstown,N10000903,2.672374053342114
Dungannon,N10000904,2.7138280832888415
Magherafelt,N10000905,2.6918858107157924
Moyola,N10000906,2.8282114320835894
Torrent,N10000907,2.8147965474722563
Crotlieve,N10001001,2.78984014906345
Downpatrick,N10001002,2.5422039859320047
Newry,N10001003,2.527808370044053
Rowallane,N10001004,2.4168491414083206
Slieve Croob,N10001005,2.7153134635149025
Slieve Gullion,N10001006,2.8430772086117297
The Mournes,N10001007,2.5845967252880535
Ards Peninsula,N10001101,2.4059165858389915
Bangor Central,N10001102,2.207765040582378
Bangor East and Donaghadee,N10001103,2.3349840090787164
Bangor West,N10001104,2.1865527065527064
Comber,N10001105,2.3528625258295857
Holywood and Clandeboye,N10001106,2.3622886263608986
Newtownards,N10001107,2.2676209740158706
