Geography,GeographyCode,AverageHouseholdSize
Banbridge_L,N21000146,2.9035012809564473
Banbridge_N,N21000147,2.635122838944495
Banbridge_P,N21000148,2.8798076923076925
Banbridge_Q,N21000149,2.338150289017341
Cusher_A,N21000150,2.545126353790614
Cusher_B,N21000151,2.37842617152962
Cusher_C,N21000152,2.686217008797654
Cusher_D,N21000153,2.693939393939394
Cusher_E,N21000154,2.704198473282443
Cusher_F,N21000155,2.184948979591837
Cusher_G,N21000156,2.7076566125290022
Cusher_H,N21000157,2.8232662192393736
Cusher_J,N21000158,2.393939393939394
Cusher_K,N21000159,3.021026072329689
Cusher_L,N21000160,2.9837251356238697
Oldpark_A,N21000161,2.787847579814624
Oldpark_B,N21000162,2.494047619047619
Oldpark_C,N21000163,2.0790842872008324
Oldpark_D,N21000164,2.6488169364881693
Oldpark_E,N21000165,2.305389221556886
Oldpark_F,N21000166,2.016194331983806
Oldpark_G,N21000167,2.38641425389755
Oldpark_H,N21000168,2.454113924050633
Oldpark_J,N21000169,2.1775244299674266
Oldpark_K,N21000170,2.247204968944099
Oldpark_L,N21000171,2.318602261048304
Oldpark_N,N21000172,2.444672131147541
Oldpark_P,N21000173,2.103960396039604
Oldpark_Q,N21000174,2.1158221302998967
Oldpark_R,N21000175,2.096096096096096
Oldpark_S,N21000176,1.8657289002557544
Oldpark_T,N21000177,2.156378600823045
Oldpark_U,N21000178,2.0504103165298946
Castle_A,N21000179,2.272363150867824
Castle_B,N21000180,2.2494199535962878
Castle_C,N21000181,2.082324455205811
Castle_D,N21000182,2.8492063492063493
Castle_E,N21000183,2.0822454308093996
Castle_F,N21000184,2.575139146567718
Castle_G,N21000185,2.4855371900826446
Castle_H,N21000186,2.2703517587939697
Castle_J,N21000187,2.5097636176772866
Castle_K,N21000188,1.9786950732356858
Castle_L,N21000189,2.3537735849056602
Castle_N,N21000190,2.0423892100192678
Castle_P,N21000191,2.0538827258320125
Castle_Q,N21000192,1.6884422110552764
Castle_R,N21000193,2.0675547098001905
Castle_S,N21000194,2.3815987933634992
Castle_T,N21000195,1.9678068410462777
Castle_U,N21000196,2.3212536728697355
Titanic_A,N21000197,1.8876582278481013
Titanic_B,N21000198,1.8604651162790697
Titanic_C,N21000199,2.1035267349260525
Titanic_D,N21000200,1.9960474308300395
Titanic_E,N21000201,2.013262599469496
Titanic_F,N21000202,2.1067653276955602
Titanic_G,N21000203,1.7879282218597063
Titanic_H,N21000204,2.3891129032258065
Titanic_J,N21000205,2.0842450765864333
Titanic_K,N21000206,2.2528735632183907
Titanic_L,N21000207,2.013333333333333
Titanic_N,N21000208,2.015463917525773
Titanic_P,N21000209,1.960419091967404
Titanic_Q,N21000210,1.8296593186372745
Titanic_R,N21000211,2.1780045351473922
Titanic_S,N21000212,1.9958847736625513
Titanic_T,N21000213,1.9703389830508475
Titanic_U,N21000214,1.9327868852459016
Titanic_W,N21000215,1.9931600547195623
Titanic_X,N21000216,2.046204620462046
Titanic_Y,N21000217,2.0185643564356437
Titanic_Z,N21000218,1.990950226244344
Ormiston_A,N21000219,2.1230425055928412
Ormiston_B,N21000220,2.289473684210526
Ormiston_C,N21000221,2.481707317073171
Ormiston_D,N21000222,2.3134796238244513
Ormiston_E,N21000223,2.153409090909091
Ormiston_F,N21000224,2.3699897225077082
