Geography,GeographyCode,AverageHouseholdSize
Dunsilly_A1,N20000001,2.8514056224899598
Dunsilly_B1,N20000002,2.606299212598425
Dunsilly_A2,N20000003,2.8515625
Dunsilly_A3,N20000004,3.0273972602739727
Dunsilly_B2,N20000005,2.9391304347826086
Dunsilly_A4,N20000006,2.761904761904762
Dunsilly_C1,N20000007,3.0662020905923346
Dunsilly_A5,N20000008,2.7203389830508473
Dunsilly_A6,N20000009,3.037878787878788
Dunsilly_B3,N20000010,2.989010989010989
Dunsilly_D1,N20000011,2.282608695652174
Dunsilly_D2,N20000012,2.1008771929824563
Dunsilly_F1,N20000013,2.576388888888889
Dunsilly_D3,N20000014,2.613259668508287
Dunsilly_C2,N20000015,2.313304721030043
Dunsilly_E1,N20000016,2.4754098360655736
Dunsilly_E2,N20000017,2.5923076923076924
Dunsilly_E3,N20000018,2.892857142857143
Dunsilly_D4,N20000019,1.6589861751152073
Dunsilly_D5,N20000020,2.2125984251968505
Dunsilly_E4,N20000021,2.8385416666666665
Dunsilly_C3,N20000022,2.9205298013245033
Dunsilly_D6,N20000023,2.5202020202020203
Dunsilly_C4,N20000024,3.0693069306930694
Dunsilly_F2,N20000025,3.267716535433071
Dunsilly_B4,N20000026,2.6634615384615383
Dunsilly_F3,N20000027,3.11731843575419
Dunsilly_F4,N20000028,2.916201117318436
Dunsilly_F5,N20000029,2.6161137440758293
Dunsilly_B5,N20000030,2.624338624338624
Dunsilly_B6,N20000031,2.33920704845815
Dunsilly_F6,N20000032,3.302158273381295
Dunsilly_F7,N20000033,3.2289156626506026
Dunsilly_F8,N20000034,3.204379562043796
Antrim_A1,N20000035,2.6947791164658637
Antrim_A2,N20000036,2.460526315789474
Antrim_A3,N20000037,2.5481927710843375
Antrim_B1,N20000038,2.3794466403162056
Antrim_B2,N20000039,2.4971751412429377
Antrim_A4,N20000040,2.7686567164179103
Antrim_C1,N20000041,2.787425149700599
Antrim_B3,N20000042,2.8491379310344827
Antrim_D1,N20000043,3.014705882352941
Antrim_C2,N20000044,2.4527363184079602
Antrim_C3,N20000045,2.5604395604395602
Antrim_D2,N20000046,2.1755725190839694
Antrim_D3,N20000047,2.3850267379679146
Antrim_C4,N20000048,2.30327868852459
Antrim_G1,N20000049,1.9710144927536233
Antrim_E1,N20000050,2.0238095238095237
Antrim_F1,N20000051,2.50253807106599
Antrim_F2,N20000052,2.397129186602871
Antrim_E2,N20000053,2.136125654450262
Antrim_D4,N20000054,2.2876106194690267
Antrim_E3,N20000055,2.1265822784810124
Antrim_E4,N20000056,2.5555555555555554
Antrim_G2,N20000057,2.1728971962616823
Antrim_H1,N20000058,2.3184357541899443
Antrim_F3,N20000059,2.085858585858586
Antrim_J1,N20000060,2.5357142857142856
Antrim_H2,N20000061,2.287425149700599
Antrim_H3,N20000062,2.178832116788321
Antrim_G3,N20000063,1.6857142857142857
Antrim_J2,N20000064,2.2471264367816093
Antrim_J3,N20000065,2.2522935779816513
Antrim_K1,N20000066,2.1666666666666665
Antrim_K2,N20000067,2.368181818181818
Antrim_G4,N20000068,1.9548022598870056
Antrim_L1,N20000069,2.744047619047619
Antrim_J4,N20000070,2.2903225806451615
Antrim_G5,N20000071,2.45985401459854
Antrim_L2,N20000072,2.5622119815668203
Antrim_F4,N20000073,2.102222222222222
Antrim_K3,N20000074,1.9746835443037976
Antrim_L3,N20000075,2.5562130177514795
Antrim_N1,N20000076,2.0494505494505493
Antrim_N2,N20000077,1.7094972067039107
Antrim_F5,N20000078,1.9401197604790419
Antrim_K4,N20000079,2.036842105263158
Antrim_J5,N20000080,2.615702479338843
Antrim_N3,N20000081,2.0242424242424244
Antrim_K5,N20000082,1.9737991266375545
Antrim_N4,N20000083,1.9708029197080292
Antrim_N5,N20000084,1.945945945945946
Antrim_L4,N20000085,2.737327188940092
Ballyclare_F1,N20000086,2.51440329218107
Ballyclare_A1,N20000087,2.4278350515463916
Ballyclare_F2,N20000088,2.437185929648241
Ballyclare_F3,N20000089,2.5938697318007664
Ballyclare_B1,N20000090,2.934306569343066
Ballyclare_A2,N20000091,2.545
Ballyclare_B2,N20000092,2.7465753424657535
Ballyclare_B3,N20000093,2.0098522167487687
Ballyclare_B4,N20000094,2.8466666666666667
Ballyclare_C1,N20000095,2.181318681318681
Ballyclare_A3,N20000096,2.5982142857142856
Ballyclare_B5,N20000097,2.2289156626506026
Ballyclare_D1,N20000098,2.4240506329113924
Ballyclare_A4,N20000099,2.4041450777202074
Ballyclare_F4,N20000100,2.62890625
Ballyclare_D2,N20000101,2.949044585987261
Ballyclare_D3,N20000102,2.199074074074074
Ballyclare_C2,N20000103,1.680952380952381
Ballyclare_C3,N20000104,2.3173913043478263
Ballyclare_C4,N20000105,2.096590909090909
Ballyclare_D4,N20000106,2.2204301075268815
Ballyclare_D5,N20000107,1.9326923076923077
Ballyclare_C5,N20000108,1.5863636363636364
Ballyclare_E1,N20000109,2.6538461538461537
Ballyclare_E2,N20000110,2.6761133603238867
Ballyclare_E3,N20000111,2.411483253588517
Ballyclare_C6,N20000112,2.1677852348993287
Ballyclare_D6,N20000113,2.09375
Ballyclare_E4,N20000114,2.3475935828877006
Ballyclare_E5,N20000115,2.380327868852459
Ballyclare_G1,N20000116,2.0460526315789473
Ballyclare_G2,N20000117,2.2866666666666666
Ballyclare_G3,N20000118,2.3093922651933703
Ballyclare_G4,N20000119,2.2133333333333334
Ballyclare_H1,N20000120,2.627450980392157
Ballyclare_F5,N20000121,2.6704545454545454
Ballyclare_H2,N20000122,2.7072243346007605
Ballyclare_H3,N20000123,2.6042780748663104
Three_Mile_Water_A1,N20000124,2.4308510638297873
Three_Mile_Water_B1,N20000125,2.2577319587628866
Three_Mile_Water_C1,N20000126,2.9950980392156863
Three_Mile_Water_A2,N20000127,1.8037383177570094
Three_Mile_Water_C2,N20000128,3.021551724137931
Three_Mile_Water_A3,N20000129,2.353276353276353
Three_Mile_Water_D1,N20000130,2.493333333333333
Three_Mile_Water_A4,N20000131,2.096774193548387
Three_Mile_Water_E1,N20000132,2.9852216748768474
Three_Mile_Water_C3,N20000133,2.6714801444043323
Three_Mile_Water_E2,N20000134,2.725806451612903
Three_Mile_Water_D2,N20000135,2.264069264069264
Three_Mile_Water_D3,N20000136,2.143478260869565
Three_Mile_Water_B2,N20000137,2.111111111111111
Three_Mile_Water_K1,N20000138,2.0970464135021096
Three_Mile_Water_B3,N20000139,2.1192660550458715
Three_Mile_Water_G1,N20000140,2.5480225988700567
Three_Mile_Water_A5,N20000141,2.1801242236024843
Three_Mile_Water_F1,N20000142,2.2088607594936707
Three_Mile_Water_E3,N20000143,2.5
Three_Mile_Water_D4,N20000144,2.43312101910828
Three_Mile_Water_F2,N20000145,1.5432098765432098
Three_Mile_Water_J1,N20000146,2.19672131147541
Three_Mile_Water_F3,N20000147,2.276018099547511
Three_Mile_Water_H1,N20000148,2.330827067669173
Three_Mile_Water_E4,N20000149,2.261029411764706
Three_Mile_Water_J2,N20000150,2.0448717948717947
Three_Mile_Water_H2,N20000151,2.465587044534413
Three_Mile_Water_G2,N20000152,2.2035928143712575
Three_Mile_Water_K2,N20000153,1.813953488372093
Three_Mile_Water_F4,N20000154,2.551948051948052
Three_Mile_Water_J3,N20000155,2.0402298850574714
Three_Mile_Water_H3,N20000156,2.622568093385214
Three_Mile_Water_H4,N20000157,2.4545454545454546
Three_Mile_Water_G3,N20000158,2.493723849372385
Three_Mile_Water_J4,N20000159,2.5838926174496644
Three_Mile_Water_G4,N20000160,3.613861386138614
Three_Mile_Water_K3,N20000161,2.604761904761905
Three_Mile_Water_G5,N20000162,2.356060606060606
Three_Mile_Water_K4,N20000163,2.8297872340425534
Macedon_A1,N20000164,2.9381443298969074
Macedon_A2,N20000165,2.358974358974359
Macedon_B1,N20000166,2.339622641509434
Macedon_B2,N20000167,1.9430379746835442
Macedon_C1,N20000168,2.2176165803108807
Macedon_B3,N20000169,1.8177966101694916
Macedon_C2,N20000170,2.3819095477386933
Macedon_C3,N20000171,2.0821917808219177
Macedon_B4,N20000172,2.721461187214612
Macedon_A3,N20000173,2.6635944700460827
Macedon_D1,N20000174,2.324626865671642
Macedon_C4,N20000175,2.2222222222222223
Macedon_C5,N20000176,2.4319526627218937
Macedon_B5,N20000177,2.064327485380117
Macedon_E1,N20000178,2.372972972972973
Macedon_E2,N20000179,2.0520833333333335
Macedon_D2,N20000180,2.4591836734693877
Macedon_F1,N20000181,2.595505617977528
Macedon_D3,N20000182,2.5185185185185186
Macedon_F2,N20000183,2.151685393258427
Macedon_F3,N20000184,2.311111111111111
Macedon_E3,N20000185,1.704225352112676
Macedon_H1,N20000186,1.6370967741935485
Macedon_F4,N20000187,2.1445086705202314
Macedon_H2,N20000188,2.2722513089005236
Macedon_J1,N20000189,2.307377049180328
Macedon_G1,N20000190,2.143712574850299
Macedon_E4,N20000191,2.269662921348315
Macedon_G2,N20000192,1.8111888111888113
Macedon_G3,N20000193,1.3522727272727273
Macedon_K1,N20000194,1.859375
Macedon_G4,N20000195,2.007751937984496
Macedon_J2,N20000196,1.8
Macedon_K2,N20000197,1.704
Macedon_K3,N20000198,1.5745614035087718
Macedon_G5,N20000199,2.12448132780083
Macedon_K4,N20000200,2.19140625
Macedon_J3,N20000201,1.9285714285714286
Macedon_K5,N20000202,1.9320388349514563
Macedon_J4,N20000203,2.325925925925926
Macedon_J5,N20000204,1.9791666666666667
Macedon_H3,N20000205,1.4700460829493087
Macedon_H4,N20000206,1.7577639751552796
Macedon_L1,N20000207,2.022727272727273
Macedon_L2,N20000208,2.6021505376344085
Macedon_L3,N20000209,2.772222222222222
Macedon_L4,N20000210,2.4071146245059287
Glengormley_Urban_C1,N20000211,2.274074074074074
Glengormley_Urban_A1,N20000212,2.375
Glengormley_Urban_A2,N20000213,2.1021505376344085
Glengormley_Urban_B1,N20000214,2.1466666666666665
Glengormley_Urban_C2,N20000215,2.9239766081871346
Glengormley_Urban_B2,N20000216,2.014388489208633
Glengormley_Urban_A3,N20000217,2.3705179282868527
Glengormley_Urban_B3,N20000218,2.1313868613138687
Glengormley_Urban_C3,N20000219,2.831372549019608
Glengormley_Urban_B4,N20000220,2.056872037914692
Glengormley_Urban_D1,N20000221,2.2982456140350878
Glengormley_Urban_E1,N20000222,2.3047619047619046
Glengormley_Urban_D2,N20000223,2.510204081632653
Glengormley_Urban_B5,N20000224,2.305
Glengormley_Urban_E2,N20000225,2.012987012987013
Glengormley_Urban_D3,N20000226,2.3449612403100777
Glengormley_Urban_C4,N20000227,2.5873015873015874
Glengormley_Urban_E3,N20000228,2.108910891089109
Glengormley_Urban_E4,N20000229,1.9659574468085106
Glengormley_Urban_D4,N20000230,2.330357142857143
Glengormley_Urban_F1,N20000231,2.357487922705314
Glengormley_Urban_G1,N20000232,2.3065693430656933
Glengormley_Urban_F2,N20000233,2.3072916666666665
Glengormley_Urban_G2,N20000234,2.453488372093023
Glengormley_Urban_G3,N20000235,2.231707317073171
Glengormley_Urban_H1,N20000236,1.9013452914798206
Glengormley_Urban_H2,N20000237,1.7584745762711864
Glengormley_Urban_F3,N20000238,2.4132231404958677
Glengormley_Urban_G4,N20000239,2.4759358288770055
Glengormley_Urban_F4,N20000240,2.1349693251533743
Glengormley_Urban_G5,N20000241,2.2045454545454546
Glengormley_Urban_H3,N20000242,2.3247422680412373
Glengormley_Urban_J1,N20000243,2.391891891891892
Glengormley_Urban_J2,N20000244,2.6666666666666665
Glengormley_Urban_J3,N20000245,2.6013071895424837
Glengormley_Urban_K1,N20000246,2.4727272727272727
Glengormley_Urban_K2,N20000247,2.417989417989418
Glengormley_Urban_L1,N20000248,1.9565217391304348
Glengormley_Urban_J4,N20000249,2.451388888888889
Glengormley_Urban_J5,N20000250,2.5827814569536423
Glengormley_Urban_L2,N20000251,2.9382716049382718
Glengormley_Urban_L3,N20000252,2.467032967032967
Glengormley_Urban_K3,N20000253,2.54320987654321
Glengormley_Urban_K4,N20000254,2.4390243902439024
Glengormley_Urban_L4,N20000255,3.096590909090909
Glengormley_Urban_L5,N20000256,3.0161290322580645
Airport_A1,N20000257,2.081081081081081
Airport_B1,N20000258,2.343137254901961
Airport_A2,N20000259,2.0732600732600734
Airport_A3,N20000260,2.4419475655430714
Airport_C1,N20000261,2.97
Airport_C2,N20000262,2.604
Airport_B2,N20000263,2.4224137931034484
Airport_B3,N20000264,2.2145328719723185
Airport_D1,N20000265,2.5211267605633805
Airport_C3,N20000266,2.564625850340136
Airport_D2,N20000267,2.927536231884058
Airport_F1,N20000268,2.7142857142857144
Airport_D3,N20000269,2.547244094488189
Airport_E1,N20000270,2.3178807947019866
Airport_D4,N20000271,3.254777070063694
Airport_E2,N20000272,2.7838983050847457
Airport_E3,N20000273,2.5632911392405062
Airport_G1,N20000274,2.6683417085427137
Airport_E4,N20000275,2.6830601092896176
Airport_E5,N20000276,3.0353535353535355
Airport_E6,N20000277,3.1
Airport_C4,N20000278,2.8118279569892475
Airport_F2,N20000279,2.9411764705882355
Airport_G2,N20000280,2.928251121076233
Airport_G3,N20000281,2.8497854077253217
Airport_F3,N20000282,2.9586206896551723
Airport_H1,N20000283,2.538983050847458
Airport_H2,N20000284,2.933333333333333
Airport_G4,N20000285,2.9054054054054053
Airport_J1,N20000286,2.937853107344633
Airport_H3,N20000287,3.049586776859504
Airport_H4,N20000288,2.1244239631336406
Airport_J2,N20000289,2.296774193548387
Airport_H5,N20000290,2.282442748091603
Airport_J3,N20000291,2.3656716417910446
Airport_J4,N20000292,3.1049723756906076
Airport_F4,N20000293,2.938202247191011
Airport_J5,N20000294,2.688888888888889
Armagh_A1,N20000295,2.8495934959349594
Armagh_A2,N20000296,2.7566137566137567
Armagh_A3,N20000297,2.7264957264957266
Armagh_A4,N20000298,3.1320754716981134
Armagh_E1,N20000299,2.7880434782608696
Armagh_A5,N20000300,3.0759493670886076
Armagh_E2,N20000301,2.9791666666666665
Armagh_A6,N20000302,2.672932330827068
Armagh_C1,N20000303,2.5675675675675675
Armagh_C2,N20000304,2.2986425339366514
Armagh_E3,N20000305,2.6055045871559632
Armagh_B1,N20000306,2.6019417475728157
Armagh_B2,N20000307,2.5521472392638036
Armagh_C3,N20000308,2.468926553672316
Armagh_D1,N20000309,2.8298755186721993
Armagh_J1,N20000310,2.838709677419355
