Geography,GeographyCode,Total,Unemployed,Unemployed_pct
Antrim and Newtownabbey,N09000001,116398,2406,2.07
"Armagh City, Banbridge and Craigavon",N09000002,170416,3328,1.95
Belfast,N09000003,279307,7662,2.74
Causeway Coast and Glens,N09000004,114158,2676,2.34
Derry City and Strabane,N09000005,118811,3718,3.13
Fermanagh and Omagh,N09000006,92012,1657,1.80
Lisburn and Castlereagh,N09000007,118925,2162,1.82
Mid and East Antrim,N09000008,113073,2473,2.19
Mid Ulster,N09000009,115658,2109,1.82
"Newry, Mourne and Down",N09000010,141993,3271,2.30
Ards and North Down,N09000011,133994,2811,2.10
