Geography,GeographyCode,Total,CatholicBackground,CatholicBackground_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,3355,1055,31.45
Aldergrove,N08000102,4683,1606,34.29
Antrim Centre,N08000103,4093,1700,41.53
Ballyclare East,N08000104,4142,265,6.40
Ballyclare West,N08000105,4041,199,4.92
Ballyduff,N08000106,3020,194,6.42
Ballyhenry,N08000107,2711,998,36.81
Ballynure,N08000108,3610,174,4.82
Ballyrobert,N08000109,3810,168,4.41
Burnthill,N08000110,3715,620,16.69
Carnmoney,N08000111,2607,665,25.51
Carnmoney Hill,N08000112,3305,633,19.15
Clady,N08000113,3834,1793,46.77
Collinbridge,N08000114,2930,2385,81.40
Cranfield,N08000115,3175,1539,48.47
Crumlin,N08000116,3705,2924,78.92
Doagh,N08000117,3471,131,3.77
Fairview,N08000118,3115,371,11.91
Fountain Hill,N08000119,3465,1128,32.55
Glebe (Antrim and Newtownabbey LGD),N08000120,3042,2204,72.45
Glengormley,N08000121,3421,1346,39.35
Greystone (Antrim and Newtownabbey LGD),N08000122,3072,729,23.73
Hightown,N08000123,3125,1670,53.44
Jordanstown,N08000124,3243,521,16.07
Mallusk,N08000125,6279,3351,53.37
Monkstown,N08000126,3726,484,12.99
Mossley,N08000127,3708,383,10.33
O'Neill,N08000128,3328,128,3.85
Parkgate,N08000129,3259,213,6.54
Randalstown,N08000130,3734,2239,59.96
Rathcoole,N08000131,3377,168,4.97
Rostulla,N08000132,3921,897,22.88
Shilvodan,N08000133,3896,1678,43.07
Springfarm,N08000134,5542,2319,41.84
Steeple,N08000135,3794,724,19.08
Stiles,N08000136,3989,1574,39.46
Templepatrick,N08000137,3521,523,14.85
Toome,N08000138,3936,3153,80.11
Valley (Antrim and Newtownabbey LGD),N08000139,3717,2366,63.65
Whitehouse,N08000140,3222,530,16.45
Aghagallon,N08000201,5047,4266,84.53
Ballybay,N08000202,5460,899,16.47
Banbridge East,N08000203,4475,1348,30.12
Banbridge North,N08000204,4272,1259,29.47
Banbridge South,N08000205,5043,1705,33.81
Banbridge West,N08000206,5431,2304,42.42
Blackwatertown,N08000207,5502,3969,72.14
Bleary,N08000208,4981,955,19.17
Brownlow,N08000209,6626,5420,81.80
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,5119,4330,84.59
Corcrain,N08000211,5455,4644,85.13
Craigavon Centre,N08000212,6750,2671,39.57
Demesne,N08000213,5705,4179,73.25
Derrytrasna,N08000214,4981,4336,87.05
Donaghcloney,N08000215,4935,563,11.41
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,4842,794,16.40
Gilford,N08000217,4998,2464,49.30
Gransha,N08000218,5155,991,19.22
Hamiltonsbawn,N08000219,4969,544,10.95
Keady,N08000220,5243,4327,82.53
Kernan,N08000221,5888,1025,17.41
Killycomain,N08000222,5244,1326,25.29
Knocknashane,N08000223,4556,601,13.19
Lough Road,N08000224,5601,4953,88.43
Loughbrickland,N08000225,5712,2630,46.04
Loughgall,N08000226,5482,2209,40.30
Magheralin,N08000227,5368,1230,22.91
Mahon,N08000228,5171,1002,19.38
Markethill,N08000229,5631,1155,20.51
Mourneview,N08000230,5496,1822,33.15
Navan,N08000231,5298,3207,60.53
Parklake,N08000232,5648,4804,85.06
Quilly,N08000233,4497,734,16.32
Rathfriland,N08000234,5008,1668,33.31
Richhill,N08000235,4837,393,8.12
Seagahan,N08000236,5603,4047,72.23
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,6447,5497,85.26
Tandragee,N08000238,5171,538,10.40
The Birches,N08000239,6097,2132,34.97
