Geography,LGDCode,AllUsualResidents
Antrim and Newtownabbey,N09000001,145661
"Armagh City, Banbridge and Craigavon",N09000002,218656
Belfast,N09000003,345418
Causeway Coast and Glens,N09000004,141746
Derry City and Strabane,N09000005,150756
Fermanagh and Omagh,N09000006,116812
Lisburn and Castlereagh,N09000007,149106
Mid and East Antrim,N09000008,138994
Mid Ulster,N09000009,150293
"Newry, Mourne and Down",N09000010,182074
Ards and North Down,N09000011,163659
