Geography,GeographyCode,Total,WorkFromHome,WorkFromHome_pct
ANTRIM,N11000001,11374,1464,12.87
CRUMLIN,N11000003,2421,438,18.09
PARKGATE,N11000009,330,69,20.91
RANDALSTOWN,N11000010,2281,353,15.48
TEMPLEPATRICK,N11000011,624,164,26.28
TOOME,N11000012,438,66,15.07
BALLYGOWAN,N11000022,1597,301,18.85
BALLYHALBERT,N11000023,502,68,13.55
BALLYWALTER,N11000025,791,131,16.56
CARROWDORE,N11000026,449,57,12.69
CLOUGHEY,N11000027,569,106,18.63
COMBER,N11000028,4131,792,19.17
DONAGHADEE,N11000030,3007,664,22.08
GREYABBEY,N11000032,327,49,14.98
KIRCUBBIN,N11000035,417,70,16.79
LISBANE,N11000037,236,63,26.69
MILLISLE,N11000039,1016,154,15.16
NEWTOWNARDS,N11000040,12633,2229,17.64
PORTAFERRY,N11000041,914,143,15.65
PORTAVOGIE,N11000042,925,117,12.65
ARMAGH,N11000051,6578,861,13.09
HAMILTONSBAWN,N11000072,530,60,11.32
KEADY,N11000073,1251,145,11.59
LAURELVALE / MULLAVILLY,N11000076,650,76,11.69
MARKETHILL,N11000081,825,98,11.88
MILFORD,N11000083,233,39,16.74
POYNTZPASS,N11000088,286,35,12.24
RICHHILL,N11000089,1255,168,13.39
TANDRAGEE,N11000093,1604,172,10.72
AHOGHILL,N11000098,1661,251,15.11
BALLYMENA,N11000099,13138,1611,12.26
BROUGHSHANE,N11000100,1306,198,15.16
CARGAN,N11000101,245,42,17.14
CULLYBACKEY,N11000103,1101,125,11.35
GRANGE CORNER,N11000104,243,33,13.58
KELLS / CONNOR,N11000105,1011,127,12.56
PORTGLENONE,N11000107,576,65,11.28
BALLYBOGY,N11000108,265,23,8.68
BALLYMONEY,N11000109,4470,534,11.95
BALNAMORE,N11000110,348,28,8.05
BENDOORAGH,N11000111,298,40,13.42
CLOGH MILLS,N11000114,560,60,10.71
DERVOCK,N11000117,276,9,3.26
DUNLOY,N11000119,503,46,9.15
RASHARKIN,N11000123,457,46,10.07
BANBRIDGE,N11000131,7631,1184,15.52
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,3128,564,18.03
GILFORD,N11000137,780,93,11.92
KINALLEN,N11000141,604,82,13.58
LAWRENCETOWN,N11000142,457,73,15.97
LOUGHBRICKLAND,N11000145,314,47,14.97
RATHFRILAND,N11000147,1009,111,11.00
BELFAST CITY,N11000151,116792,26244,22.47
CARRICKFERGUS,N11000153,12268,2163,17.63
GREENISLAND,N11000154,2802,697,24.88
WHITEHEAD,N11000157,1458,314,21.54
CARRYDUFF,N11000159,3420,912,26.67
METROPOLITAN CASTLEREAGH,N11000162,27518,6473,23.52
MONEYREAGH,N11000163,755,149,19.74
ARTICLAVE,N11000165,389,37,9.51
CASTLEROCK,N11000170,423,73,17.26
CASTLEROE,N11000171,315,42,13.33
COLERAINE,N11000173,9561,1190,12.45
GARVAGH,N11000176,443,40,9.03
KILREA,N11000179,657,83,12.63
MACOSQUIN,N11000180,228,16,7.02
PORTBALLINTRAE,N11000182,156,41,26.28
PORTRUSH,N11000183,2433,494,20.30
PORTSTEWART,N11000184,2708,631,23.30
ARDBOE,N11000186,289,40,13.84
BALLYRONAN,N11000190,278,33,11.87
COAGH,N11000192,303,39,12.87
COOKSTOWN,N11000193,5332,519,9.73
MONEYMORE,N11000203,940,100,10.64
MOORTOWN,N11000204,207,30,14.49
POMEROY,N11000206,330,36,10.91
STEWARTSTOWN,N11000208,225,15,6.67
AGHAGALLON,N11000212,571,99,17.34
BLEARY,N11000216,513,60,11.70
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,31154,3904,12.53
DERRYMACASH,N11000220,335,64,19.10
DOLLINGSTOWN,N11000223,1066,167,15.67
DONAGHCLONEY,N11000224,992,149,15.02
DRUMNACANVY,N11000225,572,89,15.56
MAGHERALIN,N11000228,1035,215,20.77
SCOTCH STREET,N11000232,321,30,9.35
THE BIRCHES,N11000234,259,32,12.36
WARINGSTOWN,N11000235,1911,350,18.32
CLAUDY,N11000240,577,95,16.46
CULMORE,N11000242,1766,379,21.46
DERRY CITY,N11000243,31240,4936,15.80
EGLINTON,N11000244,1592,279,17.53
LETTERSHENDONEY,N11000248,214,29,13.55
NEWBUILDINGS,N11000250,1235,162,13.12
STRATHFOYLE,N11000254,1081,153,14.15
ANNSBOROUGH,N11000258,356,59,16.57
ARDGLASS,N11000259,580,77,13.28
