Geography,GeographyCode,Total,ProvidesUnpaidCare,ProvidesUnpaidCare_pct
ANTRIM,N11000001,23969,2811,11.73
CRUMLIN,N11000003,5060,704,13.91
PARKGATE,N11000009,632,86,13.61
RANDALSTOWN,N11000010,4831,572,11.84
TEMPLEPATRICK,N11000011,1456,184,12.64
TOOME,N11000012,917,87,9.49
BALLYGOWAN,N11000022,2950,409,13.86
BALLYHALBERT,N11000023,1195,173,14.48
BALLYWALTER,N11000025,1926,294,15.26
CARROWDORE,N11000026,987,150,15.20
CLOUGHEY,N11000027,1269,158,12.45
COMBER,N11000028,9038,1243,13.75
DONAGHADEE,N11000030,6996,941,13.45
GREYABBEY,N11000032,846,118,13.95
KIRCUBBIN,N11000035,1026,139,13.55
LISBANE,N11000037,492,60,12.20
MILLISLE,N11000039,2380,368,15.46
NEWTOWNARDS,N11000040,28156,3939,13.99
PORTAFERRY,N11000041,2282,309,13.54
PORTAVOGIE,N11000042,2142,333,15.55
ARMAGH,N11000051,15165,1536,10.13
HAMILTONSBAWN,N11000072,948,104,10.97
KEADY,N11000073,3057,266,8.70
LAURELVALE / MULLAVILLY,N11000076,1301,170,13.07
MARKETHILL,N11000081,1765,178,10.08
MILFORD,N11000083,516,46,8.91
POYNTZPASS,N11000088,587,67,11.41
RICHHILL,N11000089,2592,328,12.65
TANDRAGEE,N11000093,3305,416,12.59
AHOGHILL,N11000098,3334,382,11.46
BALLYMENA,N11000099,29380,3239,11.02
BROUGHSHANE,N11000100,2941,406,13.80
CARGAN,N11000101,573,78,13.61
CULLYBACKEY,N11000103,2507,287,11.45
GRANGE CORNER,N11000104,464,55,11.85
KELLS / CONNOR,N11000105,1950,260,13.33
PORTGLENONE,N11000107,1264,131,10.36
BALLYBOGY,N11000108,530,64,12.08
BALLYMONEY,N11000109,10416,1220,11.71
BALNAMORE,N11000110,781,111,14.21
BENDOORAGH,N11000111,589,72,12.22
CLOGH MILLS,N11000114,1151,144,12.51
DERVOCK,N11000117,715,84,11.75
DUNLOY,N11000119,1045,123,11.77
RASHARKIN,N11000123,1006,91,9.05
BANBRIDGE,N11000131,16381,2050,12.51
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,6023,739,12.27
GILFORD,N11000137,1840,221,12.01
KINALLEN,N11000141,1049,126,12.01
LAWRENCETOWN,N11000142,917,115,12.54
LOUGHBRICKLAND,N11000145,730,102,13.97
RATHFRILAND,N11000147,2333,261,11.19
BELFAST CITY,N11000151,276916,33336,12.04
CARRICKFERGUS,N11000153,26760,3696,13.81
GREENISLAND,N11000154,5611,771,13.74
WHITEHEAD,N11000157,3400,426,12.53
CARRYDUFF,N11000159,6755,870,12.88
METROPOLITAN CASTLEREAGH,N11000162,55212,7476,13.54
MONEYREAGH,N11000163,1445,199,13.77
ARTICLAVE,N11000165,858,95,11.07
CASTLEROCK,N11000170,1120,155,13.84
CASTLEROE,N11000171,621,54,8.70
COLERAINE,N11000173,23171,2681,11.57
GARVAGH,N11000176,1188,112,9.43
KILREA,N11000179,1554,154,9.91
MACOSQUIN,N11000180,572,72,12.59
PORTBALLINTRAE,N11000182,489,52,10.63
PORTRUSH,N11000183,5843,673,11.52
PORTSTEWART,N11000184,7507,901,12.00
ARDBOE,N11000186,701,98,13.98
BALLYRONAN,N11000190,557,60,10.77
COAGH,N11000192,707,83,11.74
COOKSTOWN,N11000193,11726,1330,11.34
MONEYMORE,N11000203,1922,198,10.30
MOORTOWN,N11000204,504,57,11.31
POMEROY,N11000206,732,67,9.15
STEWARTSTOWN,N11000208,606,73,12.05
AGHAGALLON,N11000212,1081,138,12.77
BLEARY,N11000216,1040,146,14.04
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,67493,8006,11.86
DERRYMACASH,N11000220,668,100,14.97
DOLLINGSTOWN,N11000223,2113,295,13.96
DONAGHCLONEY,N11000224,1829,221,12.08
DRUMNACANVY,N11000225,1057,151,14.29
MAGHERALIN,N11000228,1836,220,11.98
SCOTCH STREET,N11000232,613,48,7.83
THE BIRCHES,N11000234,471,41,8.70
WARINGSTOWN,N11000235,3589,437,12.18
CLAUDY,N11000240,1270,156,12.28
CULMORE,N11000242,3447,435,12.62
DERRY CITY,N11000243,79963,10285,12.86
EGLINTON,N11000244,3387,434,12.81
LETTERSHENDONEY,N11000248,530,65,12.26
NEWBUILDINGS,N11000250,2644,302,11.42
