Geography,GeographyCode,Total,Level4Plus,Level4Plus_pct
GLENARM,N11000385,415,128,30.84
GLYNN,N11000387,497,123,24.75
LARNE,N11000389,15503,3781,24.39
BALLYKELLY,N11000398,1601,382,23.86
DUNGIVEN,N11000403,2521,721,28.60
FEENY,N11000404,556,134,24.10
GREYSTEEL,N11000408,1106,286,25.86
LIMAVADY,N11000410,9470,2265,23.92
AGHALEE,N11000412,752,268,35.64
ANNAHILT,N11000413,868,416,47.93
DROMARA,N11000421,810,220,27.16
DRUMBEG,N11000422,660,402,60.91
GLENAVY,N11000430,1690,652,38.58
HILLSBOROUGH AND CULCAVY,N11000434,3437,1791,52.11
LISBURN CITY,N11000438,40639,13704,33.72
LOWER BALLINDERRY,N11000440,670,264,39.40
MAGHABERRY,N11000445,2232,834,37.37
METROPOLITAN LISBURN,N11000447,24705,6986,28.28
MILLTOWN,N11000448,1248,394,31.57
MOIRA,N11000449,3996,1971,49.32
RAVERNET,N11000452,448,172,38.39
STONEYFORD,N11000454,475,157,33.05
BELLAGHY,N11000461,944,235,24.89
CASTLEDAWSON,N11000462,1757,528,30.05
CLADY (MID ULSTER LGD),N11000463,401,88,21.95
DRAPERSTOWN,N11000468,1422,397,27.92
GULLADUFF,N11000472,492,167,33.94
MAGHERA (MID ULSTER LGD),N11000477,3279,950,28.97
MAGHERAFELT,N11000478,7627,2355,30.88
TOBERMORE,N11000484,585,114,19.49
BALLYCASTLE,N11000488,4495,1494,33.24
BUSHMILLS,N11000490,1011,170,16.82
CUSHENDALL,N11000493,1006,366,36.38
ANNALONG,N11000502,1601,389,24.30
BALLYHOLLAND,N11000504,482,131,27.18
BALLYMARTIN,N11000506,426,108,25.35
BESSBROOK,N11000510,2230,517,23.18
CAMLOUGH,N11000511,784,220,28.06
CROSSMAGLEN,N11000513,1261,311,24.66
FORKHILL,N11000519,412,112,27.18
HILLTOWN,N11000524,1312,414,31.55
KILKEEL,N11000527,5128,1070,20.87
MAYOBRIDGE,N11000533,824,229,27.79
MEIGH,N11000534,697,213,30.56
MULLAGHBANE,N11000535,467,150,32.12
NEWRY,N11000537,22449,7030,31.32
NEWTOWNCLOGHOGE,N11000538,382,87,22.77
NEWTOWNHAMILTON,N11000539,638,122,19.12
ROSTREVOR,N11000540,2050,801,39.07
WARRENPOINT / BURREN,N11000544,7286,2612,35.85
BALLYCLARE,N11000546,8646,2630,30.42
BALLYNURE,N11000550,824,335,40.66
BALLYROBERT,N11000551,669,311,46.49
COGRY / KILBRIDE,N11000553,1058,343,32.42
DOAGH,N11000555,1150,410,35.65
METROPOLITAN NEWTOWNABBEY,N11000559,54139,16926,31.26
BANGOR,N11000564,52563,18971,36.09
CRAWFORDSBURN,N11000566,413,242,58.60
GROOMSPORT,N11000568,1086,413,38.03
HELEN'S BAY,N11000569,1264,778,61.55
HOLYWOOD,N11000570,8806,4213,47.84
SEAHILL,N11000573,895,475,53.07
BERAGH,N11000576,537,147,27.37
CARRICKMORE,N11000577,495,201,40.61
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,861,223,25.90
DRUMQUIN,N11000584,407,93,22.85
FINTONA,N11000589,972,227,23.35
LOUGHMACRORY,N11000599,383,121,31.59
OMAGH TOWN,N11000603,16456,4972,30.21
ARTIGARVAN,N11000616,614,144,23.45
BALLYMAGORRY,N11000617,543,124,22.84
CASTLEDERG,N11000619,2379,546,22.95
CLADY (DERRY CITY AND STRABANE LGD),N11000620,467,110,23.55
DONEMANA,N11000624,486,73,15.02
ERGANAGH,N11000627,368,101,27.45
GLEBE,N11000629,564,110,19.50
MAGHERAMASON,N11000633,427,125,29.27
NEWTOWNSTEWART,N11000634,1123,188,16.74
SION MILLS,N11000636,1582,369,23.32
STRABANE,N11000638,10680,2697,25.25
ELSEWHERE IN NI,N11999999,362816,121422,33.47
