Geography,GeographyCode,Total,Unemployed,Unemployed_pct
ANTRIM,N11000001,20171,470,2.33
CRUMLIN,N11000003,4167,91,2.18
PARKGATE,N11000009,558,8,1.43
RANDALSTOWN,N11000010,4130,77,1.86
TEMPLEPATRICK,N11000011,1300,10,0.77
TOOME,N11000012,752,12,1.60
BALLYGOWAN,N11000022,2521,53,2.10
BALLYHALBERT,N11000023,959,37,3.86
BALLYWALTER,N11000025,1643,42,2.56
CARROWDORE,N11000026,826,9,1.09
CLOUGHEY,N11000027,1060,16,1.51
COMBER,N11000028,7935,170,2.14
DONAGHADEE,N11000030,6142,132,2.15
GREYABBEY,N11000032,750,23,3.07
KIRCUBBIN,N11000035,893,37,4.14
LISBANE,N11000037,408,7,1.72
MILLISLE,N11000039,1999,49,2.45
NEWTOWNARDS,N11000040,24185,626,2.59
PORTAFERRY,N11000041,1964,52,2.65
PORTAVOGIE,N11000042,1792,47,2.62
ARMAGH,N11000051,12663,330,2.61
HAMILTONSBAWN,N11000072,756,9,1.19
KEADY,N11000073,2563,77,3.00
LAURELVALE / MULLAVILLY,N11000076,1081,16,1.48
MARKETHILL,N11000081,1449,37,2.55
MILFORD,N11000083,411,11,2.68
POYNTZPASS,N11000088,472,9,1.91
RICHHILL,N11000089,2218,32,1.44
TANDRAGEE,N11000093,2762,48,1.74
AHOGHILL,N11000098,2846,46,1.62
BALLYMENA,N11000099,25216,590,2.34
BROUGHSHANE,N11000100,2553,43,1.68
CARGAN,N11000101,457,13,2.84
CULLYBACKEY,N11000103,2194,59,2.69
GRANGE CORNER,N11000104,368,9,2.45
KELLS / CONNOR,N11000105,1662,38,2.29
PORTGLENONE,N11000107,1068,24,2.25
BALLYBOGY,N11000108,438,13,2.97
BALLYMONEY,N11000109,8919,207,2.32
BALNAMORE,N11000110,642,14,2.18
BENDOORAGH,N11000111,478,12,2.51
CLOGH MILLS,N11000114,978,16,1.64
DERVOCK,N11000117,589,15,2.55
DUNLOY,N11000119,858,16,1.86
RASHARKIN,N11000123,847,17,2.01
BANBRIDGE,N11000131,13936,288,2.07
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,5065,112,2.21
GILFORD,N11000137,1540,36,2.34
KINALLEN,N11000141,833,8,0.96
LAWRENCETOWN,N11000142,751,12,1.60
LOUGHBRICKLAND,N11000145,607,13,2.14
RATHFRILAND,N11000147,1953,44,2.25
BELFAST CITY,N11000151,238849,6615,2.77
CARRICKFERGUS,N11000153,23263,554,2.38
GREENISLAND,N11000154,4807,100,2.08
WHITEHEAD,N11000157,2988,69,2.31
CARRYDUFF,N11000159,5705,78,1.37
METROPOLITAN CASTLEREAGH,N11000162,47393,901,1.90
MONEYREAGH,N11000163,1253,15,1.20
ARTICLAVE,N11000165,727,19,2.61
CASTLEROCK,N11000170,1000,25,2.50
CASTLEROE,N11000171,518,17,3.28
COLERAINE,N11000173,19885,565,2.84
GARVAGH,N11000176,1015,27,2.66
KILREA,N11000179,1258,26,2.07
MACOSQUIN,N11000180,470,14,2.98
PORTBALLINTRAE,N11000182,454,8,1.76
PORTRUSH,N11000183,5160,148,2.87
PORTSTEWART,N11000184,6687,143,2.14
ARDBOE,N11000186,543,7,1.29
BALLYRONAN,N11000190,446,11,2.47
COAGH,N11000192,548,10,1.82
COOKSTOWN,N11000193,9903,210,2.12
MONEYMORE,N11000203,1599,38,2.38
MOORTOWN,N11000204,396,9,2.27
POMEROY,N11000206,622,18,2.89
STEWARTSTOWN,N11000208,526,15,2.85
AGHAGALLON,N11000212,892,10,1.12
BLEARY,N11000216,869,14,1.61
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,56127,1320,2.35
DERRYMACASH,N11000220,553,11,1.99
DOLLINGSTOWN,N11000223,1791,32,1.79
DONAGHCLONEY,N11000224,1497,27,1.80
DRUMNACANVY,N11000225,896,16,1.79
MAGHERALIN,N11000228,1548,27,1.74
SCOTCH STREET,N11000232,474,4,0.84
THE BIRCHES,N11000234,370,6,1.62
WARINGSTOWN,N11000235,2992,49,1.64
CLAUDY,N11000240,1070,26,2.43
CULMORE,N11000242,2854,50,1.75
DERRY CITY,N11000243,67277,2377,3.53
EGLINTON,N11000244,2773,58,2.09
LETTERSHENDONEY,N11000248,444,13,2.93
NEWBUILDINGS,N11000250,2190,43,1.96
STRATHFOYLE,N11000254,1917,67,3.50
ANNSBOROUGH,N11000258,602,14,2.33
ARDGLASS,N11000259,1353,37,2.73
BALLYNAHINCH,N11000263,4947,93,1.88
CASTLEWELLAN,N11000268,2145,61,2.84
CROSSGAR,N11000273,1579,43,2.72
DARRAGH CROSS,N11000274,382,6,1.57
DOWNPATRICK,N11000276,9006,248,2.75
DRUMANESS,N11000278,1011,16,1.58
DUNDRUM,N11000280,1219,28,2.30
KILLOUGH,N11000283,716,25,3.49
KILLYLEAGH,N11000284,2256,68,3.01
NEWCASTLE,N11000288,6704,170,2.54
SAINTFIELD,N11000290,2911,45,1.55
STRANGFORD,N11000294,464,10,2.16
THE SPA,N11000295,474,4,0.84
ANNAGHMORE (MID ULSTER LGD),N11000297,750,13,1.73
AUGHNACLOY,N11000299,894,22,2.46
BALLYGAWLEY,N11000300,751,15,2.00
CALEDON,N11000304,392,6,1.53
CASTLECAULFIELD,N11000308,734,2,0.27
CLOGHER,N11000309,552,11,1.99
COALISLAND,N11000311,4836,125,2.58
DONAGHMORE,N11000314,917,16,1.74
DUNGANNON,N11000315,12625,284,2.25
EGLISH (MID ULSTER LGD),N11000318,380,8,2.11
FIVEMILETOWN,N11000319,1083,26,2.40
KILLYMAN,N11000323,745,12,1.61
MOY,N11000324,1490,39,2.62
NEWMILLS,N11000325,598,8,1.34
THE BUSH,N11000327,438,10,2.28
BALLINAMALLARD,N11000331,1129,28,2.48
BELLANALECK,N11000334,464,10,2.16
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,792,26,3.28
DERRYGONNELLY,N11000342,484,12,2.48
DERRYLIN,N11000343,498,16,3.21
EDERNEY,N11000345,460,9,1.96
ENNISKILLEN,N11000346,11429,239,2.09
IRVINESTOWN,N11000349,1817,61,3.36
KESH,N11000350,880,13,1.48
LISBELLAW,N11000356,886,23,2.60
LISNASKEA,N11000358,2335,48,2.06
MAGUIRESBRIDGE,N11000360,801,12,1.50
NEWTOWNBUTLER,N11000363,750,20,2.67
BALLYCARRY,N11000371,1160,21,1.81
BALLYGALLEY,N11000372,639,12,1.88
BALLYSTRUDDER,N11000373,807,26,3.22
CARNLOUGH,N11000378,1181,33,2.79
GLENARM,N11000385,411,10,2.43
GLYNN,N11000387,498,6,1.20
LARNE,N11000389,15507,460,2.97
BALLYKELLY,N11000398,1601,47,2.94
DUNGIVEN,N11000403,2522,69,2.74
FEENY,N11000404,556,12,2.16
GREYSTEEL,N11000408,1104,39,3.53
LIMAVADY,N11000410,9472,281,2.97
AGHALEE,N11000412,752,6,0.80
ANNAHILT,N11000413,868,14,1.61
DROMARA,N11000421,808,11,1.36
DRUMBEG,N11000422,657,4,0.61
GLENAVY,N11000430,1690,36,2.13
HILLSBOROUGH AND CULCAVY,N11000434,3435,46,1.34
LISBURN CITY,N11000438,40638,892,2.19
LOWER BALLINDERRY,N11000440,670,11,1.64
MAGHABERRY,N11000445,2237,25,1.12
METROPOLITAN LISBURN,N11000447,24705,729,2.95
MILLTOWN,N11000448,1249,33,2.64
MOIRA,N11000449,3993,50,1.25
RAVERNET,N11000452,449,16,3.56
STONEYFORD,N11000454,474,5,1.05
BELLAGHY,N11000461,943,22,2.33
CASTLEDAWSON,N11000462,1760,34,1.93
CLADY (MID ULSTER LGD),N11000463,404,13,3.22
DRAPERSTOWN,N11000468,1422,29,2.04
GULLADUFF,N11000472,494,13,2.63
MAGHERA (MID ULSTER LGD),N11000477,3282,63,1.92
MAGHERAFELT,N11000478,7628,178,2.33
TOBERMORE,N11000484,581,14,2.41
BALLYCASTLE,N11000488,4496,133,2.96
BUSHMILLS,N11000490,1010,43,4.26
CUSHENDALL,N11000493,1005,19,1.89
ANNALONG,N11000502,1601,31,1.94
BALLYHOLLAND,N11000504,479,13,2.71
BALLYMARTIN,N11000506,425,6,1.41
BESSBROOK,N11000510,2229,63,2.83
CAMLOUGH,N11000511,785,20,2.55
CROSSMAGLEN,N11000513,1260,44,3.49
FORKHILL,N11000519,419,4,0.95
HILLTOWN,N11000524,1310,27,2.06
KILKEEL,N11000527,5126,151,2.95
MAYOBRIDGE,N11000533,826,27,3.27
MEIGH,N11000534,694,20,2.88
MULLAGHBANE,N11000535,464,17,3.66
NEWRY,N11000537,22447,574,2.56
NEWTOWNCLOGHOGE,N11000538,384,7,1.82
NEWTOWNHAMILTON,N11000539,645,31,4.81
ROSTREVOR,N11000540,2046,72,3.52
WARRENPOINT / BURREN,N11000544,7284,227,3.12
BALLYCLARE,N11000546,8647,180,2.08
BALLYNURE,N11000550,824,12,1.46
BALLYROBERT,N11000551,666,5,0.75
COGRY / KILBRIDE,N11000553,1055,19,1.80
DOAGH,N11000555,1148,22,1.92
METROPOLITAN NEWTOWNABBEY,N11000559,54141,1229,2.27
BANGOR,N11000564,52561,1082,2.06
CRAWFORDSBURN,N11000566,411,5,1.22
GROOMSPORT,N11000568,1085,28,2.58
HELEN'S BAY,N11000569,1262,16,1.27
HOLYWOOD,N11000570,8805,163,1.85
SEAHILL,N11000573,895,16,1.79
BERAGH,N11000576,535,10,1.87
CARRICKMORE,N11000577,498,12,2.41
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,865,26,3.01
DRUMQUIN,N11000584,404,8,1.98
FINTONA,N11000589,969,22,2.27
LOUGHMACRORY,N11000599,383,6,1.57
OMAGH TOWN,N11000603,16460,356,2.16
ARTIGARVAN,N11000616,612,14,2.29
BALLYMAGORRY,N11000617,540,26,4.81
CASTLEDERG,N11000619,2377,66,2.78
CLADY (DERRY CITY AND STRABANE LGD),N11000620,467,21,4.50
DONEMANA,N11000624,485,19,3.92
ERGANAGH,N11000627,373,8,2.14
GLEBE,N11000629,565,25,4.42
MAGHERAMASON,N11000633,424,8,1.89
NEWTOWNSTEWART,N11000634,1121,28,2.50
SION MILLS,N11000636,1586,49,3.09
STRABANE,N11000638,10671,389,3.65
ELSEWHERE IN NI,N11999999,362814,5657,1.56
