Geography,GeographyCode,Total,SomeUlsterScots,SomeUlsterScots_pct
ANNAHILT,N11000413,1008,115,11.41
DROMARA,N11000421,1063,97,9.13
DRUMBEG,N11000422,764,64,8.38
GLENAVY,N11000430,2299,48,2.09
HILLSBOROUGH AND CULCAVY,N11000434,4046,423,10.45
LISBURN CITY,N11000438,49463,3832,7.75
LOWER BALLINDERRY,N11000440,897,67,7.47
MAGHABERRY,N11000445,2840,296,10.42
METROPOLITAN LISBURN,N11000447,31318,1135,3.62
MILLTOWN,N11000448,1553,107,6.89
MOIRA,N11000449,4713,395,8.38
RAVERNET,N11000452,551,48,8.71
STONEYFORD,N11000454,632,37,5.85
BELLAGHY,N11000461,1184,36,3.04
CASTLEDAWSON,N11000462,2217,299,13.49
CLADY (MID ULSTER LGD),N11000463,495,30,6.06
DRAPERSTOWN,N11000468,1788,63,3.52
GULLADUFF,N11000472,640,19,2.97
MAGHERA (MID ULSTER LGD),N11000477,4029,275,6.83
MAGHERAFELT,N11000478,9288,797,8.58
TOBERMORE,N11000484,702,211,30.06
BALLYCASTLE,N11000488,5426,731,13.47
BUSHMILLS,N11000490,1193,429,35.96
CUSHENDALL,N11000493,1152,122,10.59
ANNALONG,N11000502,1941,414,21.33
BALLYHOLLAND,N11000504,616,3,0.49
BALLYMARTIN,N11000506,549,84,15.30
BESSBROOK,N11000510,2764,87,3.15
CAMLOUGH,N11000511,990,15,1.52
CROSSMAGLEN,N11000513,1606,35,2.18
FORKHILL,N11000519,532,10,1.88
HILLTOWN,N11000524,1677,31,1.85
KILKEEL,N11000527,6329,1299,20.52
MAYOBRIDGE,N11000533,1095,11,1.00
MEIGH,N11000534,885,12,1.36
MULLAGHBANE,N11000535,605,21,3.47
NEWRY,N11000537,27402,754,2.75
NEWTOWNCLOGHOGE,N11000538,490,10,2.04
NEWTOWNHAMILTON,N11000539,804,49,6.09
ROSTREVOR,N11000540,2445,73,2.99
WARRENPOINT / BURREN,N11000544,8774,205,2.34
BALLYCLARE,N11000546,10480,1803,17.20
BALLYNURE,N11000550,1007,166,16.48
BALLYROBERT,N11000551,833,135,16.21
COGRY / KILBRIDE,N11000553,1282,258,20.12
DOAGH,N11000555,1362,300,22.03
METROPOLITAN NEWTOWNABBEY,N11000559,65353,6228,9.53
BANGOR,N11000564,62759,5595,8.92
CRAWFORDSBURN,N11000566,483,39,8.07
GROOMSPORT,N11000568,1206,126,10.45
HELEN'S BAY,N11000569,1508,104,6.90
HOLYWOOD,N11000570,10468,794,7.59
SEAHILL,N11000573,1025,78,7.61
BERAGH,N11000576,661,61,9.23
CARRICKMORE,N11000577,602,12,1.99
DROMORE (FERMANAGH AND OMAGH LGD),N11000581,1055,21,1.99
DRUMQUIN,N11000584,514,33,6.42
FINTONA,N11000589,1170,54,4.62
LOUGHMACRORY,N11000599,531,21,3.95
OMAGH TOWN,N11000603,19753,1148,5.81
ARTIGARVAN,N11000616,779,136,17.46
BALLYMAGORRY,N11000617,626,53,8.47
CASTLEDERG,N11000619,2872,298,10.38
CLADY (DERRY CITY AND STRABANE LGD),N11000620,587,10,1.70
DONEMANA,N11000624,611,115,18.82
ERGANAGH,N11000627,479,53,11.06
GLEBE,N11000629,740,9,1.22
MAGHERAMASON,N11000633,517,107,20.70
NEWTOWNSTEWART,N11000634,1364,166,12.17
SION MILLS,N11000636,1904,121,6.36
STRABANE,N11000638,13015,358,2.75
ELSEWHERE IN NI,N11999999,445099,63214,14.20
