Geography,GeographyCode,Total,SomeIrish,SomeIrish_pct
ANTRIM,N11000001,24637,1339,5.43
CRUMLIN,N11000003,5198,1211,23.30
PARKGATE,N11000009,646,12,1.86
RANDALSTOWN,N11000010,4959,730,14.72
TEMPLEPATRICK,N11000011,1481,62,4.19
TOOME,N11000012,955,231,24.19
BALLYGOWAN,N11000022,3024,53,1.75
BALLYHALBERT,N11000023,1224,24,1.96
BALLYWALTER,N11000025,1963,36,1.83
CARROWDORE,N11000026,1023,12,1.17
CLOUGHEY,N11000027,1299,66,5.08
COMBER,N11000028,9234,170,1.84
DONAGHADEE,N11000030,7131,147,2.06
GREYABBEY,N11000032,857,13,1.52
KIRCUBBIN,N11000035,1043,72,6.90
LISBANE,N11000037,502,12,2.39
MILLISLE,N11000039,2452,38,1.55
NEWTOWNARDS,N11000040,28764,653,2.27
PORTAFERRY,N11000041,2319,328,14.14
PORTAVOGIE,N11000042,2202,20,0.91
ARMAGH,N11000051,15645,3534,22.59
HAMILTONSBAWN,N11000072,994,8,0.80
KEADY,N11000073,3167,745,23.52
LAURELVALE / MULLAVILLY,N11000076,1334,37,2.77
MARKETHILL,N11000081,1815,70,3.86
MILFORD,N11000083,529,161,30.43
POYNTZPASS,N11000088,600,119,19.83
RICHHILL,N11000089,2656,51,1.92
TANDRAGEE,N11000093,3403,90,2.64
AHOGHILL,N11000098,3417,36,1.05
BALLYMENA,N11000099,30147,1928,6.40
BROUGHSHANE,N11000100,3014,43,1.43
CARGAN,N11000101,594,131,22.05
CULLYBACKEY,N11000103,2580,57,2.21
GRANGE CORNER,N11000104,490,14,2.86
KELLS / CONNOR,N11000105,2021,37,1.83
PORTGLENONE,N11000107,1306,202,15.47
BALLYBOGY,N11000108,540,9,1.67
BALLYMONEY,N11000109,10685,331,3.10
BALNAMORE,N11000110,800,15,1.88
BENDOORAGH,N11000111,609,17,2.79
CLOGH MILLS,N11000114,1186,86,7.25
DERVOCK,N11000117,729,10,1.37
DUNLOY,N11000119,1077,301,27.95
RASHARKIN,N11000123,1041,189,18.16
BANBRIDGE,N11000131,16825,1340,7.96
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,6172,252,4.08
GILFORD,N11000137,1890,177,9.37
