Geography,GeographyCode,Total,PrivateRented,PrivateRented_pct
Quarry,N08000433,1847,254,13.75
Rasharkin,N08000434,1406,181,12.87
Roeside,N08000435,1301,315,24.21
Route,N08000436,1394,208,14.92
Torr Head and Rathlin,N08000437,1387,192,13.84
University,N08000438,1515,306,20.20
Waterside,N08000439,1961,334,17.03
Windy Hall,N08000440,1522,271,17.81
Artigarvan,N08000501,1383,230,16.63
Ballycolman,N08000502,1402,259,18.47
Ballymagroarty,N08000503,1521,155,10.19
Brandywell,N08000504,1500,270,18.00
Carn Hill,N08000505,1168,176,15.07
Castlederg,N08000506,1468,363,24.73
Caw,N08000507,1944,445,22.89
City Walls,N08000508,1892,624,32.98
Claudy,N08000509,1302,197,15.13
Clondermot,N08000510,1559,144,9.24
Creggan,N08000511,1419,173,12.19
Creggan South,N08000512,1578,151,9.57
Culmore,N08000513,1467,132,9.00
Drumahoe,N08000514,1795,291,16.21
Dunnamanagh,N08000515,1300,149,11.46
Ebrington,N08000516,1827,565,30.93
Eglinton,N08000517,1474,221,14.99
Enagh,N08000518,1642,289,17.60
Finn,N08000519,1540,351,22.79
Foyle Springs,N08000520,1168,161,13.78
Galliagh,N08000521,1549,134,8.65
Glenderg,N08000522,1190,165,13.87
Glenelly Valley,N08000523,1200,123,10.25
Kilfennan,N08000524,1747,420,24.04
Lisnagelvin,N08000525,1497,267,17.84
Madam's Bank,N08000526,1205,236,19.59
New Buildings,N08000527,1511,199,13.17
Newtownstewart,N08000528,1273,193,15.16
Northland,N08000529,2375,999,42.06
Park (Derry City and Strabane LGD),N08000530,1233,155,12.57
Shantallow,N08000531,1461,183,12.53
Shantallow East,N08000532,1575,309,19.62
Sheriff's Mountain,N08000533,1220,218,17.87
Sion Mills,N08000534,1550,281,18.13
Skeoge,N08000535,2421,184,7.60
Slievekirk,N08000536,1364,178,13.05
Springtown,N08000537,1147,99,8.63
Strabane North,N08000538,1768,464,26.24
Strabane West,N08000539,1404,249,17.74
Victoria (Derry City and Strabane LGD),N08000540,1905,536,28.14
Ballinamallard,N08000601,1214,188,15.49
Belcoo and Garrison,N08000602,1044,153,14.66
Belleek and Boa,N08000603,1287,218,16.94
Beragh,N08000604,1092,210,19.23
"Boho, Cleenish and Letterbreen",N08000605,1248,161,12.90
Brookeborough,N08000606,929,113,12.16
Camowen,N08000607,1347,316,23.46
Castlecoole,N08000608,1329,314,23.63
Coolnagard,N08000609,1298,349,26.89
Dergmoney,N08000610,1248,411,32.93
Derrygonnelly,N08000611,1068,148,13.86
Derrylin,N08000612,1043,156,14.96
Donagh,N08000613,919,85,9.25
Dromore (Fermanagh and Omagh LGD),N08000614,1034,182,17.60
Drumnakilly,N08000615,1102,220,19.96
Drumquin,N08000616,1057,150,14.19
Ederney and Kesh,N08000617,1147,186,16.22
Erne,N08000618,1351,372,27.54
Fairy Water,N08000619,1007,88,8.74
Fintona,N08000620,1051,206,19.60
Florence Court and Kinawley,N08000621,1030,125,12.14
Gortin,N08000622,1176,233,19.81
Gortrush,N08000623,1378,363,26.34
Irvinestown,N08000624,1420,274,19.30
Killyclogher,N08000625,1271,313,24.63
Lisbellaw,N08000626,1176,184,15.65
Lisnarrick,N08000627,1321,172,13.02
Lisnaskea,N08000628,1134,295,26.01
Maguiresbridge,N08000629,1229,183,14.89
Newtownbutler,N08000630,1003,188,18.74
Newtownsaville,N08000631,1043,133,12.75
Owenkillew,N08000632,936,120,12.82
Portora,N08000633,1546,496,32.08
Rosslea,N08000634,833,108,12.97
Rossorry,N08000635,1145,182,15.90
Sixmilecross,N08000636,967,110,11.38
Strule,N08000637,1474,428,29.04
Tempo,N08000638,1055,143,13.55
Termon,N08000639,879,96,10.92
Trillick,N08000640,889,104,11.70
Ballinderry,N08000701,1434,146,10.18
Ballyhanwood,N08000702,1319,126,9.55
Ballymacash,N08000703,1206,85,7.05
Ballymacbrennan,N08000704,1164,92,7.90
Ballymacoss,N08000705,2343,183,7.81
