Geography,GeographyCode,Total,SomeUlsterScots,SomeUlsterScots_pct
Kilcooley,N08001126,4269,366,8.57
Killinchy,N08001127,3614,583,16.13
Kircubbin,N08001128,4269,680,15.93
Loughries,N08001129,4023,608,15.11
Loughview,N08001130,4504,349,7.75
Movilla,N08001131,4083,447,10.95
Portaferry,N08001132,3464,255,7.36
Portavogie,N08001133,3763,1341,35.64
Rathgael,N08001134,3585,344,9.60
Rathmore,N08001135,3603,359,9.96
Scrabo,N08001136,4141,622,15.02
Silverbirch,N08001137,3635,301,8.28
Silverstream,N08001138,3822,339,8.87
Warren,N08001139,4165,669,16.06
West Winds,N08001140,4341,578,13.31
