Geography,GeographyCode,Total,LimitingCondition,LimitingCondition_pct
Antrim and Newtownabbey,N09000001,145661,34824,23.91
"Armagh City, Banbridge and Craigavon",N09000002,218657,48726,22.28
Belfast,N09000003,345422,92251,26.71
Causeway Coast and Glens,N09000004,141746,36304,25.61
Derry City and Strabane,N09000005,150756,40807,27.07
Fermanagh and Omagh,N09000006,116812,27967,23.94
Lisburn and Castlereagh,N09000007,149106,32368,21.71
Mid and East Antrim,N09000008,138994,34838,25.06
Mid Ulster,N09000009,150292,31935,21.25
"Newry, Mourne and Down",N09000010,182074,41657,22.88
Ards and North Down,N09000011,163659,41344,25.26
