Geography,GeographyCode,Total,SomeUlsterScots,SomeUlsterScots_pct
Antrim and Newtownabbey,N09000001,140771,16400,11.65
"Armagh City, Banbridge and Craigavon",N09000002,210402,20320,9.66
Belfast,N09000003,333752,24307,7.28
Causeway Coast and Glens,N09000004,137159,26692,19.46
Derry City and Strabane,N09000005,145278,9037,6.22
Fermanagh and Omagh,N09000006,112551,8649,7.68
Lisburn and Castlereagh,N09000007,143766,12823,8.92
Mid and East Antrim,N09000008,134654,27310,20.28
Mid Ulster,N09000009,144037,13494,9.37
"Newry, Mourne and Down",N09000010,175245,11896,6.79
Ards and North Down,N09000011,159008,19685,12.38
