Geography,GeographyCode,Total,CatholicBackground,CatholicBackground_pct
ANTRIM,N11000001,25606,8847,34.55
CRUMLIN,N11000003,5366,4290,79.95
PARKGATE,N11000009,662,39,5.89
RANDALSTOWN,N11000010,5151,2853,55.39
TEMPLEPATRICK,N11000011,1539,237,15.40
TOOME,N11000012,1017,955,93.90
BALLYGOWAN,N11000022,3138,258,8.22
BALLYHALBERT,N11000023,1271,66,5.19
BALLYWALTER,N11000025,2008,66,3.29
CARROWDORE,N11000026,1057,29,2.74
CLOUGHEY,N11000027,1347,434,32.22
COMBER,N11000028,9528,636,6.68
DONAGHADEE,N11000030,7324,475,6.49
GREYABBEY,N11000032,879,48,5.46
KIRCUBBIN,N11000035,1065,653,61.31
LISBANE,N11000037,522,32,6.13
MILLISLE,N11000039,2560,103,4.02
NEWTOWNARDS,N11000040,29677,2583,8.70
PORTAFERRY,N11000041,2372,2013,84.87
PORTAVOGIE,N11000042,2273,98,4.31
ARMAGH,N11000051,16310,10977,67.30
HAMILTONSBAWN,N11000072,1041,81,7.78
KEADY,N11000073,3343,2867,85.76
LAURELVALE / MULLAVILLY,N11000076,1390,113,8.13
MARKETHILL,N11000081,1912,356,18.62
MILFORD,N11000083,555,411,74.05
POYNTZPASS,N11000088,632,477,75.47
RICHHILL,N11000089,2738,180,6.57
TANDRAGEE,N11000093,3546,381,10.74
AHOGHILL,N11000098,3537,155,4.38
BALLYMENA,N11000099,31205,8562,27.44
BROUGHSHANE,N11000100,3097,164,5.30
CARGAN,N11000101,628,556,88.54
CULLYBACKEY,N11000103,2660,93,3.50
GRANGE CORNER,N11000104,521,73,14.01
KELLS / CONNOR,N11000105,2122,110,5.18
PORTGLENONE,N11000107,1371,757,55.22
BALLYBOGY,N11000108,564,21,3.72
BALLYMONEY,N11000109,11048,1778,16.09
BALNAMORE,N11000110,835,59,7.07
BENDOORAGH,N11000111,645,66,10.23
CLOGH MILLS,N11000114,1233,414,33.58
DERVOCK,N11000117,772,26,3.37
DUNLOY,N11000119,1120,1049,93.66
RASHARKIN,N11000123,1072,862,80.41
BANBRIDGE,N11000131,17401,6131,35.23
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,6395,1056,16.51
GILFORD,N11000137,1957,956,48.85
KINALLEN,N11000141,1125,125,11.11
LAWRENCETOWN,N11000142,995,771,77.49
LOUGHBRICKLAND,N11000145,793,429,54.10
RATHFRILAND,N11000147,2495,1043,41.80
BELFAST CITY,N11000151,293300,140568,47.93
CARRICKFERGUS,N11000153,28141,2407,8.55
GREENISLAND,N11000154,5964,725,12.16
WHITEHEAD,N11000157,3537,571,16.14
CARRYDUFF,N11000159,7170,3826,53.36
METROPOLITAN CASTLEREAGH,N11000162,58762,13513,23.00
MONEYREAGH,N11000163,1544,74,4.79
ARTICLAVE,N11000165,920,102,11.09
CASTLEROCK,N11000170,1155,179,15.50
CASTLEROE,N11000171,675,116,17.19
COLERAINE,N11000173,24483,5968,24.38
GARVAGH,N11000176,1252,257,20.53
KILREA,N11000179,1672,1258,75.24
MACOSQUIN,N11000180,603,28,4.64
PORTBALLINTRAE,N11000182,501,17,3.39
PORTRUSH,N11000183,6150,1521,24.73
PORTSTEWART,N11000184,7853,2759,35.13
ARDBOE,N11000186,772,730,94.56
BALLYRONAN,N11000190,613,515,84.01
COAGH,N11000192,774,177,22.87
COOKSTOWN,N11000193,12547,7053,56.21
MONEYMORE,N11000203,2141,958,44.75
MOORTOWN,N11000204,548,539,98.36
POMEROY,N11000206,795,696,87.55
STEWARTSTOWN,N11000208,638,490,76.80
AGHAGALLON,N11000212,1173,1097,93.52
BLEARY,N11000216,1110,477,42.97
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,72301,37797,52.28
DERRYMACASH,N11000220,715,691,96.64
DOLLINGSTOWN,N11000223,2256,198,8.78
DONAGHCLONEY,N11000224,1980,139,7.02
DRUMNACANVY,N11000225,1128,95,8.42
MAGHERALIN,N11000228,2043,608,29.76
SCOTCH STREET,N11000232,675,104,15.41
THE BIRCHES,N11000234,545,34,6.24
WARINGSTOWN,N11000235,3866,325,8.41
CLAUDY,N11000240,1324,1041,78.63
CULMORE,N11000242,3654,3341,91.43
DERRY CITY,N11000243,85279,66413,77.88
EGLINTON,N11000244,3571,2060,57.69
LETTERSHENDONEY,N11000248,571,520,91.07
NEWBUILDINGS,N11000250,2835,418,14.74
STRATHFOYLE,N11000254,2608,2183,83.70
ANNSBOROUGH,N11000258,793,744,93.82
ARDGLASS,N11000259,1761,1543,87.62
BALLYNAHINCH,N11000263,6164,2105,34.15
CASTLEWELLAN,N11000268,2835,2560,90.30
CROSSGAR,N11000273,2019,1369,67.81
DARRAGH CROSS,N11000274,531,391,73.63
DOWNPATRICK,N11000276,11545,9652,83.60
DRUMANESS,N11000278,1336,1134,84.88
DUNDRUM,N11000280,1539,916,59.52
KILLOUGH,N11000283,961,832,86.58
KILLYLEAGH,N11000284,2790,1022,36.63
NEWCASTLE,N11000288,8297,5732,69.09
SAINTFIELD,N11000290,3588,1040,28.99
STRANGFORD,N11000294,561,426,75.94
THE SPA,N11000295,588,58,9.86
ANNAGHMORE (MID ULSTER LGD),N11000297,1050,956,91.05
AUGHNACLOY,N11000299,1154,653,56.59
BALLYGAWLEY,N11000300,974,808,82.96
CALEDON,N11000304,522,240,45.98
CASTLECAULFIELD,N11000308,1001,458,45.75
CLOGHER,N11000309,675,356,52.74
COALISLAND,N11000311,6350,5639,88.80
DONAGHMORE,N11000314,1183,1061,89.69
DUNGANNON,N11000315,16282,10934,67.15
EGLISH (MID ULSTER LGD),N11000318,515,484,93.98
FIVEMILETOWN,N11000319,1341,331,24.68
KILLYMAN,N11000323,1058,206,19.47
MOY,N11000324,1945,1474,75.78
NEWMILLS,N11000325,803,172,21.42
THE BUSH,N11000327,606,204,33.66
BALLINAMALLARD,N11000331,1364,125,9.16
