Geography,GeographyCode,AllUsualResidents
Abbey (Antrim and Newtownabbey LGD),N08000101,3355
Aldergrove,N08000102,4684
Antrim Centre,N08000103,4093
Ballyclare East,N08000104,4142
Ballyclare West,N08000105,4044
Ballyduff,N08000106,3020
Ballyhenry,N08000107,2711
Ballynure,N08000108,3610
Ballyrobert,N08000109,3810
Burnthill,N08000110,3715
Carnmoney,N08000111,2607
Carnmoney Hill,N08000112,3305
Clady,N08000113,3834
Collinbridge,N08000114,2927
Cranfield,N08000115,3175
Crumlin,N08000116,3705
Doagh,N08000117,3471
Fairview,N08000118,3115
Fountain Hill,N08000119,3465
Glebe (Antrim and Newtownabbey LGD),N08000120,3042
Glengormley,N08000121,3421
Greystone (Antrim and Newtownabbey LGD),N08000122,3072
Hightown,N08000123,3126
Jordanstown,N08000124,3244
Mallusk,N08000125,6279
Monkstown,N08000126,3726
Mossley,N08000127,3708
O'Neill,N08000128,3328
Parkgate,N08000129,3259
Randalstown,N08000130,3734
Rathcoole,N08000131,3377
Rostulla,N08000132,3921
Shilvodan,N08000133,3896
Springfarm,N08000134,5543
Steeple,N08000135,3794
Stiles,N08000136,3987
Templepatrick,N08000137,3521
Toome,N08000138,3936
Valley (Antrim and Newtownabbey LGD),N08000139,3717
Whitehouse,N08000140,3221
Aghagallon,N08000201,5047
Ballybay,N08000202,5458
Banbridge East,N08000203,4479
Banbridge North,N08000204,4272
Banbridge South,N08000205,5043
Banbridge West,N08000206,5431
Blackwatertown,N08000207,5502
Bleary,N08000208,4981
Brownlow,N08000209,6626
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,5119
Corcrain,N08000211,5455
Craigavon Centre,N08000212,6750
Demesne,N08000213,5705
Derrytrasna,N08000214,4981
Donaghcloney,N08000215,4935
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,4843
Gilford,N08000217,4997
Gransha,N08000218,5155
Hamiltonsbawn,N08000219,4969
Keady,N08000220,5243
Kernan,N08000221,5894
Killycomain,N08000222,5247
Knocknashane,N08000223,4556
Lough Road,N08000224,5601
Loughbrickland,N08000225,5711
Loughgall,N08000226,5484
Magheralin,N08000227,5368
Mahon,N08000228,5172
Markethill,N08000229,5632
Mourneview,N08000230,5495
Navan,N08000231,5299
Parklake,N08000232,5648
Quilly,N08000233,4497
Rathfriland,N08000234,5009
Richhill,N08000235,4837
Seagahan,N08000236,5603
"Shankill (Armagh City, Banbridge and Craigavon LGD)",N08000237,6446
Tandragee,N08000238,5171
The Birches,N08000239,6098
The Mall,N08000240,5512
Waringstown,N08000241,5400
Andersonstown,N08000301,4648
Ardoyne,N08000302,5490
Ballygomartin,N08000303,5952
Ballymacarrett,N08000304,5905
Ballymurphy,N08000305,5131
Ballysillan,N08000306,5289
Beechmount,N08000307,5394
Beersbridge,N08000308,6610
Bellevue,N08000309,5427
Belmont,N08000310,4695
Belvoir,N08000311,5359
Blackstaff,N08000312,7547
Bloomfield (Belfast LGD),N08000313,5894
Cavehill,N08000314,4434
Central,N08000315,15446
Chichester Park,N08000316,5409
Cliftonville,N08000317,5657
Clonard,N08000318,5999
Collin Glen,N08000319,5656
Connswater,N08000320,5929
Cregagh,N08000321,4587
Duncairn,N08000322,8338
Dunmurry,N08000323,5207
Falls,N08000324,5179
Falls Park,N08000325,4742
Finaghy,N08000326,4525
Forth River,N08000327,4921
Fortwilliam,N08000328,4717
Garnerville,N08000329,4788
Gilnahirk,N08000330,5155
Hillfoot,N08000331,4582
Innisfayle,N08000332,5315
Knock,N08000333,5011
Ladybrook,N08000334,4817
Lagmore,N08000335,8344
Legoniel,N08000336,6135
Malone,N08000337,4811
Merok,N08000338,4438
Musgrave,N08000339,4836
New Lodge,N08000340,4881
Orangefield,N08000341,4756
Ormeau,N08000342,6532
Poleglass,N08000343,6103
Ravenhill,N08000344,4823
Rosetta,N08000345,5793
Sandown,N08000346,4470
Shandon,N08000347,5377
Shankill (Belfast LGD),N08000348,6445
Shaw's Road,N08000349,5480
Stewartstown (Belfast LGD),N08000350,4579
Stormont,N08000351,5045
Stranmillis,N08000352,8978
Sydenham,N08000353,5589
Turf Lodge,N08000354,4569
