Geography,GeographyCode,Total,Female,Female_pct
ANTRIM,N11000001,25606,13110,51.20
CRUMLIN,N11000003,5366,2747,51.19
PARKGATE,N11000009,662,337,50.91
RANDALSTOWN,N11000010,5152,2658,51.59
TEMPLEPATRICK,N11000011,1538,803,52.21
TOOME,N11000012,1017,507,49.85
BALLYGOWAN,N11000022,3138,1597,50.89
BALLYHALBERT,N11000023,1271,643,50.59
BALLYWALTER,N11000025,2008,1028,51.20
CARROWDORE,N11000026,1056,570,53.98
CLOUGHEY,N11000027,1347,691,51.30
COMBER,N11000028,9526,4933,51.78
DONAGHADEE,N11000030,7325,3805,51.95
GREYABBEY,N11000032,879,461,52.45
KIRCUBBIN,N11000035,1065,518,48.64
LISBANE,N11000037,522,273,52.30
MILLISLE,N11000039,2561,1286,50.21
NEWTOWNARDS,N11000040,29677,15309,51.59
PORTAFERRY,N11000041,2372,1183,49.87
PORTAVOGIE,N11000042,2274,1122,49.34
ARMAGH,N11000051,16310,8467,51.91
HAMILTONSBAWN,N11000072,1041,534,51.30
KEADY,N11000073,3343,1756,52.53
LAURELVALE / MULLAVILLY,N11000076,1390,711,51.15
MARKETHILL,N11000081,1914,999,52.19
MILFORD,N11000083,551,287,52.09
POYNTZPASS,N11000088,631,326,51.66
RICHHILL,N11000089,2738,1378,50.33
TANDRAGEE,N11000093,3545,1788,50.44
AHOGHILL,N11000098,3537,1838,51.96
BALLYMENA,N11000099,31206,16102,51.60
BROUGHSHANE,N11000100,3097,1620,52.31
CARGAN,N11000101,628,326,51.91
CULLYBACKEY,N11000103,2659,1379,51.86
GRANGE CORNER,N11000104,521,265,50.86
KELLS / CONNOR,N11000105,2121,1071,50.50
PORTGLENONE,N11000107,1370,700,51.09
BALLYBOGY,N11000108,564,293,51.95
BALLYMONEY,N11000109,11048,5815,52.63
BALNAMORE,N11000110,832,404,48.56
BENDOORAGH,N11000111,647,348,53.79
CLOGH MILLS,N11000114,1233,652,52.88
DERVOCK,N11000117,772,413,53.50
DUNLOY,N11000119,1120,572,51.07
RASHARKIN,N11000123,1072,534,49.81
BANBRIDGE,N11000131,17400,8875,51.01
"DROMORE (ARMAGH CITY, BANBRIDGE AND CRAIGAVON LGD)",N11000135,6392,3348,52.38
GILFORD,N11000137,1957,986,50.38
KINALLEN,N11000141,1126,576,51.15
LAWRENCETOWN,N11000142,995,523,52.56
LOUGHBRICKLAND,N11000145,793,431,54.35
RATHFRILAND,N11000147,2494,1304,52.29
BELFAST CITY,N11000151,293298,150191,51.21
CARRICKFERGUS,N11000153,28141,14522,51.60
GREENISLAND,N11000154,5965,3044,51.03
WHITEHEAD,N11000157,3537,1824,51.57
CARRYDUFF,N11000159,7172,3706,51.67
METROPOLITAN CASTLEREAGH,N11000162,58763,30319,51.60
MONEYREAGH,N11000163,1544,790,51.17
ARTICLAVE,N11000165,921,482,52.33
CASTLEROCK,N11000170,1155,623,53.94
CASTLEROE,N11000171,675,356,52.74
COLERAINE,N11000173,24483,12703,51.88
GARVAGH,N11000176,1252,668,53.35
KILREA,N11000179,1673,866,51.76
MACOSQUIN,N11000180,603,304,50.41
PORTBALLINTRAE,N11000182,500,267,53.40
PORTRUSH,N11000183,6150,3153,51.27
PORTSTEWART,N11000184,7853,4118,52.44
ARDBOE,N11000186,772,387,50.13
BALLYRONAN,N11000190,612,330,53.92
COAGH,N11000192,774,398,51.42
COOKSTOWN,N11000193,12546,6398,51.00
MONEYMORE,N11000203,2141,1126,52.59
MOORTOWN,N11000204,548,271,49.45
POMEROY,N11000206,797,410,51.44
STEWARTSTOWN,N11000208,640,336,52.50
AGHAGALLON,N11000212,1173,581,49.53
BLEARY,N11000216,1107,566,51.13
CRAIGAVON URBAN AREA including AGHACOMMON,N11000218,72301,36507,50.49
DERRYMACASH,N11000220,715,371,51.89
DOLLINGSTOWN,N11000223,2256,1155,51.20
DONAGHCLONEY,N11000224,1981,985,49.72
DRUMNACANVY,N11000225,1128,581,51.51
MAGHERALIN,N11000228,2043,1048,51.30
SCOTCH STREET,N11000232,675,367,54.37
THE BIRCHES,N11000234,545,279,51.19
WARINGSTOWN,N11000235,3866,1992,51.53
CLAUDY,N11000240,1325,684,51.62
CULMORE,N11000242,3652,1846,50.55
DERRY CITY,N11000243,85279,44049,51.65
EGLINTON,N11000244,3571,1822,51.02
LETTERSHENDONEY,N11000248,571,269,47.11
NEWBUILDINGS,N11000250,2837,1472,51.89
STRATHFOYLE,N11000254,2608,1357,52.03
ANNSBOROUGH,N11000258,793,408,51.45
ARDGLASS,N11000259,1761,931,52.87
BALLYNAHINCH,N11000263,6164,3178,51.56
CASTLEWELLAN,N11000268,2834,1446,51.02
CROSSGAR,N11000273,2019,1035,51.26
DARRAGH CROSS,N11000274,532,267,50.19
DOWNPATRICK,N11000276,11544,5961,51.64
DRUMANESS,N11000278,1336,699,52.32
DUNDRUM,N11000280,1538,803,52.21
KILLOUGH,N11000283,960,509,53.02
KILLYLEAGH,N11000284,2787,1452,52.10
NEWCASTLE,N11000288,8298,4367,52.63
SAINTFIELD,N11000290,3588,1877,52.31
STRANGFORD,N11000294,561,265,47.24
THE SPA,N11000295,588,312,53.06
ANNAGHMORE (MID ULSTER LGD),N11000297,1051,576,54.80
AUGHNACLOY,N11000299,1154,584,50.61
BALLYGAWLEY,N11000300,976,485,49.69
CALEDON,N11000304,522,265,50.77
CASTLECAULFIELD,N11000308,1001,491,49.05
CLOGHER,N11000309,675,374,55.41
COALISLAND,N11000311,6349,3235,50.95
DONAGHMORE,N11000314,1182,587,49.66
DUNGANNON,N11000315,16282,8017,49.24
EGLISH (MID ULSTER LGD),N11000318,515,258,50.10
FIVEMILETOWN,N11000319,1341,679,50.63
KILLYMAN,N11000323,1057,518,49.01
MOY,N11000324,1944,1006,51.75
NEWMILLS,N11000325,804,410,51.00
THE BUSH,N11000327,605,319,52.73
BALLINAMALLARD,N11000331,1364,678,49.71
BELLANALECK,N11000334,714,367,51.40
BELLEEK (FERMANAGH AND OMAGH LGD),N11000335,968,504,52.07
DERRYGONNELLY,N11000342,580,295,50.86
DERRYLIN,N11000343,656,319,48.63
EDERNEY,N11000345,553,281,50.81
ENNISKILLEN,N11000346,14086,7310,51.90
IRVINESTOWN,N11000349,2320,1233,53.15
KESH,N11000350,1098,553,50.36
LISBELLAW,N11000356,1089,567,52.07
LISNASKEA,N11000358,3020,1551,51.36
MAGUIRESBRIDGE,N11000360,1033,546,52.86
NEWTOWNBUTLER,N11000363,972,462,47.53
BALLYCARRY,N11000371,1484,772,52.02
BALLYGALLEY,N11000372,745,391,52.48
BALLYSTRUDDER,N11000373,992,512,51.61
CARNLOUGH,N11000378,1457,745,51.13
GLENARM,N11000385,508,269,52.95
GLYNN,N11000387,583,293,50.26
LARNE,N11000389,18853,9666,51.27
BALLYKELLY,N11000398,2029,1047,51.60
DUNGIVEN,N11000403,3346,1707,51.02
FEENY,N11000404,780,390,50.00
GREYSTEEL,N11000408,1418,699,49.29
LIMAVADY,N11000410,11729,6027,51.39
AGHALEE,N11000412,926,452,48.81
ANNAHILT,N11000413,1029,527,51.21
DROMARA,N11000421,1119,574,51.30
DRUMBEG,N11000422,776,406,52.32
GLENAVY,N11000430,2399,1209,50.40
HILLSBOROUGH AND CULCAVY,N11000434,4170,2161,51.82
LISBURN CITY,N11000438,51447,26385,51.29
LOWER BALLINDERRY,N11000440,935,462,49.41
MAGHABERRY,N11000445,2966,1505,50.74
