Geography,GeographyCode,Total,BornInNI,BornInNI_pct
Antrim and Newtownabbey,N09000001,145662,128626,88.30
"Armagh City, Banbridge and Craigavon",N09000002,218656,186924,85.49
Belfast,N09000003,345416,289630,83.85
Causeway Coast and Glens,N09000004,141747,127171,89.72
Derry City and Strabane,N09000005,150755,133068,88.27
Fermanagh and Omagh,N09000006,116812,99086,84.83
Lisburn and Castlereagh,N09000007,149109,129673,86.97
Mid and East Antrim,N09000008,138994,122795,88.35
Mid Ulster,N09000009,150289,129409,86.11
"Newry, Mourne and Down",N09000010,182074,157780,86.66
Ards and North Down,N09000011,163659,142114,86.84
