Geography,GeographyCode,Total,Unemployed,Unemployed_pct
Ballymoney North,N08000407,2828,55,1.94
Ballymoney South,N08000408,2717,67,2.47
Castlerock,N08000409,2786,64,2.30
Churchland,N08000410,3052,60,1.97
Clogh Mills,N08000411,2917,48,1.65
Coolessan,N08000412,2332,108,4.63
Dervock,N08000413,2728,60,2.20
Drumsurn,N08000414,2863,59,2.06
Dundooan,N08000415,3251,72,2.21
Dungiven,N08000416,2549,51,2.00
Dunloy,N08000417,2802,36,1.28
Feeny,N08000418,2723,60,2.20
Garvagh,N08000419,2691,58,2.16
Giant's Causeway,N08000420,2794,84,3.01
Greysteel,N08000421,3568,119,3.34
Greystone (Causeway Coast and Glens LGD),N08000422,2719,67,2.46
Hopefield,N08000423,2960,75,2.53
Kilrea,N08000424,2931,50,1.71
Kinbane,N08000425,3215,91,2.83
Loughguile and Stranocum,N08000426,2880,55,1.91
Lurigethan,N08000427,2260,38,1.68
Macosquin,N08000428,2772,70,2.53
Magilligan,N08000429,2971,43,1.45
Mountsandel,N08000430,3260,104,3.19
Portrush and Dunluce,N08000431,2451,68,2.77
Portstewart,N08000432,2553,53,2.08
Quarry,N08000433,3356,116,3.46
Rasharkin,N08000434,3030,57,1.88
Roeside,N08000435,2269,60,2.64
Route,N08000436,2741,49,1.79
Torr Head and Rathlin,N08000437,2884,52,1.80
University,N08000438,3039,99,3.26
Waterside,N08000439,3469,95,2.74
Windy Hall,N08000440,3029,74,2.44
Artigarvan,N08000501,2849,68,2.39
Ballycolman,N08000502,2812,94,3.34
Ballymagroarty,N08000503,2917,150,5.14
Brandywell,N08000504,2562,111,4.33
Carn Hill,N08000505,2282,70,3.07
Castlederg,N08000506,2757,75,2.72
Caw,N08000507,3417,126,3.69
City Walls,N08000508,2822,185,6.56
Claudy,N08000509,2813,60,2.13
Clondermot,N08000510,3128,58,1.85
Creggan,N08000511,2816,82,2.91
Creggan South,N08000512,2838,123,4.33
Culmore,N08000513,3407,57,1.67
Drumahoe,N08000514,3448,110,3.19
Dunnamanagh,N08000515,2758,70,2.54
Ebrington,N08000516,3263,106,3.25
Eglinton,N08000517,3051,62,2.03
Enagh,N08000518,3369,97,2.88
Finn,N08000519,3239,79,2.44
Foyle Springs,N08000520,2565,82,3.20
Galliagh,N08000521,2887,115,3.98
Glenderg,N08000522,2525,57,2.26
Glenelly Valley,N08000523,2680,78,2.91
Kilfennan,N08000524,3673,65,1.77
Lisnagelvin,N08000525,2661,64,2.41
Madam's Bank,N08000526,2459,62,2.52
New Buildings,N08000527,2994,56,1.87
Newtownstewart,N08000528,2510,50,1.99
Northland,N08000529,4272,209,4.89
Park (Derry City and Strabane LGD),N08000530,2722,49,1.80
Shantallow,N08000531,2823,90,3.19
Shantallow East,N08000532,3353,89,2.65
Sheriff's Mountain,N08000533,2616,94,3.59
Sion Mills,N08000534,2966,87,2.93
Skeoge,N08000535,4263,174,4.08
Slievekirk,N08000536,2820,53,1.88
Springtown,N08000537,2366,63,2.66
Strabane North,N08000538,3139,155,4.94
Strabane West,N08000539,2599,92,3.54
Victoria (Derry City and Strabane LGD),N08000540,3355,151,4.50
Ballinamallard,N08000601,2362,51,2.16
Belcoo and Garrison,N08000602,2149,37,1.72
Belleek and Boa,N08000603,2510,57,2.27
Beragh,N08000604,2266,27,1.19
"Boho, Cleenish and Letterbreen",N08000605,2665,47,1.76
Brookeborough,N08000606,2010,33,1.64
Camowen,N08000607,2682,51,1.90
Castlecoole,N08000608,2579,51,1.98
Coolnagard,N08000609,2707,54,1.99
Dergmoney,N08000610,2180,59,2.71
Derrygonnelly,N08000611,2268,35,1.54
Derrylin,N08000612,2139,44,2.06
Donagh,N08000613,1980,42,2.12
Dromore (Fermanagh and Omagh LGD),N08000614,2083,49,2.35
Drumnakilly,N08000615,2376,41,1.73
Drumquin,N08000616,2261,28,1.24
Ederney and Kesh,N08000617,2222,33,1.49
Erne,N08000618,2525,54,2.14
Fairy Water,N08000619,2288,25,1.09
Fintona,N08000620,1991,38,1.91
Florence Court and Kinawley,N08000621,2238,31,1.39
Gortin,N08000622,2545,58,2.28
Gortrush,N08000623,2594,58,2.24
Irvinestown,N08000624,2642,70,2.65
Killyclogher,N08000625,2464,28,1.14
Lisbellaw,N08000626,2378,44,1.85
Lisnarrick,N08000627,2752,59,2.14
Lisnaskea,N08000628,2042,43,2.11
Maguiresbridge,N08000629,2583,26,1.01
Newtownbutler,N08000630,1952,34,1.74
Newtownsaville,N08000631,2277,18,0.79
Owenkillew,N08000632,2074,31,1.49
Portora,N08000633,2596,58,2.23
Rosslea,N08000634,1799,30,1.67
Rossorry,N08000635,2076,28,1.35
Sixmilecross,N08000636,2164,24,1.11
Strule,N08000637,2385,69,2.89
Tempo,N08000638,2224,39,1.75
Termon,N08000639,2061,30,1.46
Trillick,N08000640,1934,20,1.03
Ballinderry,N08000701,3083,44,1.43
Ballyhanwood,N08000702,2558,46,1.80
Ballymacash,N08000703,2500,51,2.04
Ballymacbrennan,N08000704,2534,34,1.34
Ballymacoss,N08000705,4456,97,2.18
Beechill,N08000706,2824,38,1.35
Blaris,N08000707,2830,69,2.44
Cairnshill,N08000708,2778,31,1.12
Carrowreagh,N08000709,4776,72,1.51
Carryduff East,N08000710,3027,40,1.32
Carryduff West,N08000711,2645,30,1.13
Derryaghy,N08000712,3695,102,2.76
Dromara,N08000713,2703,34,1.26
Drumbo,N08000714,2428,27,1.11
Dundonald,N08000715,2634,44,1.67
Enler,N08000716,2551,70,2.74
Galwally,N08000717,2499,33,1.32
Glenavy,N08000718,3046,55,1.81
Graham's Bridge,N08000719,2652,60,2.26
Harmony Hill,N08000720,2516,40,1.59
Hilden,N08000721,3173,106,3.34
Hillhall,N08000722,3141,80,2.55
Hillsborough,N08000723,2780,35,1.26
Knockbracken,N08000724,2808,39,1.39
Knockmore,N08000725,3580,79,2.21
Lagan,N08000726,2781,39,1.40
Lagan Valley,N08000727,2719,87,3.20
Lambeg,N08000728,3060,90,2.94
Lisnagarvey,N08000729,2522,35,1.39
Maghaberry,N08000730,3822,62,1.62
Magheralave,N08000731,3341,54,1.62
Maze,N08000732,2542,40,1.57
Moira,N08000733,3069,40,1.30
