Geography,GeographyCode,Total,PrivateRented,PrivateRented_pct
Antrim and Newtownabbey,N09000001,59457,8251,13.88
"Armagh City, Banbridge and Craigavon",N09000002,84642,15706,18.56
Belfast,N09000003,149210,30657,20.55
Causeway Coast and Glens,N09000004,57578,10296,17.88
Derry City and Strabane,N09000005,60935,10933,17.94
Fermanagh and Omagh,N09000006,45714,8472,18.53
Lisburn and Castlereagh,N09000007,60145,6754,11.23
Mid and East Antrim,N09000008,58283,9388,16.11
Mid Ulster,N09000009,54007,10198,18.88
"Newry, Mourne and Down",N09000010,68398,12333,18.03
Ards and North Down,N09000011,70445,9448,13.41
