Geography,GeographyCode,Total,BornInNI,BornInNI_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,3355,2746,81.85
Aldergrove,N08000102,4683,3472,74.14
Antrim Centre,N08000103,4093,3333,81.43
Ballyclare East,N08000104,4142,3771,91.04
Ballyclare West,N08000105,4042,3757,92.95
Ballyduff,N08000106,3019,2798,92.68
Ballyhenry,N08000107,2710,2466,91.00
Ballynure,N08000108,3611,3350,92.77
Ballyrobert,N08000109,3812,3533,92.68
Burnthill,N08000110,3716,3365,90.55
Carnmoney,N08000111,2607,2362,90.60
Carnmoney Hill,N08000112,3305,2912,88.11
Clady,N08000113,3834,3551,92.62
Collinbridge,N08000114,2930,2684,91.60
Cranfield,N08000115,3175,2887,90.93
Crumlin,N08000116,3706,3404,91.85
Doagh,N08000117,3472,3187,91.79
Fairview,N08000118,3116,2879,92.39
Fountain Hill,N08000119,3463,2959,85.45
Glebe (Antrim and Newtownabbey LGD),N08000120,3043,2796,91.88
Glengormley,N08000121,3419,2964,86.69
Greystone (Antrim and Newtownabbey LGD),N08000122,3073,2672,86.95
Hightown,N08000123,3125,2764,88.45
Jordanstown,N08000124,3244,2938,90.57
Mallusk,N08000125,6279,5639,89.81
Monkstown,N08000126,3726,3289,88.27
Mossley,N08000127,3708,3395,91.56
O'Neill,N08000128,3330,3082,92.55
Parkgate,N08000129,3259,2976,91.32
Randalstown,N08000130,3732,3108,83.28
Rathcoole,N08000131,3376,3082,91.29
Rostulla,N08000132,3924,3270,83.33
Shilvodan,N08000133,3897,3498,89.76
Springfarm,N08000134,5544,4151,74.87
Steeple,N08000135,3795,3143,82.82
Stiles,N08000136,3986,3360,84.30
Templepatrick,N08000137,3521,3178,90.26
Toome,N08000138,3937,3727,94.67
Valley (Antrim and Newtownabbey LGD),N08000139,3717,3286,88.40
Whitehouse,N08000140,3221,2868,89.04
Aghagallon,N08000201,5047,4743,93.98
Ballybay,N08000202,5459,4078,74.70
Banbridge East,N08000203,4477,4027,89.95
Banbridge North,N08000204,4273,3726,87.20
Banbridge South,N08000205,5045,4381,86.84
Banbridge West,N08000206,5427,4695,86.51
Blackwatertown,N08000207,5502,4914,89.31
Bleary,N08000208,4985,4432,88.91
Brownlow,N08000209,6628,5484,82.74
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,5119,3994,78.02
Corcrain,N08000211,5458,4015,73.56
Craigavon Centre,N08000212,6750,4985,73.85
Demesne,N08000213,5703,4774,83.71
Derrytrasna,N08000214,4983,4721,94.74
Donaghcloney,N08000215,4936,4554,92.26
"Dromore (Armagh City, Banbridge and Craigavon LGD)",N08000216,4842,4308,88.97
Gilford,N08000217,4995,4543,90.95
Gransha,N08000218,5156,4798,93.06
Hamiltonsbawn,N08000219,4969,4541,91.39
Keady,N08000220,5243,4249,81.04
Kernan,N08000221,5893,4571,77.57
Killycomain,N08000222,5247,3400,64.80
Knocknashane,N08000223,4555,3763,82.61
Lough Road,N08000224,5600,4799,85.70
Loughbrickland,N08000225,5712,5278,92.40
Loughgall,N08000226,5484,5056,92.20
Magheralin,N08000227,5368,4801,89.44
Mahon,N08000228,5172,4054,78.38
Markethill,N08000229,5631,5083,90.27
