Geography,GeographyCode,Total,OwnerOccupied,OwnerOccupied_pct
Abbey (Antrim and Newtownabbey LGD),N08000101,1536,941,61.26
Aldergrove,N08000102,1491,1095,73.44
Antrim Centre,N08000103,1980,1215,61.36
Ballyclare East,N08000104,1899,1175,61.87
Ballyclare West,N08000105,1638,1120,68.38
Ballyduff,N08000106,1437,1000,69.59
Ballyhenry,N08000107,1043,915,87.73
Ballynure,N08000108,1420,1174,82.68
Ballyrobert,N08000109,1485,1302,87.68
Burnthill,N08000110,1659,1210,72.94
Carnmoney,N08000111,1160,995,85.78
Carnmoney Hill,N08000112,1322,1043,78.90
Clady,N08000113,1327,1152,86.81
Collinbridge,N08000114,1126,999,88.72
Cranfield,N08000115,1160,912,78.62
Crumlin,N08000116,1424,991,69.59
Doagh,N08000117,1441,1148,79.67
Fairview,N08000118,1239,981,79.18
Fountain Hill,N08000119,1359,1062,78.15
Glebe (Antrim and Newtownabbey LGD),N08000120,1198,1054,87.98
Glengormley,N08000121,1605,983,61.25
Greystone (Antrim and Newtownabbey LGD),N08000122,1455,664,45.64
Hightown,N08000123,1263,1041,82.42
Jordanstown,N08000124,1197,1139,95.15
Mallusk,N08000125,2299,1895,82.43
Monkstown,N08000126,1593,891,55.93
Mossley,N08000127,1619,1082,66.83
O'Neill,N08000128,1607,566,35.22
Parkgate,N08000129,1206,1037,85.99
Randalstown,N08000130,1556,916,58.87
Rathcoole,N08000131,1518,705,46.44
Rostulla,N08000132,1404,1283,91.38
Shilvodan,N08000133,1321,1145,86.68
Springfarm,N08000134,2009,1320,65.70
Steeple,N08000135,1691,751,44.41
Stiles,N08000136,1727,1063,61.55
Templepatrick,N08000137,1424,1194,83.85
Toome,N08000138,1316,1008,76.60
Valley (Antrim and Newtownabbey LGD),N08000139,1689,769,45.53
Whitehouse,N08000140,1598,775,48.50
Aghagallon,N08000201,1759,1500,85.28
Ballybay,N08000202,2371,1009,42.56
Banbridge East,N08000203,1700,1442,84.82
Banbridge North,N08000204,1794,1221,68.06
Banbridge South,N08000205,2235,1288,57.63
Banbridge West,N08000206,2307,1308,56.70
Blackwatertown,N08000207,1884,1522,80.79
Bleary,N08000208,1826,1527,83.63
Brownlow,N08000209,2522,1320,52.34
"Cathedral (Armagh City, Banbridge and Craigavon LGD)",N08000210,1935,979,50.59
Corcrain,N08000211,2131,883,41.44
Craigavon Centre,N08000212,2567,1824,71.06
Demesne,N08000213,2185,1382,63.25
Derrytrasna,N08000214,1675,1411,84.24
Donaghcloney,N08000215,1820,1461,80.27
