PC_NAME,Area_sqkm,PC_ID,OBJECTID,minElev_m,maxElev_m,minElev_ft,maxElev_ft
SOUTH DOWN,1249.82080829,N06000015,5,-3.9,846.6,-13,2778
NEWRY AND ARMAGH,1081.5208172,N06000011,7,-60,575.9,-197,1889
UPPER BANN,479.69241981,N06000017,2,-12.3,154.7,-40,508
BELFAST NORTH,50.3185613822,N06000002,15,-2.4,374.3,-8,1228
BELFAST EAST,55.2978073781,N06000001,9,-12.1,178.9,-40,587
BELFAST SOUTH,44.8302814819,N06000003,10,-4.1,151.1,-13,496
BELFAST WEST,45.1479512489,N06000004,12,-0.3,474.3,-1,1556
LAGAN VALLEY,467.841192005,N06000009,13,4.7,308.8,15,1013
STRANGFORD,655.231442132,N06000016,11,-29.6,213.9,-97,702
NORTH DOWN,115.44065937,N06000013,1,-1.2,203.8,-4,669
EAST ANTRIM,593.040484022,N06000005,3,-1.4,549.2,-5,1802
NORTH ANTRIM,1386.23579148,N06000012,4,-1.5,542.4,-5,1780
SOUTH ANTRIM,785.0293353,N06000014,14,10.6,451.5,35,1481
MID ULSTER,1348.63795321,N06000010,6,7.2,568.8,24,1866
WEST TYRONE,1992.09359947,N06000018,8,-0.7,677.2,-2,2222
EAST LONDONDERRY,1275.26908819,N06000006,16,-4.6,677.5,-15,2223
FOYLE,183.642632361,N06000008,18,-2.3,368.4,-8,1209
FERMANAGH AND SOUTH TYRONE,2506.0113818,N06000007,17,11.2,661.6,37,2171
