id,Name,minElev_m,maxElev_m,minElev_ft,maxElev_ft
2122,SOUTH DOWN,-3.9,846.6,-13,2778
2123,NEWRY AND ARMAGH,-60,575.9,-197,1889
2124,UPPER BANN,-12.3,154.7,-40,508
2103,BELFAST NORTH,-2.4,374.3,-8,1228
2107,BELFAST EAST,-12.1,175.5,-40,576
2106,BELFAST SOUTH,-4.1,146.7,-13,481
2104,WEST BELFAST,-0.3,474.3,-1,1556
2105,LAGAN VALLEY,4.7,318.6,15,1045
2120,STRANGFORD,-29.6,213.9,-97,702
2121,NORTH DOWN,-0.4,203.8,-1,669
2101,EAST ANTRIM,-1.4,473.6,-5,1554
2100,NORTH ANTRIM,-1.5,549.2,-5,1802
2102,SOUTH ANTRIM,10.6,451.5,35,1481
2141,MID ULSTER,7.2,568.8,24,1866
2142,WEST TYRONE,-0.7,677.2,-2,2222
2143,FOYLE,-2.3,677.5,-8,2223
2144,EAST LONDONDERRY,-4.6,627.2,-15,2058
2140,FERMANAGH AND SOUTH TYRONE,11.2,661.6,37,2171
