id,Name,minElev_m,maxElev_m,minElev_ft,maxElev_ft
2121,SOUTH DOWN,-3.9,846.6,-13,2778
2122,ARMAGH,-60,575.9,-197,1889
2101,SOUTH ANTRIM,-0.9,474.3,-3,1556
2103,BELFAST WEST,-2,335.7,-7,1101
2102,BELFAST NORTH,-2.4,338.3,-8,1110
2105,BELFAST EAST,-12.1,182.9,-40,600
2104,BELFAST SOUTH,-4.1,146.4,-13,480
2120,NORTH DOWN,-29.6,219.6,-97,720
2100,NORTH ANTRIM,-1.5,549.2,-5,1802
2141,MID ULSTER,-0.7,677.2,-2,2222
2142,LONDONDERRY,-4.6,677.5,-15,2223
2140,FERMANAGH AND SOUTH TYRONE,11,661.6,36,2171
