OBJECTID,PC_NAME,PC_Code,Area_sqkm,Shape_Length,Shape_Area,minElev_m,maxElev_m,minElev_ft,maxElev_ft
12,SOUTH DOWN,N05000015,1121.5146452792014,279198.0918012127,1121514645.2792015,-3.9,846.6,-13,2778
18,NEWRY AND ARMAGH,N05000011,920.7435785339939,205127.08870976773,920743578.5339938,-0.5,575.9,-2,1889
3,LAGAN VALLEY,N05000009,542.8769063503296,174695.20356260333,542876906.3503296,8.9,308.8,29,1013
4,UPPER BANN,N05000017,381.4119536171538,134894.48728721487,381411953.6171538,-60,154.7,-197,508
2,SOUTH ANTRIM,N05000014,794.9708338163309,177448.23825634836,794970833.8163309,10.6,451.5,35,1481
5,BELFAST NORTH,N05000002,54.16461931017082,40463.35452643504,54164619.31017082,-2.4,473.4,-8,1553
15,BELFAST EAST,N05000001,55.53556968658044,44339.710059615514,55535569.686580434,-12.1,178.9,-40,587
17,BELFAST SOUTH AND MID DOWN,N05000003,118.79177573264386,70352.44646557613,118791775.73264386,-4.1,184.5,-13,605
16,BELFAST WEST,N05000004,39.140701273739566,35982.48099141157,39140701.27373957,-0.3,474.3,-1,1556
14,STRANGFORD,N05000016,786.7379874423958,205016.23744674996,786737987.4423958,-29.6,213.9,-97,702
13,NORTH DOWN,N05000013,118.86447415235287,111066.19546167096,118864474.15235287,-1.2,203.8,-4,669
1,EAST ANTRIM,N05000005,848.024524719275,214284.56688740727,848024524.719275,-1.4,549.2,-5,1802
9,NORTH ANTRIM,N05000012,1136.2385140329436,282171.95089306723,1136238514.0329437,-1.5,547.3,-5,1796
10,MID ULSTER,N05000010,1309.760833772367,250290.50651907123,1309760833.772367,7.2,568.8,24,1866
7,WEST TYRONE,N05000018,2115.1999052780347,353539.8465334594,2115199905.278035,-0.7,677.2,-2,2222
6,EAST LONDONDERRY,N05000006,1289.67193497967,241657.07114728622,1289671934.97967,-4.6,677.5,-15,2223
8,FOYLE,N05000008,120.97766770521396,73483.04275264489,120977667.70521396,-2.3,256.3,-8,841
11,FERMANAGH AND SOUTH TYRONE,N05000007,2560.657762604675,481046.9499034353,2560657762.6046753,-4.3,661.6,-14,2171
