id,Name,minElev_m,maxElev_m,minElev_ft,maxElev_ft
2122,SOUTH DOWN,-3.9,846.6,-13,2778
2123,NEWRY AND ARMAGH,-60,575.9,-197,1889
2124,UPPER BANN,-12.3,154.7,-40,508
2104,BELFAST WEST,-2.4,474.3,-8,1556
2103,BELFAST NORTH,0.2,374.3,1,1228
2107,BELFAST EAST,-12.1,174.1,-40,571
2106,BELFAST SOUTH,-4.1,53.3,-13,175
2105,LAGAN VALLEY,4.7,324.2,15,1064
2120,STRANGFORD,-29.6,213.9,-97,702
2121,NORTH DOWN,-0.2,203.8,-1,669
2101,EAST ANTRIM,-1.4,473.6,-5,1554
2100,NORTH ANTRIM,-1.5,549.2,-5,1802
2102,SOUTH ANTRIM,10.6,357.3,35,1172
2142,FOYLE,-2.3,677.5,-8,2223
2142,EAST LONDONDERRY,-4.6,627.2,-15,2058
2141,MID ULSTER,0.6,677.2,2,2222
2140,FERMANAGH AND SOUTH TYRONE,11,661.6,36,2171
