GeographyCode,QS105NI0001,QS105NI0002,QS105NI0003
N06000001,92221,44086,48135
N06000002,102531,49107,53424
N06000003,111402,54202,57200
N06000004,93986,44532,49454
N06000005,90067,43822,46245
N06000006,99673,49241,50432
N06000007,102553,51407,51146
N06000008,100807,49076,51731
N06000009,101710,50025,51685
N06000010,99155,49602,49553
N06000011,112401,55830,56571
N06000012,108207,53259,54948
N06000013,89498,43078,46420
N06000014,99238,48594,50644
N06000015,108835,54161,54674
N06000016,89370,43722,45648
N06000017,118010,58080,59930
N06000018,91199,45499,45700
