GeographyCode,QS101NI0001,QS101NI0002,QS101NI0003
N06000001,92221,91207,1014
N06000002,102531,101489,1042
N06000003,111402,108289,3113
N06000004,93986,93176,810
N06000005,90067,87942,2125
N06000006,99673,97681,1992
N06000007,102553,101557,996
N06000008,100807,99430,1377
N06000009,101710,100083,1627
N06000010,99155,98502,653
N06000011,112401,111333,1068
N06000012,108207,107293,914
N06000013,89498,87868,1630
N06000014,99238,98171,1067
N06000015,108835,107832,1003
N06000016,89370,88672,698
N06000017,118010,117347,663
N06000018,91199,90467,732
