GeographyCode,QS602NI0001,QS602NI0002,QS602NI0003,QS602NI0004,QS602NI0005,QS602NI0006,QS602NI0007,QS602NI0008,QS602NI0009,QS602NI0010,QS602NI0011,QS602NI0012,QS602NI0013,QS602NI0014,QS602NI0015,QS602NI0016
N06000001,35029,25445,3415,17726,58,868,492,1566,1129,191,9584,5421,114,949,2426,674
N06000002,38563,24580,4578,15374,60,571,420,1249,2080,248,13983,5814,207,2001,4619,1342
N06000003,41165,31716,3269,21652,73,1257,536,1908,1282,1739,9449,4911,596,830,2382,730
N06000004,32697,19241,4636,10763,65,415,379,954,1782,247,13456,4525,202,2320,5054,1355
N06000005,31599,23396,2998,15808,77,944,495,1805,1118,151,8203,5158,88,700,1704,553
N06000006,33404,23555,3248,13499,113,1454,605,2691,1529,416,9849,5272,218,1069,2308,982
N06000007,32895,24336,3027,14114,95,1728,709,3375,1144,144,8559,4666,131,828,2054,880
N06000008,34925,22226,3922,12502,76,876,601,1486,2452,311,12699,4890,282,1906,4371,1250
N06000009,34918,26917,3068,18214,82,1491,581,2442,909,130,8001,5289,98,667,1461,486
N06000010,29827,21750,2698,12222,85,1611,651,3318,1046,119,8077,3960,105,905,2281,826
N06000011,35818,25590,3638,14480,116,1655,727,3129,1688,157,10228,5038,158,1175,2835,1022
N06000012,35968,26372,3197,16030,93,1579,617,3388,1349,119,9596,5655,101,962,2072,806
N06000013,32437,24037,3078,15912,81,1141,673,2078,949,125,8400,5911,96,544,1410,439
N06000014,33855,26302,3089,18056,81,1246,508,2310,881,131,7553,4677,71,717,1531,557
N06000015,34305,25187,3198,13826,116,1946,717,3869,1383,132,9118,4747,135,1012,2380,844
N06000016,31110,23021,2924,14484,95,1347,607,2542,925,97,8089,5361,94,618,1499,517
N06000017,40713,29507,3733,19631,92,1325,599,2394,1548,185,11206,5783,139,1163,3134,987
N06000018,29331,19936,2693,10688,84,1448,559,2834,1513,117,9395,4222,109,1155,2970,939
