GeographyCode,QS407NI0001,QS407NI0002,QS407NI0003,QS407NI0004,QS407NI0005,QS407NI0006
N06000001,40918,20842,10600,6648,2136,692
N06000002,44601,19106,12610,8665,3107,1113
N06000003,46630,22397,10984,8225,3636,1388
N06000004,36580,13223,9893,8361,3479,1624
N06000005,36112,22040,7833,4610,1280,349
N06000006,37981,23525,7654,4609,1585,608
N06000007,37590,23444,7454,4250,1661,781
N06000008,38404,17881,9461,7013,2832,1217
N06000009,39850,24939,8537,4561,1406,407
N06000010,33690,21053,6654,3782,1490,711
N06000011,40538,23914,8673,5093,2010,848
N06000012,41458,26510,8129,4673,1556,590
N06000013,37740,23812,7965,4492,1116,355
N06000014,37715,23614,7887,4512,1280,422
N06000015,39030,24083,7872,4726,1687,662
N06000016,35412,21192,8105,4437,1307,371
N06000017,45766,26983,10566,5638,1848,731
N06000018,33260,20201,6863,3954,1577,665
