GeographyCode,QS414NI0001,QS414NI0002,QS414NI0003,QS414NI0004,QS414NI0005,QS414NI0006,QS414NI0007,QS414NI0008,QS414NI0009,QS414NI0010,QS414NI0011,QS414NI0012,QS414NI0013,QS414NI0014,QS414NI0015,QS414NI0016,QS414NI0017,QS414NI0018,QS414NI0019,QS414NI0020,QS414NI0021,QS414NI0022,QS414NI0023,QS414NI0024,QS414NI0025,QS414NI0026,QS414NI0027,QS414NI0028,QS414NI0029
N06000001,1014,861,84,0,4,80,22,22,0,755,453,254,6,0,0,42,153,0,0,0,0,124,7,10,0,0,0,0,12
N06000002,1042,896,283,11,0,272,60,0,60,553,336,193,0,0,0,24,146,0,0,0,0,0,0,119,0,0,25,0,2
N06000003,3113,1058,360,21,150,189,57,0,57,641,372,236,0,0,0,33,2055,0,104,1,0,1742,18,151,0,0,30,0,9
N06000004,810,696,82,15,0,67,50,34,16,564,386,143,25,0,0,10,114,0,0,0,0,0,0,98,0,0,15,0,1
N06000005,2125,741,299,0,0,299,0,0,0,442,352,86,0,1,0,3,1384,0,0,0,0,1362,12,9,1,0,0,0,0
N06000006,1992,688,112,0,60,52,115,69,46,461,341,107,0,0,0,13,1304,0,482,0,0,727,60,20,0,0,0,0,15
N06000007,996,812,151,3,0,148,27,6,21,634,543,91,0,0,0,0,184,0,0,0,0,53,49,0,0,0,15,0,67
N06000008,1377,730,195,26,76,93,105,102,3,430,210,216,0,0,0,4,647,0,0,0,0,507,18,113,0,0,8,0,1
N06000009,1627,826,68,0,16,52,0,0,0,758,618,109,0,0,31,0,801,403,342,0,0,31,11,9,0,0,0,0,5
N06000010,653,570,89,0,0,89,11,11,0,470,410,60,0,0,0,0,83,0,0,17,0,48,2,16,0,0,0,0,0
N06000011,1068,951,111,92,0,19,0,0,0,840,694,142,0,0,0,4,117,0,0,0,0,30,18,41,0,0,25,0,3
N06000012,914,813,178,0,0,178,32,25,7,603,412,162,8,0,0,21,101,0,0,0,0,0,26,57,0,0,18,0,0
N06000013,1630,1022,49,0,0,49,17,0,17,956,592,296,1,53,0,14,608,441,0,0,16,109,17,25,0,0,0,0,0
N06000014,1067,817,165,0,109,56,37,30,7,615,469,122,0,24,0,0,250,227,0,0,0,0,23,0,0,0,0,0,0
N06000015,1003,677,185,0,52,133,0,0,0,492,353,95,0,8,0,36,326,217,0,0,0,9,27,0,4,0,48,4,17
N06000016,698,680,21,0,0,21,6,0,6,653,413,240,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0
N06000017,663,619,93,0,0,93,62,56,6,464,424,40,0,0,0,0,44,0,0,0,0,0,8,16,0,0,0,0,20
N06000018,732,712,151,0,30,121,132,132,0,429,304,107,0,14,0,4,20,0,0,0,0,0,17,3,0,0,0,0,0
