GeographyCode,QS221NI0001,QS221NI0002,QS221NI0003,QS221NI0004,QS221NI0005,QS221NI0006,QS221NI0007,QS221NI0008,QS221NI0009,QS221NI0010,QS221NI0011,QS221NI0012,QS221NI0013,QS221NI0014,QS221NI0015,QS221NI0016,QS221NI0017
N06000001,40918,14342,1384,11888,169,901,21145,2164,17694,188,1099,5431,537,2694,1602,545,53
N06000002,44601,15823,6206,8800,189,628,24022,11739,11457,131,695,4756,783,1562,1900,476,35
N06000003,46630,15710,5542,8773,347,1048,22645,10477,10469,521,1178,8275,1588,1844,3600,1127,116
N06000004,36580,10445,7635,2519,72,219,24072,20072,3673,72,255,2063,536,468,875,166,18
N06000005,36112,10210,1904,7669,122,515,20588,3548,16142,107,791,5314,410,2211,2158,508,27
N06000006,37981,10031,3510,6131,83,307,22744,9164,13136,83,361,5206,517,1088,3133,447,21
N06000007,37590,9952,5393,4310,66,183,24111,14019,9722,81,289,3527,480,485,2278,272,12
N06000008,38404,10861,7721,2863,63,214,24571,19139,5161,122,149,2972,598,334,1802,220,18
N06000009,39850,10435,1586,8309,125,415,23550,3798,18811,130,811,5865,582,2266,2387,592,38
N06000010,33690,7457,4388,2928,40,101,23497,15827,7407,55,208,2736,333,398,1724,269,12
N06000011,40538,10225,6669,3352,48,156,27353,18597,8416,88,252,2960,626,515,1488,315,16
N06000012,41458,10676,2587,7711,100,278,26101,6692,18794,107,508,4681,466,1430,2285,474,26
N06000013,37740,11356,1321,9209,130,696,19935,1616,17072,135,1112,6449,545,2967,2204,687,46
N06000014,37715,9129,2328,6345,74,382,22902,6874,15185,126,717,5684,658,1882,2454,657,33
N06000015,39030,9606,6460,2885,66,195,25309,18337,6633,69,270,4115,764,543,2266,522,20
N06000016,35412,9058,1447,7104,108,399,21234,3020,17276,111,827,5120,371,2333,1858,517,41
N06000017,45766,12225,4685,7014,131,395,28504,12621,15079,141,663,5037,702,1362,2420,515,38
N06000018,33260,8873,5904,2822,39,108,22021,15254,6581,46,140,2366,308,258,1688,109,3
