ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
"QS608NI0001","Count","PERSONS","All usual residents in households"
"QS608NI0002","Count","PERSONS","NS-SeC of HRP: 1. Higher managerial, administrative and professional occupations"
"QS608NI0003","Count","PERSONS","NS-SeC of HRP: 1.1 Large employers and higher managerial and administrative occupations"
"QS608NI0004","Count","PERSONS","NS-SeC of HRP: 1.2 Higher professional occupations"
"QS608NI0005","Count","PERSONS","NS-SeC of HRP: 2. Lower managerial, administrative and professional occupations"
"QS608NI0006","Count","PERSONS","NS-SeC of HRP: 3. Intermediate occupations"
"QS608NI0007","Count","PERSONS","NS-SeC of HRP: 4. Small employers and own account workers"
"QS608NI0008","Count","PERSONS","NS-SeC of HRP: 5. Lower supervisory and technical occupations"
"QS608NI0009","Count","PERSONS","NS-SeC of HRP: 6. Semi-routine occupations"
"QS608NI0010","Count","PERSONS","NS-SeC of HRP: 7. Routine occupations"
"QS608NI0011","Count","PERSONS","NS-SeC of HRP: 8. Never worked and long-term unemployed"
"QS608NI0012","Count","PERSONS","NS-SeC of HRP: L14.1 Never worked"
"QS608NI0013","Count","PERSONS","NS-SeC of HRP: L14.2 Long-term unemployed"
"QS608NI0014","Count","PERSONS","NS-SeC of HRP: Not classified: L15 Full-time students"
