GeographyCode,QS609NI0001,QS609NI0002,QS609NI0003,QS609NI0004,QS609NI0005,QS609NI0006,QS609NI0007,QS609NI0008,QS609NI0009,QS609NI0010,QS609NI0011,QS609NI0012,QS609NI0013,QS609NI0014
N06000001,73959,10693,1834,8859,17811,9741,6017,5952,10965,8855,3221,1933,1288,704
N06000002,82990,6996,1272,5724,15296,10456,5966,7069,14962,13110,8080,5659,2421,1055
N06000003,91930,19962,2260,17702,23066,10137,5839,5588,9471,6942,3534,2194,1340,7391
N06000004,79021,4151,874,3277,13197,10925,5778,5902,14657,12980,10284,7828,2456,1147
N06000005,72269,8585,1993,6592,16526,9727,8243,7594,9829,8678,2497,1156,1341,590
N06000006,80418,7201,1386,5815,15208,9100,13909,6459,10889,11126,4747,2536,2211,1779
N06000007,84324,6690,1509,5181,14590,7213,17371,7269,13075,13516,3897,2331,1566,703
N06000008,85235,7200,1624,5576,17401,9457,8737,6425,13301,12096,9171,5697,3474,1447
N06000009,82368,12715,2674,10041,20746,10305,11071,6573,9634,8550,2198,1078,1120,576
N06000010,83239,6594,1804,4790,14150,6384,19153,7244,10207,14672,4242,2576,1666,593
N06000011,93578,7212,1706,5506,17804,8556,18086,7813,12051,15051,6159,3558,2601,846
N06000012,87277,8055,1894,6161,16632,7670,16375,8135,13604,12405,3839,1875,1964,562
N06000013,70117,10908,2343,8565,19522,10157,7873,5436,8276,5524,1959,832,1127,462
N06000014,83162,9644,2412,7232,20159,10823,11224,7980,10280,10186,2349,1295,1054,517
N06000015,90489,8511,1763,6748,18554,7879,20736,6746,10778,12196,4456,2416,2040,633
N06000016,72370,7884,1732,6152,16609,9445,11982,6256,9560,8012,2142,990,1152,480
N06000017,99013,9453,2325,7128,19993,11151,12257,9479,16127,15198,4494,2319,2175,861
N06000018,75496,5149,1135,4014,13256,6468,15953,5723,9874,12577,5953,3690,2263,543
