GeographyCode,QS215NI0001,QS215NI0002,QS215NI0003,QS215NI0004,QS215NI0005,QS215NI0006,QS215NI0007,QS215NI0008,QS215NI0009,QS215NI0010
N06000001,88533,4312,316,644,24,229,41,728,62,82177
N06000002,97995,3212,267,440,14,160,48,874,52,92928
N06000003,107615,4730,364,870,26,265,39,735,44,100542
N06000004,89872,1438,130,161,21,49,17,410,29,87617
N06000005,86916,7309,922,840,21,630,33,1208,75,75878
N06000006,95890,7899,976,980,22,718,30,1241,90,83934
N06000007,98103,2910,230,465,20,204,22,589,48,93615
N06000008,96591,2856,216,373,6,168,27,605,25,92315
N06000009,97364,5184,317,660,16,278,37,767,56,90049
N06000010,94457,4077,334,518,8,330,20,758,33,88379
N06000011,107388,3050,230,454,6,209,30,591,30,102788
N06000012,103991,15185,3275,1679,23,2291,53,2997,143,78345
N06000013,86272,5175,322,758,4,338,26,720,53,78876
N06000014,94820,6536,645,758,13,552,34,1052,55,85175
N06000015,103964,3654,301,462,8,279,21,616,37,98586
N06000016,86183,7077,812,880,21,664,26,1023,63,75617
N06000017,112428,4029,292,569,22,223,32,828,43,106390
N06000018,87329,3407,316,400,13,214,25,631,27,82296
