GeographyCode,QS207NI0001,QS207NI0002,QS207NI0003,QS207NI0004,QS207NI0005,QS207NI0006,QS207NI0007,QS207NI0008,QS207NI0009,QS207NI0010,QS207NI0011,QS207NI0012,QS207NI0013,QS207NI0014,QS207NI0015,QS207NI0016,QS207NI0017,QS207NI0018,QS207NI0019,QS207NI0020,QS207NI0021
N06000001,92221,89597,85804,3156,911,81562,172,3,1086,0,19,2688,2549,139,497,1466,430,12,54,165,0
N06000002,102531,100281,96664,2715,780,93058,107,4,1271,5,43,2298,2200,98,433,1231,394,7,43,141,1
N06000003,111402,105175,97539,4535,1036,91768,183,17,3304,4,28,4300,4022,278,998,3913,829,28,151,308,0
N06000004,93986,92561,90334,1571,399,88307,55,2,1298,3,17,909,835,74,203,801,313,3,19,86,0
N06000005,90067,88482,86374,3561,1129,81529,147,8,962,1,43,1102,986,116,308,793,301,7,31,143,2
N06000006,99673,98285,94800,3857,1049,89728,164,2,1686,0,24,1775,1697,78,204,655,368,7,32,122,0
N06000007,102553,100612,89966,3937,610,85330,88,1,5120,2,35,5489,5416,73,234,1224,319,11,67,86,0
N06000008,100807,99163,93495,3451,906,89038,95,5,4294,4,52,1318,1254,64,170,935,411,21,22,84,1
N06000009,101710,99707,96033,4842,1108,89848,230,5,1390,2,42,2240,2095,145,400,962,376,15,67,183,0
N06000010,99155,98251,93871,2267,494,91033,69,8,1254,2,18,3106,3036,70,144,303,327,8,39,83,0
N06000011,112401,111110,101603,3443,563,97462,125,10,4740,5,29,4733,4578,155,151,515,447,3,66,109,0
N06000012,108207,107114,103267,3355,1051,98710,150,1,960,2,39,2846,2768,78,187,475,263,10,29,129,0
N06000013,89498,87439,84668,5837,1365,77207,250,9,1311,1,69,1390,1284,106,473,846,463,20,42,215,0
N06000014,99238,97580,94367,4148,878,89166,173,2,1000,1,29,2183,2092,91,311,836,301,7,31,172,0
N06000015,108835,107504,102805,4308,693,97646,153,5,2424,3,50,2222,2126,96,210,429,512,5,39,136,0
N06000016,89370,88207,85988,3433,878,81514,160,3,891,0,35,1293,1194,99,211,485,301,13,34,119,0
N06000017,118010,116057,109104,3745,824,104371,153,11,1476,0,70,5407,5280,127,366,1095,262,13,90,127,0
N06000018,91199,90324,84995,2556,781,81576,78,4,3366,4,51,1908,1878,30,81,329,382,4,19,60,0
