GeographyCode,QS203NI0001,QS203NI0002,QS203NI0003,QS203NI0004,QS203NI0005,QS203NI0006,QS203NI0007,QS203NI0008,QS203NI0009,QS203NI0010,QS203NI0011,QS203NI0012,QS203NI0013
N06000001,40918,40094,158,8,186,27,13,184,12,79,15,76,66
N06000002,44601,43916,92,18,188,27,7,136,17,90,8,55,47
N06000003,46630,44523,597,19,546,48,48,312,16,208,18,151,144
N06000004,36580,36053,56,57,123,8,6,144,9,46,9,43,26
N06000005,36112,35754,116,7,71,14,4,47,3,20,4,47,25
N06000006,37981,37613,88,10,64,14,5,56,2,29,6,58,36
N06000007,37590,37115,43,44,67,18,2,56,6,45,62,54,78
N06000008,38404,37833,93,27,195,15,3,56,21,36,18,63,44
N06000009,39850,39352,98,8,134,15,2,79,8,37,16,62,39
N06000010,33690,33408,60,50,43,6,1,24,6,35,13,22,22
N06000011,40538,40188,69,80,71,14,3,26,4,16,9,29,29
N06000012,41458,41139,68,43,61,18,2,39,8,16,3,28,33
N06000013,37740,37276,80,10,78,20,12,74,22,40,22,58,48
N06000014,37715,37235,87,6,148,37,2,63,11,37,9,51,29
N06000015,39030,38752,61,18,32,7,9,24,5,23,16,36,47
N06000016,35412,35158,69,8,30,5,35,29,3,13,12,23,27
N06000017,45766,45096,123,19,81,50,10,124,13,80,27,75,68
N06000018,33260,33019,44,34,44,3,0,39,2,8,1,30,36
