GeographyCode,QS409NI0001,QS409NI0002,QS409NI0003,QS409NI0004,QS409NI0005
N06000001,91207,51279,36904,2373,651
N06000002,101489,51759,45267,3444,1019
N06000003,108289,57979,45435,3449,1426
N06000004,93176,37410,48950,5446,1370
N06000005,87942,51666,34423,1582,271
N06000006,97681,52977,41303,2691,710
N06000007,101557,51224,45548,3613,1172
N06000008,99430,45163,48315,4684,1268
N06000009,100083,57738,39721,2209,415
N06000010,98502,45270,48482,3744,1006
N06000011,111333,53246,52659,4408,1020
N06000012,107293,59442,44281,2891,679
N06000013,87868,54964,31383,1101,420
N06000014,98171,53383,42236,2130,422
N06000015,107832,53028,50403,3647,754
N06000016,88672,49874,36592,1795,411
N06000017,117347,61270,51964,3236,877
N06000018,90467,43959,42402,3285,821
