GeographyCode,QS110NI0001,QS110NI0002,QS110NI0003,QS110NI0004,QS110NI0005,QS110NI0006,QS110NI0007,QS110NI0008,QS110NI0009,QS110NI0010,QS110NI0011,QS110NI0012,QS110NI0013,QS110NI0014,QS110NI0015,QS110NI0016,QS110NI0017,QS110NI0018,QS110NI0019,QS110NI0020,QS110NI0021,QS110NI0022,QS110NI0023,QS110NI0024,QS110NI0025,QS110NI0026,QS110NI0027
N06000001,91207,14342,5634,8708,68713,6127,41601,8336,8359,16753,8153,91,7065,3304,1550,1817,394,13829,4261,5313,4255,8152,1675,1806,100,384,4187
N06000002,101489,15823,6072,9751,74558,5252,38524,6600,7647,14778,9499,68,7045,2592,1785,2263,405,23669,7314,10334,6021,11108,2645,2922,122,511,4908
N06000003,108289,15710,5114,10596,70440,5376,44118,7868,8549,19318,8383,79,8382,4648,1600,1816,318,12485,3683,4683,4119,22139,1837,1933,5724,497,12148
N06000004,93176,10445,3560,6885,69250,3236,32785,4080,6546,12926,9233,26,5257,1538,1253,2123,343,27946,8014,13074,6858,13481,3423,4872,125,443,4618
N06000005,87942,10210,4253,5957,71440,5699,47518,8876,9304,19483,9855,42,5606,2184,1409,1693,320,12575,3989,4946,3640,6292,1424,1805,89,240,2734
N06000006,97681,10031,4139,5892,77630,5377,52836,8472,8859,23754,11751,28,6045,2088,1422,2186,349,13344,3862,5216,4266,10020,2178,2611,1000,384,3847
N06000007,101557,9952,4269,5683,80088,4387,58399,7546,9864,28093,12896,2,5363,1928,1360,1797,278,11937,3018,4308,4611,11517,2566,3469,57,537,4888
N06000008,99430,10861,3444,7417,75281,3627,44932,5616,8359,19923,11034,61,4886,1694,1174,1772,246,21775,6617,9719,5439,13288,3356,4386,207,395,4944
N06000009,100083,10435,4308,6127,82304,6687,57304,10132,10806,25362,11004,57,6788,2752,1557,2109,370,11468,3401,4275,3792,7344,1628,2217,57,393,3049
N06000010,98502,7457,3232,4225,81200,3750,61320,6382,10185,30626,14127,12,4268,1360,1081,1565,262,11850,3037,4348,4465,9845,2420,3260,13,439,3713
N06000011,111333,10225,4383,5842,89671,4604,63627,7474,10699,30883,14571,9,5314,1772,1382,1894,266,16117,4731,5974,5412,11437,2849,3537,26,427,4598
N06000012,107293,10676,4721,5955,86638,6434,60418,9792,10420,26431,13775,24,6464,2192,1555,2303,414,13298,3453,4849,4996,9979,2358,2899,23,600,4099
N06000013,87868,11356,4945,6411,70853,7223,46995,10228,8783,18908,9076,53,6279,2580,1475,1865,359,10303,3027,3892,3384,5659,1361,1328,8,269,2693
N06000014,98171,9129,3587,5542,81082,5300,56364,9568,10586,25151,11059,37,6561,2382,1600,2174,405,12820,3587,5569,3664,7960,2116,2453,23,269,3099
N06000015,107832,9606,4196,5410,88174,4903,64001,7760,10512,31673,14056,42,5299,1734,1289,1966,310,13929,3685,5504,4740,10052,2414,3105,7,510,4016
N06000016,88672,9058,3971,5087,73129,6034,50600,9682,9310,21048,10560,50,5748,2138,1283,1886,441,10697,3171,3987,3539,6485,1504,2006,4,314,2657
N06000017,117347,12225,4758,7467,95324,5965,63873,9600,11881,28983,13409,41,8422,2938,2248,2834,402,17023,5234,6814,4975,9798,2368,2861,8,439,4122
N06000018,90467,8873,3515,5358,73176,3696,52853,5912,8704,25983,12254,10,3913,1282,953,1434,244,12704,3550,4726,4428,8418,1857,2660,7,460,3434
