GeographyCode,QS208NI0001,QS208NI0002,QS208NI0003,QS208NI0004,QS208NI0005,QS208NI0006,QS208NI0007,QS208NI0008,QS208NI0009,QS208NI0010,QS208NI0011,QS208NI0012,QS208NI0013,QS208NI0014,QS208NI0015,QS208NI0016,QS208NI0017,QS208NI0018,QS208NI0019,QS208NI0020,QS208NI0021,QS208NI0022,QS208NI0023,QS208NI0024,QS208NI0025,QS208NI0026,QS208NI0027,QS208NI0028,QS208NI0029,QS208NI0030,QS208NI0031,QS208NI0032,QS208NI0033,QS208NI0034,QS208NI0035,QS208NI0036,QS208NI0037,QS208NI0038,QS208NI0039,QS208NI0040,QS208NI0041,QS208NI0042,QS208NI0043,QS208NI0044,QS208NI0045,QS208NI0046,QS208NI0047,QS208NI0048,QS208NI0049,QS208NI0050,QS208NI0051,QS208NI0052,QS208NI0053,QS208NI0054,QS208NI0055,QS208NI0056,QS208NI0057,QS208NI0058,QS208NI0059,QS208NI0060,QS208NI0061,QS208NI0062,QS208NI0063,QS208NI0064,QS208NI0065,QS208NI0066,QS208NI0067,QS208NI0068,QS208NI0069,QS208NI0070,QS208NI0071
N06000001,92221,89597,85804,3156,911,81562,172,3,1086,0,19,2688,2549,272,21,91,1424,29,62,222,428,139,20,45,74,497,81,113,87,26,301,17,147,19,80,38,2,1466,77,18,13,46,367,133,208,26,499,27,424,36,12,519,419,1,38,30,19,12,4,430,192,203,32,3,12,54,165,113,48,4,0
N06000002,102531,100281,96664,2715,780,93058,107,4,1271,5,43,2298,2200,223,29,88,1224,46,32,184,374,98,17,32,49,433,66,73,47,26,291,12,156,19,41,63,3,1231,70,10,27,33,210,91,89,30,525,13,435,51,26,424,337,0,30,33,14,10,2,394,136,215,26,17,7,43,141,106,31,4,1
N06000003,111402,105175,97539,4535,1036,91768,183,17,3304,4,28,4300,4022,345,87,132,1942,41,140,279,1056,278,60,54,164,998,192,275,169,106,527,44,181,42,118,142,4,3913,259,67,48,144,1350,871,374,105,1398,117,1110,115,56,897,403,0,312,75,27,80,9,829,266,523,32,8,28,151,308,227,74,7,0
N06000004,93986,92561,90334,1571,399,88307,55,2,1298,3,17,909,835,103,29,68,344,10,35,42,204,74,9,30,35,203,35,39,25,14,122,8,46,11,18,39,7,801,46,7,9,30,94,65,23,6,273,9,250,11,3,388,342,0,21,7,9,9,0,313,102,172,13,26,3,19,86,73,12,1,0
N06000005,90067,88482,86374,3561,1129,81529,147,8,962,1,43,1102,986,204,23,48,296,70,34,45,266,116,32,18,66,308,32,48,29,19,223,14,123,26,41,19,5,793,80,23,30,27,323,178,101,44,246,11,182,35,18,141,65,0,42,16,11,7,3,301,146,134,17,4,7,31,143,108,33,2,2
N06000006,99673,98285,94800,3857,1049,89728,164,2,1686,0,24,1775,1697,258,48,46,1060,15,22,30,218,78,9,13,56,204,17,31,22,9,151,17,66,11,26,31,5,655,46,14,11,21,227,126,82,19,175,5,124,25,21,206,111,4,31,30,19,11,1,368,106,253,8,1,7,32,122,92,29,1,0
N06000007,102553,100612,89966,3937,610,85330,88,1,5120,2,35,5489,5416,140,368,1943,1960,461,36,143,365,73,22,7,44,234,20,64,3,61,145,15,66,9,36,19,5,1224,37,8,16,13,135,52,78,5,205,5,171,20,9,844,80,691,9,38,7,19,3,319,60,248,10,1,11,67,86,62,22,2,0
N06000008,100807,99163,93495,3451,906,89038,95,5,4294,4,52,1318,1254,180,32,72,599,22,16,19,314,64,9,13,42,170,35,20,7,13,114,8,62,15,10,19,1,935,112,68,14,30,198,129,53,16,448,11,397,36,4,176,102,12,18,15,12,17,1,411,69,320,14,8,21,22,84,61,23,0,1
N06000009,101710,99707,96033,4842,1108,89848,230,5,1390,2,42,2240,2095,430,78,331,777,30,70,43,336,145,28,24,93,400,61,68,29,39,268,33,131,23,47,34,3,962,73,14,32,27,229,63,147,19,349,2,308,29,10,306,190,0,38,33,24,21,5,376,157,195,22,2,15,67,183,110,32,41,0
N06000010,99155,98251,93871,2267,494,91033,69,8,1254,2,18,3106,3036,71,317,754,922,284,29,462,197,70,21,11,38,144,5,44,5,39,91,5,51,11,11,13,4,303,15,3,3,9,103,32,68,3,85,1,62,15,7,96,31,34,12,7,5,7,4,327,68,250,3,6,8,39,83,56,27,0,0
