GeographyCode,QS303NI0001,QS303NI0002,QS303NI0003,QS303NI0004
N06000001,92221,11612,8947,71662
N06000002,102531,16769,10145,75617
N06000003,111402,10592,8519,92291
N06000004,93986,17109,8649,68228
N06000005,90067,9718,8336,72013
N06000006,99673,10897,8943,79833
N06000007,102553,11054,8812,82687
N06000008,100807,14038,8813,77956
N06000009,101710,10032,8622,83056
N06000010,99155,11129,8432,79594
N06000011,112401,13329,9194,89878
N06000012,108207,11751,9495,86961
N06000013,89498,9169,8312,72017
N06000014,99238,9576,8055,81607
N06000015,108835,12096,9135,87604
N06000016,89370,9706,8389,71275
N06000017,118010,14223,10125,93662
N06000018,91199,12432,8491,70276
