GeographyCode,QS104NI0001,QS104NI0002,QS104NI0003,QS104NI0004,QS104NI0005,QS104NI0006,QS104NI0007,QS104NI0008,QS104NI0009,QS104NI0010,QS104NI0011,QS104NI0012,QS104NI0013,QS104NI0014,QS104NI0015,QS104NI0016,QS104NI0017,QS104NI0018,QS104NI0019,QS104NI0020
N06000001,92221,5937,4802,5262,5474,5467,6614,6766,6582,6875,6775,6136,5026,4481,4287,3635,3107,2603,1617,775
N06000002,102531,7315,6083,6311,6899,7092,7583,6913,6528,6885,7324,6711,5447,5001,4597,3848,3347,2556,1418,673
N06000003,111402,6047,4994,5526,8484,13696,10671,8772,7454,6979,7219,6693,5222,4584,4097,3326,3045,2412,1453,728
N06000004,93986,6899,6091,7115,7973,7473,7069,6216,5357,6310,6681,6057,4768,4198,3493,2930,2323,1672,937,424
N06000005,90067,5383,5301,5794,6596,6021,4977,5045,5875,6836,7233,6315,5303,5115,4489,3439,2740,1957,1088,560
N06000006,99673,6312,6020,6753,7384,6954,5951,6017,6674,7529,7493,6482,5704,5453,4755,3824,2753,1928,1170,517
N06000007,102553,7311,6648,6959,6815,6695,7104,7061,7178,7215,7288,6593,5706,5483,4455,3518,2730,2015,1196,583
N06000008,100807,7049,6438,7318,8112,7409,7555,6408,6652,7495,7550,6389,5400,5003,4038,3082,2293,1496,769,351
N06000009,101710,7121,6135,6302,6505,5965,6253,6661,7056,7987,7693,6798,5601,5578,5019,3927,3146,2100,1193,670
N06000010,99155,7745,6851,6996,7244,7305,7051,7138,7122,7160,6679,5928,4997,4653,3933,2950,2313,1643,953,494
N06000011,112401,8388,7537,7951,8028,7683,8135,7493,7696,8073,7851,7082,5965,5597,4777,3630,2834,2017,1169,495
N06000012,108207,7010,6745,6940,6945,6805,6712,6744,7391,8335,7790,6970,6264,5980,5528,4217,3373,2448,1368,642
N06000013,89498,5412,4936,5078,5202,4993,5304,5285,5803,6483,6510,6175,5652,5963,5515,3629,2996,2248,1493,821
N06000014,99238,7334,6515,6718,6505,6060,6459,6896,7256,7600,7470,6258,5397,5347,4633,3316,2517,1632,916,409
N06000015,108835,8175,7335,7755,7862,7306,7152,6875,7361,7905,7888,6777,6080,5648,4578,3590,2779,2022,1202,545
N06000016,89370,5387,5330,5826,5763,5197,5057,5094,5740,6717,6986,6424,5552,5675,4984,3507,2652,1832,1082,565
N06000017,118010,9193,7556,7653,7820,7977,8503,8420,8237,8743,8561,7356,6094,5830,5108,4020,3078,2120,1212,529
N06000018,91199,6364,5970,6777,6630,5915,5949,6035,6298,6721,6654,5789,5094,4701,3835,3091,2332,1665,929,450
