GeographyCode,QS604NI0001,QS604NI0002,QS604NI0003,QS604NI0004,QS604NI0005,QS604NI0006,QS604NI0007,QS604NI0008,QS604NI0009,QS604NI0010,QS604NI0011,QS604NI0012,QS604NI0013,QS604NI0014,QS604NI0015,QS604NI0016,QS604NI0017,QS604NI0018,QS604NI0019,QS604NI0020,QS604NI0021,QS604NI0022,QS604NI0023,QS604NI0024,QS604NI0025,QS604NI0026,QS604NI0027,QS604NI0028
N06000001,42630,92,29,3197,474,97,45,314,261,1329,677,210,284,1920,6792,1617,2466,1771,2035,491,2602,2108,4689,3761,6214,2321,11,20
N06000002,40396,36,31,2901,299,112,67,284,325,1237,577,175,369,2112,7664,2433,2341,1363,1600,463,1799,2080,3290,3653,5947,2105,21,13
N06000003,55372,82,29,2768,375,92,42,340,274,1018,627,285,278,1846,8981,1300,4307,3071,2777,691,4420,2048,4865,6317,8632,2634,16,25
N06000004,33464,36,20,1960,233,91,22,164,234,803,413,97,251,1788,6168,1785,2148,885,1313,364,1216,1594,2858,3131,6089,1742,14,5
N06000005,41541,526,137,4290,402,86,65,533,578,1891,735,470,304,2956,7108,2583,2069,1117,1627,405,1711,1767,3450,3778,5275,1942,13,13
N06000006,41416,1232,124,3574,938,183,202,289,640,651,671,169,226,4052,7386,1293,2874,620,996,427,1644,1722,3231,4528,5392,1878,24,24
N06000007,46305,2494,366,6753,2441,217,311,398,1536,683,1167,142,248,4474,7902,1683,2328,791,1410,274,1696,1418,2210,4308,5928,1823,37,20
N06000008,37685,288,42,3284,529,358,70,345,363,1166,453,144,334,2112,6910,1395,2426,1290,1170,447,1353,2049,2348,4278,6032,1731,21,31
N06000009,48661,697,62,4480,766,282,61,571,690,1151,959,221,261,3253,9138,1746,2083,1158,1721,416,2544,1966,5406,4193,7053,2212,30,21
N06000010,42894,1850,216,6202,1503,220,241,320,1604,1070,1244,123,303,6491,6990,1426,1824,573,851,287,1637,1066,2111,4001,5299,1611,23,10
N06000011,47887,1851,164,5223,1254,222,166,1095,676,810,1000,128,605,4830,9067,2125,2183,735,1078,323,1908,1623,2752,4662,6606,1978,34,12
N06000012,48624,1927,128,6424,2177,173,85,968,761,1477,783,225,460,4896,8689,1914,2283,706,1002,434,1743,1668,3094,4297,6672,2031,21,10
N06000013,41565,195,20,2779,245,181,64,334,294,1009,652,201,216,2157,6899,1440,2141,1451,1827,573,2427,2498,5118,3599,5864,2110,34,16
N06000014,48258,796,88,4629,532,152,113,806,593,1634,799,236,399,3628,8767,2998,2304,1255,1719,401,1898,1978,4162,3988,7044,1937,17,14
N06000015,47692,1682,129,3885,723,177,174,441,660,1000,710,136,389,6548,7689,1644,2631,819,1184,364,2188,1550,3181,4680,6795,2151,36,11
N06000016,41427,1070,95,3318,571,175,53,315,490,1046,668,179,252,3483,6862,1438,2024,1002,1576,419,1910,2074,4602,3234,5898,1951,30,10
N06000017,52770,803,83,8007,2313,600,322,1358,804,1137,1473,177,412,4017,10152,2029,2625,1073,1196,432,2219,2162,3746,4447,7079,2072,23,16
N06000018,36676,2165,209,3398,887,292,86,173,718,609,633,190,201,4496,6220,1157,1646,587,911,293,1362,1076,2309,3714,5176,1534,17,15
